37896_001_PSS_HM_XX_Unirrad
Date/Time: 12/10/2021 10:42:14 AM
Sensor Name: 37896_001_PSS_HM_XX
Station: Tesla
Annealing Status: Not Irradiated
Environment: 23.5C
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.928E-10	5.727E-7	   23.5000	   28.1860	    1.2503	    0.0000	
  -10.0000	3.053E-10	6.077E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -15.0000	2.437E-10	4.233E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -20.0000	2.091E-10	3.373E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -25.0000	1.850E-10	2.357E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -30.0000	1.672E-10	2.104E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -35.0000	1.529E-10	1.898E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -40.0000	1.438E-10	1.629E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -45.0000	1.357E-10	1.823E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -50.0000	1.290E-10	1.559E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -55.0000	1.237E-10	1.809E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -60.0000	1.136E-10	2.158E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -65.0000	1.090E-10	9.712E-9	   23.5000	   28.1860	    1.2503	    0.0000	
  -70.0000	1.059E-10	9.530E-9	   23.5000	   28.1860	    1.2503	    0.0000	
  -75.0000	1.024E-10	9.856E-9	   23.5000	   28.1860	    1.2503	    0.0000	
  -80.0000	9.925E-11	1.025E-8	   23.5000	   28.1860	    1.2503	    0.0000	
  -85.0000	9.678E-11	9.380E-9	   23.5000	   28.1860	    1.2503	    0.0000	
  -90.0000	9.420E-11	8.740E-9	   23.5000	   28.1860	    1.2503	    0.0000	
  -95.0000	9.184E-11	9.578E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -100.0000	8.963E-11	1.010E-8	   23.5000	   28.1860	    1.2503	    0.0000	
 -105.0000	8.784E-11	7.493E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -110.0000	8.594E-11	8.511E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -115.0000	8.423E-11	9.454E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -120.0000	8.253E-11	8.161E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -125.0000	8.107E-11	8.125E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -130.0000	7.977E-11	8.697E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -135.0000	7.815E-11	4.269E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -140.0000	7.701E-11	5.611E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -145.0000	7.576E-11	4.454E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -150.0000	7.449E-11	5.062E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -155.0000	7.352E-11	7.765E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -160.0000	7.250E-11	4.825E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -165.0000	7.194E-11	4.038E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -170.0000	7.046E-11	5.635E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -175.0000	6.966E-11	8.098E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -180.0000	6.865E-11	1.757E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -185.0000	6.788E-11	6.133E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -190.0000	6.705E-11	6.758E-10	   23.5000	   28.1860	    1.2503	    0.0000	
 -195.0000	6.594E-11	5.961E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -200.0000	6.503E-11	4.953E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -205.0000	6.498E-11	4.105E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -210.0000	6.425E-11	3.184E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -215.0000	6.324E-11	5.080E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -220.0000	6.237E-11	1.399E-10	   23.5000	   28.1860	    1.2503	    0.0000	
 -225.0000	6.163E-11	7.489E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -230.0000	6.090E-11	4.136E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -235.0000	6.055E-11	4.385E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -240.0000	5.921E-11	4.569E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -245.0000	5.900E-11	4.078E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -250.0000	5.911E-11	1.255E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -255.0000	5.832E-11	2.603E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -260.0000	5.823E-11	6.308E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -265.0000	5.833E-11	5.942E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -270.0000	5.850E-11	3.416E-9	   23.5000	   28.1860	    1.2503	    0.0000	
 -275.0000	5.785E-11	2.905E-9	   23.5000	   28.1860	    1.2503	    0.0000	
