#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.311780E-12
#38212_044_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 12/9/2021 1:32:46 PM
#Sensor Name: 38212_044_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3721919635.967563	1.128212	23.500000	27.823468	-3.320000E-9	5.323560E-12	-2.939735E-11	-3.524742E-11	-4.455133E-11	-5.201366E-11	-6.035074E-11	-6.942324E-11
2	3721919671.917378	1.148386	23.500000	27.861158	-3.310000E-9	5.380640E-12	-3.338866E-11	-4.251450E-11	-5.051880E-11	-5.781549E-11	-6.814999E-11	-7.575744E-11
3	3721919708.232805	1.136229	23.500000	27.884483	-3.310000E-9	5.399190E-12	-2.850088E-11	-3.833226E-11	-4.373480E-11	-5.317244E-11	-6.374736E-11	-7.409207E-11
4	3721919744.952436	1.135861	23.500000	27.898571	-3.310000E-9	5.406820E-12	-3.063872E-11	-3.936364E-11	-5.086755E-11	-5.945879E-11	-6.705254E-11	-7.905489E-11
5	3721919781.570881	1.127844	23.500000	27.910223	-3.310000E-9	5.410650E-12	-2.767249E-11	-3.798962E-11	-4.960718E-11	-5.907527E-11	-6.757427E-11	-7.795190E-11
6	3721919817.849302	1.124644	23.500000	27.921699	-3.310000E-9	5.408720E-12	-2.936445E-11	-3.890449E-11	-5.066597E-11	-6.224921E-11	-7.101485E-11	-8.041463E-11
7	3721919854.146568	1.114584	23.500000	27.924332	-3.320000E-9	5.410300E-12	-2.873886E-11	-3.875279E-11	-5.015798E-11	-5.931979E-11	-6.997341E-11	-8.168217E-11
8	3721919890.721289	1.117479	23.500000	27.935966	-3.310000E-9	5.410190E-12	-2.935525E-11	-4.037667E-11	-5.149825E-11	-6.335299E-11	-7.513961E-11	-8.544819E-11
9	3721919927.278360	1.114287	23.500000	27.947003	-3.310000E-9	5.411470E-12	-2.746130E-11	-4.073057E-11	-5.277971E-11	-6.379111E-11	-7.440693E-11	-8.774281E-11
10	3721919963.574174	1.112404	23.500000	27.947400	-3.310000E-9	5.411720E-12	-2.978050E-11	-4.241495E-11	-5.550492E-11	-6.720649E-11	-8.054589E-11	-9.184740E-11
11	3721919999.834196	1.105054	23.500000	27.956694	-3.310000E-9	5.409310E-12	-3.037991E-11	-4.312500E-11	-5.783327E-11	-7.278777E-11	-8.617702E-11	-9.835800E-11
12	3721920036.113999	1.104697	23.500000	27.957049	-3.310000E-9	5.409730E-12	-3.021411E-11	-4.632692E-11	-6.018437E-11	-7.432902E-11	-8.883735E-11	-1.061225E-10
13	3721920072.557638	1.103173	23.500000	27.960777	-3.310000E-9	5.410510E-12	-2.942844E-11	-4.603825E-11	-6.334014E-11	-7.965636E-11	-9.549502E-11	-1.130504E-10
14	3721920108.893057	1.106551	23.500000	27.962361	-3.310000E-9	5.411430E-12	-3.108095E-11	-5.004082E-11	-6.532505E-11	-8.129009E-11	-9.870499E-11	-1.150640E-10
15	3721920145.480514	1.097980	23.500000	27.963829	-3.310000E-9	5.411770E-12	-3.241003E-11	-5.107633E-11	-6.700637E-11	-8.427267E-11	-1.028909E-10	-1.209437E-10
16	3721920181.781288	1.099373	23.500000	27.972566	-3.310000E-9	5.411890E-12	-3.299879E-11	-5.404030E-11	-7.126877E-11	-8.938776E-11	-1.089002E-10	-1.250446E-10
17	3721920218.204550	1.105668	23.500000	27.974094	-3.310000E-9	5.412570E-12	-3.242002E-11	-5.125602E-11	-7.002883E-11	-8.942495E-11	-1.092155E-10	-1.283247E-10
18	3721920254.504318	1.099589	23.500000	27.977561	-3.310000E-9	5.413070E-12	-3.463167E-11	-5.398490E-11	-7.081757E-11	-9.059561E-11	-1.079324E-10	-1.288341E-10
19	3721920290.933970	1.093231	23.500000	27.984119	-3.310000E-9	5.411020E-12	-2.817277E-11	-4.603030E-11	-6.522997E-11	-8.466047E-11	-1.047366E-10	-1.240968E-10
20	3721920327.200825	1.099352	23.500000	27.991195	-3.310000E-9	5.412300E-12	-2.918169E-11	-4.548159E-11	-6.390644E-11	-8.513480E-11	-1.034443E-10	-1.218942E-10
21	3721920363.504717	1.097602	23.500000	27.992325	-3.310000E-9	5.410190E-12	-3.069558E-11	-4.648700E-11	-6.725622E-11	-8.491157E-11	-1.036819E-10	-1.234353E-10
