GCD Test
Bias: 5000.000000
IV_34331_042_2-S_HM_XX_DIODE_Irradiated
Date/Time: 10/25/2021 11:13:54 AM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-7.0302E-7	-7.0320E-7	-7.0410E-7	-7.0490E-7	-6.9990E-7	-6.953032E-7	-6.957175E-7	-6.959866E-7	-6.940767E-7	-6.954320E-7	  -20.5171	   12.6849	    5.7119	  -24.5220	
  -20.0000	-9.1812E-7	-9.1630E-7	-9.2090E-7	-9.2070E-7	-9.1460E-7	-9.122385E-7	-9.118932E-7	-9.105298E-7	-9.114052E-7	-9.151257E-7	  -20.6214	   12.6501	    5.6701	  -24.6285	
  -30.0000	-1.0802E-6	-1.0820E-6	-1.0800E-6	-1.0770E-6	-1.0820E-6	-1.081180E-6	-1.077487E-6	-1.077266E-6	-1.083666E-6	-1.086302E-6	  -20.6620	   12.6906	    5.6600	  -24.6189	
  -40.0000	-1.2158E-6	-1.2190E-6	-1.2130E-6	-1.2130E-6	-1.2180E-6	-1.219161E-6	-1.216935E-6	-1.218216E-6	-1.221592E-6	-1.219900E-6	  -20.6112	   12.6906	    5.6493	  -24.6399	
  -50.0000	-1.3530E-6	-1.3480E-6	-1.3530E-6	-1.3570E-6	-1.3540E-6	-1.347429E-6	-1.351450E-6	-1.345603E-6	-1.345786E-6	-1.346877E-6	  -20.6061	   12.5977	    5.6243	  -24.7563	
  -60.0000	-1.4515E-6	-1.4550E-6	-1.4560E-6	-1.4470E-6	-1.4480E-6	-1.464481E-6	-1.456297E-6	-1.468682E-6	-1.463429E-6	-1.469516E-6	  -20.7256	   12.6828	    5.6047	  -24.7332	
  -70.0000	-1.5468E-6	-1.5580E-6	-1.5450E-6	-1.5390E-6	-1.5450E-6	-1.538728E-6	-1.543585E-6	-1.544559E-6	-1.536448E-6	-1.530320E-6	  -20.6570	   12.7135	    5.5702	  -24.7792	
  -80.0000	-1.6338E-6	-1.6400E-6	-1.6360E-6	-1.6220E-6	-1.6370E-6	-1.625130E-6	-1.630639E-6	-1.628010E-6	-1.623876E-6	-1.617997E-6	  -20.6671	   12.7234	    5.5392	  -24.8336	
  -90.0000	-1.7257E-6	-1.7230E-6	-1.7370E-6	-1.7270E-6	-1.7160E-6	-1.713959E-6	-1.711296E-6	-1.715110E-6	-1.717223E-6	-1.712209E-6	  -20.6086	   12.6748	    5.5013	  -24.9446	
 -100.0000	-1.7860E-6	-1.7840E-6	-1.7840E-6	-1.7880E-6	-1.7880E-6	-1.783527E-6	-1.791616E-6	-1.786519E-6	-1.779093E-6	-1.776880E-6	  -20.5934	   12.5810	    5.4674	  -25.0805	
 -110.0000	-1.8632E-6	-1.8730E-6	-1.8580E-6	-1.8600E-6	-1.8620E-6	-1.868438E-6	-1.869327E-6	-1.867303E-6	-1.864985E-6	-1.872135E-6	  -20.5781	   12.5873	    5.4491	  -25.1129	
 -120.0000	-1.9532E-6	-1.9560E-6	-1.9570E-6	-1.9480E-6	-1.9520E-6	-1.947268E-6	-1.947474E-6	-1.946410E-6	-1.949123E-6	-1.946064E-6	  -20.4789	   12.5014	    5.4181	  -25.2378	
 -130.0000	-2.0328E-6	-2.0330E-6	-2.0370E-6	-2.0350E-6	-2.0260E-6	-2.016749E-6	-2.018724E-6	-2.019920E-6	-2.017216E-6	-2.011135E-6	  -20.4255	   12.5014	    5.4051	  -25.2642	
 -140.0000	-2.0777E-6	-2.0780E-6	-2.0730E-6	-2.0780E-6	-2.0820E-6	-2.082590E-6	-2.080416E-6	-2.082360E-6	-2.084621E-6	-2.082964E-6	  -20.4179	   12.4903	    5.3903	  -25.3024	
 -150.0000	-2.1723E-6	-2.1740E-6	-2.1740E-6	-2.1720E-6	-2.1690E-6	-2.171662E-6	-2.171435E-6	-2.169554E-6	-2.169278E-6	-2.176381E-6	  -20.3162	   12.4703	    5.3694	  -25.3596	
 -160.0000	-2.2492E-6	-2.2450E-6	-2.2490E-6	-2.2550E-6	-2.2480E-6	-2.240870E-6	-2.236660E-6	-2.236120E-6	-2.242516E-6	-2.248183E-6	  -20.2475	   12.4985	    5.3229	  -25.4347	
 -170.0000	-2.2858E-6	-2.3020E-6	-2.2830E-6	-2.2810E-6	-2.2770E-6	-2.277360E-6	-2.276406E-6	-2.268744E-6	-2.281991E-6	-2.282301E-6	  -20.1559	   12.4985	    5.2973	  -25.4877	
 -180.0000	-2.3485E-6	-2.3440E-6	-2.3410E-6	-2.3490E-6	-2.3600E-6	-2.361933E-6	-2.359468E-6	-2.355297E-6	-2.358952E-6	-2.374016E-6	  -20.1330	   12.4540	    5.2827	  -25.5499	
 -190.0000	-2.4253E-6	-2.4170E-6	-2.4240E-6	-2.4290E-6	-2.4310E-6	-2.421997E-6	-2.422743E-6	-2.420726E-6	-2.425134E-6	-2.419386E-6	  -20.0669	   12.3747	    5.2615	  -25.6511	
 -200.0000	-2.4817E-6	-2.4830E-6	-2.4940E-6	-2.4830E-6	-2.4670E-6	-2.463546E-6	-2.458102E-6	-2.462450E-6	-2.469780E-6	-2.463852E-6	  -20.0669	   12.3747	    5.2375	  -25.7013	
 -210.0000	-2.5402E-6	-2.5280E-6	-2.5370E-6	-2.5480E-6	-2.5480E-6	-2.558497E-6	-2.545676E-6	-2.555757E-6	-2.566408E-6	-2.566149E-6	  -20.0211	   12.3868	    5.2163	  -25.7369	
 -220.0000	-2.6252E-6	-2.6380E-6	-2.6260E-6	-2.6180E-6	-2.6190E-6	-2.623263E-6	-2.610455E-6	-2.627116E-6	-2.632175E-6	-2.623307E-6	  -19.9550	   12.4162	    5.1869	  -25.7777	
 -230.0000	-2.6860E-6	-2.6720E-6	-2.6860E-6	-2.6920E-6	-2.6940E-6	-2.691572E-6	-2.694648E-6	-2.687904E-6	-2.690651E-6	-2.693083E-6	  -19.8863	   12.4162	    5.1632	  -25.8279	
 -240.0000	-2.7507E-6	-2.7300E-6	-2.7590E-6	-2.7590E-6	-2.7550E-6	-2.730225E-6	-2.737643E-6	-2.730793E-6	-2.723223E-6	-2.729242E-6	  -19.8812	   12.3751	    5.1467	  -25.8923	
 -250.0000	-2.7692E-6	-2.7770E-6	-2.7700E-6	-2.7690E-6	-2.7610E-6	-2.767625E-6	-2.762842E-6	-2.770661E-6	-2.771384E-6	-2.765613E-6	  -19.8838	   12.3249	    5.1243	  -25.9761	
 -260.0000	-2.8542E-6	-2.8490E-6	-2.8540E-6	-2.8570E-6	-2.8570E-6	-2.841153E-6	-2.847963E-6	-2.837071E-6	-2.837419E-6	-2.842160E-6	  -19.8659	   12.3199	    5.0882	  -26.0568	
 -270.0000	-2.8750E-6	-2.8950E-6	-2.8790E-6	-2.8650E-6	-2.8610E-6	-2.858005E-6	-2.855639E-6	-2.853286E-6	-2.860413E-6	-2.862681E-6	  -19.8227	   12.3199	    5.0699	  -26.0962	
 -280.0000	-2.9292E-6	-2.9430E-6	-2.9350E-6	-2.9240E-6	-2.9150E-6	-2.911798E-6	-2.911460E-6	-2.908104E-6	-2.916448E-6	-2.911182E-6	  -19.8125	   12.3241	    5.0433	  -26.1506	
 -290.0000	-2.9505E-6	-2.9560E-6	-2.9370E-6	-2.9520E-6	-2.9570E-6	-2.975372E-6	-2.965755E-6	-2.974468E-6	-2.975985E-6	-2.985279E-6	  -19.8278	   12.3163	    5.0452	  -26.1521	
 -300.0000	-3.0377E-6	-3.0480E-6	-3.0260E-6	-3.0340E-6	-3.0430E-6	-3.030702E-6	-3.047501E-6	-3.035803E-6	-3.024987E-6	-3.014517E-6	  -19.7896	   12.2899	    5.0180	  -26.2299	
 -310.0000	-3.1038E-6	-3.0960E-6	-3.1150E-6	-3.1150E-6	-3.0890E-6	-3.073109E-6	-3.077363E-6	-3.070629E-6	-3.065466E-6	-3.078977E-6	  -19.7744	   12.2651	    5.0174	  -26.2491	
 -320.0000	-3.1255E-6	-3.1240E-6	-3.1210E-6	-3.1190E-6	-3.1380E-6	-3.124816E-6	-3.132921E-6	-3.132208E-6	-3.122105E-6	-3.112031E-6	  -19.8583	   12.2789	    5.0199	  -26.2337	
 -330.0000	-3.1575E-6	-3.1450E-6	-3.1500E-6	-3.1570E-6	-3.1780E-6	-3.207778E-6	-3.197364E-6	-3.218651E-6	-3.212208E-6	-3.202888E-6	  -19.8252	   12.2540	    5.0171	  -26.2577	
 -340.0000	-3.2473E-6	-3.2430E-6	-3.2600E-6	-3.2470E-6	-3.2390E-6	-3.245511E-6	-3.243890E-6	-3.248755E-6	-3.240999E-6	-3.248400E-6	  -19.8024	   12.2559	    5.0038	  -26.2853	
 -350.0000	-3.2645E-6	-3.2800E-6	-3.2730E-6	-3.2600E-6	-3.2450E-6	-3.247818E-6	-3.233109E-6	-3.237521E-6	-3.255311E-6	-3.265330E-6	  -19.8812	   12.2240	    4.9889	  -26.3405	
 -360.0000	-3.3128E-6	-3.3090E-6	-3.3230E-6	-3.3130E-6	-3.3060E-6	-3.309586E-6	-3.308226E-6	-3.318360E-6	-3.311264E-6	-3.300495E-6	  -19.9016	   12.2156	    4.9633	  -26.4026	
 -370.0000	-3.3692E-6	-3.3560E-6	-3.3710E-6	-3.3760E-6	-3.3740E-6	-3.348177E-6	-3.352373E-6	-3.353415E-6	-3.345996E-6	-3.340923E-6	  -19.9117	   12.2218	    4.9532	  -26.4203	
 -380.0000	-3.4032E-6	-3.3950E-6	-3.4080E-6	-3.4060E-6	-3.4040E-6	-3.393741E-6	-3.399299E-6	-3.391416E-6	-3.385660E-6	-3.398589E-6	  -19.8787	   12.1413	    4.9263	  -26.5371	
