GCD Test
Bias: 5000.000000
CV_34340_039_PSS_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 7/2/2021 1:03:06 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.614E-12	5.119E-12	2.279E+7	1.495E+7	  -19.9524	   11.0549	    3.7460	  -30.2292	
  -20.0000	7.429E-12	5.058E-12	3.026E+7	1.865E+7	  -19.9524	   11.0812	    3.7679	  -30.1499	
  -30.0000	7.057E-12	5.031E-12	3.760E+7	2.197E+7	  -19.9397	   11.0979	    3.7783	  -30.1091	
  -40.0000	6.776E-12	5.008E-12	4.589E+7	2.480E+7	  -19.9473	   11.1167	    3.7751	  -30.1049	
  -50.0000	6.612E-12	4.986E-12	5.451E+7	2.777E+7	  -19.9652	   11.1008	    3.7685	  -30.1344	
  -60.0000	6.479E-12	4.970E-12	6.280E+7	3.059E+7	  -19.9702	   11.1326	    3.7780	  -30.0859	
  -70.0000	6.363E-12	4.960E-12	7.040E+7	3.294E+7	  -19.9626	   11.1326	    3.7751	  -30.0938	
  -80.0000	6.277E-12	4.954E-12	7.712E+7	3.520E+7	  -19.9702	   11.1552	    3.7992	  -30.0595	
  -90.0000	6.199E-12	4.948E-12	8.389E+7	3.746E+7	  -19.9753	   11.1514	    3.8049	  -29.9982	
 -100.0000	6.136E-12	4.946E-12	8.976E+7	3.917E+7	  -19.9830	   11.1478	    3.8106	  -29.9850	
 -110.0000	6.078E-12	4.942E-12	9.542E+7	4.117E+7	  -19.9728	   11.1401	    3.8185	  -29.9685	
 -120.0000	6.025E-12	4.951E-12	1.020E+8	4.245E+7	  -19.9830	   11.2037	    3.8080	  -29.9530	
 -130.0000	5.983E-12	4.948E-12	1.073E+8	4.427E+7	  -19.9931	   11.1880	    3.8115	  -29.9543	
 -140.0000	5.943E-12	4.948E-12	1.123E+8	4.515E+7	  -19.9982	   11.1875	    3.8340	  -29.8929	
 -150.0000	5.906E-12	4.947E-12	1.169E+8	4.660E+7	  -19.9982	   11.1431	    3.8324	  -29.9282	
 -160.0000	5.870E-12	4.945E-12	1.214E+8	4.799E+7	  -19.9931	   11.1707	    3.8204	  -29.9420	
 -170.0000	5.843E-12	4.943E-12	1.257E+8	4.924E+7	  -19.9931	   11.1473	    3.8302	  -29.9313	
 -180.0000	5.815E-12	4.942E-12	1.298E+8	5.049E+7	  -20.0109	   11.1386	    3.8435	  -29.9010	
 -190.0000	5.789E-12	4.940E-12	1.335E+8	5.191E+7	  -20.0084	   11.1426	    3.8425	  -29.9008	
