36696_010_PSS_XX_HM
Date/Time: 9/15/2021 11:46:07 AM
Sensor Name: 36696_010_PSS_XX_HM
Type: P
Annealing Status: 20 minutes
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated to 1.1e15 at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.4400E-6	-3.4400E-6	-3.4400E-6	-3.4400E-6	-3.4400E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -20.0000	-4.5700E-6	-4.5700E-6	-4.5700E-6	-4.5700E-6	-4.5700E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -30.0000	-5.4500E-6	-5.4500E-6	-5.4500E-6	-5.4500E-6	-5.4500E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -40.0000	-6.2000E-6	-6.2000E-6	-6.2000E-6	-6.2000E-6	-6.2000E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -50.0000	-6.8800E-6	-6.8800E-6	-6.8800E-6	-6.8800E-6	-6.8800E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -60.0000	-7.5000E-6	-7.5000E-6	-7.5000E-6	-7.5000E-6	-7.5000E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -70.0000	-8.0800E-6	-8.0800E-6	-8.0800E-6	-8.0800E-6	-8.0800E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -80.0000	-8.6100E-6	-8.6100E-6	-8.6100E-6	-8.6100E-6	-8.6100E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
  -90.0000	-9.1300E-6	-9.1300E-6	-9.1300E-6	-9.1300E-6	-9.1300E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
 -100.0000	-9.6100E-6	-9.6100E-6	-9.6100E-6	-9.6100E-6	-9.6100E-6	  -20.0000	   24.7703	    2.3968	    0.0000	
 -110.0000	-1.0080E-5	-1.0080E-5	-1.0080E-5	-1.0080E-5	-1.0080E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -120.0000	-1.0530E-5	-1.0530E-5	-1.0530E-5	-1.0530E-5	-1.0530E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -130.0000	-1.0960E-5	-1.0960E-5	-1.0960E-5	-1.0960E-5	-1.0960E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -140.0000	-1.1380E-5	-1.1380E-5	-1.1380E-5	-1.1380E-5	-1.1380E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -150.0000	-1.1790E-5	-1.1790E-5	-1.1790E-5	-1.1790E-5	-1.1790E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -160.0000	-1.2190E-5	-1.2190E-5	-1.2190E-5	-1.2190E-5	-1.2190E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -170.0000	-1.2570E-5	-1.2570E-5	-1.2570E-5	-1.2570E-5	-1.2570E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -180.0000	-1.2950E-5	-1.2950E-5	-1.2950E-5	-1.2950E-5	-1.2950E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -190.0000	-1.3320E-5	-1.3320E-5	-1.3320E-5	-1.3320E-5	-1.3320E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -200.0000	-1.3680E-5	-1.3680E-5	-1.3680E-5	-1.3680E-5	-1.3680E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -210.0000	-1.4040E-5	-1.4040E-5	-1.4040E-5	-1.4040E-5	-1.4040E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -220.0000	-1.4390E-5	-1.4390E-5	-1.4390E-5	-1.4390E-5	-1.4390E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -230.0000	-1.4730E-5	-1.4730E-5	-1.4730E-5	-1.4730E-5	-1.4730E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -240.0000	-1.5070E-5	-1.5070E-5	-1.5070E-5	-1.5070E-5	-1.5070E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -250.0000	-1.5400E-5	-1.5400E-5	-1.5400E-5	-1.5400E-5	-1.5400E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -260.0000	-1.5720E-5	-1.5720E-5	-1.5720E-5	-1.5720E-5	-1.5720E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -270.0000	-1.6040E-5	-1.6040E-5	-1.6040E-5	-1.6040E-5	-1.6040E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -280.0000	-1.6350E-5	-1.6350E-5	-1.6350E-5	-1.6350E-5	-1.6350E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -290.0000	-1.6660E-5	-1.6660E-5	-1.6660E-5	-1.6660E-5	-1.6660E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -300.0000	-1.6960E-5	-1.6960E-5	-1.6960E-5	-1.6960E-5	-1.6960E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -310.0000	-1.7260E-5	-1.7260E-5	-1.7260E-5	-1.7260E-5	-1.7260E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -320.0000	-1.7540E-5	-1.7540E-5	-1.7540E-5	-1.7540E-5	-1.7540E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -330.0000	-1.7830E-5	-1.7830E-5	-1.7830E-5	-1.7830E-5	-1.7830E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -340.0000	-1.8110E-5	-1.8110E-5	-1.8110E-5	-1.8110E-5	-1.8110E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -350.0000	-1.8380E-5	-1.8380E-5	-1.8380E-5	-1.8380E-5	-1.8380E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -360.0000	-1.8650E-5	-1.8650E-5	-1.8650E-5	-1.8650E-5	-1.8650E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -370.0000	-1.8910E-5	-1.8910E-5	-1.8910E-5	-1.8910E-5	-1.8910E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -380.0000	-1.9170E-5	-1.9170E-5	-1.9170E-5	-1.9170E-5	-1.9170E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -390.0000	-1.9420E-5	-1.9420E-5	-1.9420E-5	-1.9420E-5	-1.9420E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -400.0000	-1.9670E-5	-1.9670E-5	-1.9670E-5	-1.9670E-5	-1.9670E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -410.0000	-1.9900E-5	-1.9900E-5	-1.9900E-5	-1.9900E-5	-1.9900E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -420.0000	-2.0140E-5	-2.0140E-5	-2.0140E-5	-2.0140E-5	-2.0140E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -430.0000	-2.0370E-5	-2.0370E-5	-2.0370E-5	-2.0370E-5	-2.0370E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -440.0000	-2.0590E-5	-2.0590E-5	-2.0590E-5	-2.0590E-5	-2.0590E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -450.0000	-2.0810E-5	-2.0810E-5	-2.0810E-5	-2.0810E-5	-2.0810E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -460.0000	-2.1010E-5	-2.1010E-5	-2.1010E-5	-2.1010E-5	-2.1010E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -470.0000	-2.1220E-5	-2.1220E-5	-2.1220E-5	-2.1220E-5	-2.1220E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -480.0000	-2.1430E-5	-2.1430E-5	-2.1430E-5	-2.1430E-5	-2.1430E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -490.0000	-2.1630E-5	-2.1630E-5	-2.1630E-5	-2.1630E-5	-2.1630E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -500.0000	-2.1820E-5	-2.1820E-5	-2.1820E-5	-2.1820E-5	-2.1820E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -510.0000	-2.2010E-5	-2.2010E-5	-2.2010E-5	-2.2010E-5	-2.2010E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -520.0000	-2.2200E-5	-2.2200E-5	-2.2200E-5	-2.2200E-5	-2.2200E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -530.0000	-2.2380E-5	-2.2380E-5	-2.2380E-5	-2.2380E-5	-2.2380E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -540.0000	-2.2560E-5	-2.2560E-5	-2.2560E-5	-2.2560E-5	-2.2560E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -550.0000	-2.2740E-5	-2.2740E-5	-2.2740E-5	-2.2740E-5	-2.2740E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
 -560.0000	-2.2920E-5	-2.2920E-5	-2.2920E-5	-2.2920E-5	-2.2920E-5	  -20.0000	   24.7703	    2.3968	    0.0000	
