GCD Test
Bias: 5000.000000
IV_36696_039_PSS_HM_XX_DIODEHALFPSTOP_GRConnected_Irradiated
Date/Time: 9/20/2021 4:45:50 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed for 80min at 60C
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-4.0040E-7	-4.0110E-7	-4.0010E-7	-3.9940E-7	-4.0100E-7	-2.728143E-7	-2.727640E-7	-2.727949E-7	-2.728336E-7	-2.728647E-7	  -20.0084	    9.6683	    5.3871	  -27.3495	
  -20.0000	-5.5027E-7	-5.5110E-7	-5.5020E-7	-5.4920E-7	-5.5060E-7	-3.775965E-7	-3.777284E-7	-3.776090E-7	-3.775826E-7	-3.774661E-7	  -20.0109	    9.6790	    5.3586	  -27.3988	
  -30.0000	-6.6217E-7	-6.6280E-7	-6.6230E-7	-6.6190E-7	-6.6170E-7	-4.577458E-7	-4.578776E-7	-4.577481E-7	-4.576750E-7	-4.576823E-7	  -20.0033	    9.6385	    5.3599	  -27.4256	
  -40.0000	-7.5643E-7	-7.5750E-7	-7.5700E-7	-7.5590E-7	-7.5530E-7	-5.242998E-7	-5.244262E-7	-5.243505E-7	-5.241948E-7	-5.242276E-7	  -19.9982	    9.6805	    5.3435	  -27.4283	
  -50.0000	-8.3900E-7	-8.3960E-7	-8.4000E-7	-8.3830E-7	-8.3810E-7	-5.850744E-7	-5.852218E-7	-5.852051E-7	-5.850096E-7	-5.848610E-7	  -19.9982	    9.6890	    5.2644	  -27.5827	
  -60.0000	-9.1425E-7	-9.1470E-7	-9.1410E-7	-9.1400E-7	-9.1420E-7	-6.392030E-7	-6.394267E-7	-6.391349E-7	-6.390086E-7	-6.392419E-7	  -19.9906	    9.6682	    5.2919	  -27.5417	
  -70.0000	-9.7905E-7	-9.7890E-7	-9.7960E-7	-9.7940E-7	-9.7830E-7	-6.866955E-7	-6.867580E-7	-6.866348E-7	-6.866044E-7	-6.867850E-7	  -19.9880	    9.6676	    5.3814	  -27.3614	
  -80.0000	-1.0410E-6	-1.0410E-6	-1.0420E-6	-1.0400E-6	-1.0410E-6	-7.314213E-7	-7.310722E-7	-7.312836E-7	-7.315492E-7	-7.317801E-7	  -19.9855	    9.6243	    5.4760	  -27.2048	
  -90.0000	-1.0983E-6	-1.0990E-6	-1.0980E-6	-1.0990E-6	-1.0970E-6	-7.727016E-7	-7.726346E-7	-7.725098E-7	-7.727744E-7	-7.728875E-7	  -19.9830	    9.6815	    5.5092	  -27.0979	
 -100.0000	-1.1495E-6	-1.1490E-6	-1.1490E-6	-1.1510E-6	-1.1490E-6	-8.111773E-7	-8.110659E-7	-8.109114E-7	-8.111600E-7	-8.115718E-7	  -19.9830	    9.6655	    5.4681	  -27.1905	
 -110.0000	-1.2023E-6	-1.2030E-6	-1.2030E-6	-1.2020E-6	-1.2010E-6	-8.492854E-7	-8.495218E-7	-8.493819E-7	-8.493084E-7	-8.489296E-7	  -19.9855	    9.6554	    5.4051	  -27.3228	
 -120.0000	-1.2525E-6	-1.2530E-6	-1.2520E-6	-1.2520E-6	-1.2530E-6	-8.851163E-7	-8.855243E-7	-8.852599E-7	-8.850553E-7	-8.846259E-7	  -19.9931	    9.6584	    5.3517	  -27.4278	
 -130.0000	-1.2980E-6	-1.2980E-6	-1.2990E-6	-1.2970E-6	-1.2980E-6	-9.192586E-7	-9.191516E-7	-9.193990E-7	-9.194274E-7	-9.190562E-7	  -20.0008	    9.6681	    5.4257	  -27.2726	
 -140.0000	-1.3420E-6	-1.3430E-6	-1.3420E-6	-1.3420E-6	-1.3410E-6	-9.505233E-7	-9.499036E-7	-9.501770E-7	-9.507824E-7	-9.512303E-7	  -20.0084	    9.6632	    5.5651	  -27.0019	
 -150.0000	-1.3875E-6	-1.3870E-6	-1.3870E-6	-1.3870E-6	-1.3890E-6	-9.842494E-7	-9.841586E-7	-9.842507E-7	-9.842437E-7	-9.843445E-7	  -20.0084	    9.6222	    5.5946	  -26.9747	
 -160.0000	-1.4305E-6	-1.4320E-6	-1.4300E-6	-1.4290E-6	-1.4310E-6	-1.015238E-6	-1.015366E-6	-1.015450E-6	-1.015287E-6	-1.014850E-6	  -20.0084	    9.6468	    5.5844	  -26.9764	
 -170.0000	-1.4720E-6	-1.4740E-6	-1.4720E-6	-1.4710E-6	-1.4710E-6	-1.045240E-6	-1.044605E-6	-1.044914E-6	-1.045538E-6	-1.045905E-6	  -20.0084	    9.6616	    5.4949	  -27.1403	
 -180.0000	-1.5105E-6	-1.5100E-6	-1.5120E-6	-1.5100E-6	-1.5100E-6	-1.074648E-6	-1.074048E-6	-1.074486E-6	-1.074807E-6	-1.075252E-6	  -20.0109	    9.6772	    5.4798	  -27.1589	
 -190.0000	-1.5525E-6	-1.5540E-6	-1.5530E-6	-1.5510E-6	-1.5520E-6	-1.105880E-6	-1.105187E-6	-1.105910E-6	-1.106270E-6	-1.106152E-6	  -20.0109	    9.6778	    5.6682	  -26.7924	
 -200.0000	-1.5957E-6	-1.5960E-6	-1.5950E-6	-1.5950E-6	-1.5970E-6	-1.134846E-6	-1.135201E-6	-1.134845E-6	-1.134857E-6	-1.134479E-6	  -20.0135	    9.6794	    5.7812	  -26.5772	
