GCD Test
Bias: 5000.000000
CV_34254_041_PSS_HM_XX_DIODEHALF
Date/Time: 4/23/2021 4:15:12 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.355E-11	1.299E+9	   23.0759	   23.3734	   16.2732	   -3.6264	
  -10.0000	2.534E-11	1.931E+9	   23.0759	   23.3775	   16.2846	   -3.6137	
  -15.0000	2.148E-11	2.082E+9	   23.0759	   23.3788	   16.2853	   -3.6122	
  -20.0000	1.908E-11	2.207E+9	   23.0759	   23.3788	   16.2853	   -3.6122	
  -25.0000	1.735E-11	2.303E+9	   23.0759	   23.3707	   16.2682	   -3.6327	
  -30.0000	1.603E-11	2.276E+9	   23.0759	   23.3743	   16.2742	   -3.6249	
  -35.0000	1.485E-11	2.112E+9	   23.0759	   23.3725	   16.2777	   -3.6234	
  -40.0000	1.378E-11	2.186E+9	   23.0759	   23.3711	   16.2777	   -3.6245	
  -45.0000	1.285E-11	2.153E+9	   23.0759	   23.3653	   16.2710	   -3.6347	
  -50.0000	1.205E-11	2.248E+9	   23.0759	   23.3782	   16.2919	   -3.6072	
  -55.0000	1.141E-11	2.337E+9	   23.0759	   23.3749	   16.2770	   -3.6220	
  -60.0000	1.105E-11	2.204E+9	   23.0785	   23.3709	   16.2796	   -3.6231	
  -65.0000	1.076E-11	1.740E+9	   23.0759	   23.3712	   16.2786	   -3.6237	
  -70.0000	1.015E-11	2.607E+8	   23.0785	   23.3714	   16.2720	   -3.6290	
  -75.0000	8.873E-12	5.179E+8	   23.0759	   23.3719	   16.2679	   -3.6319	
  -80.0000	8.667E-12	1.120E+9	   23.0759	   23.3728	   16.2764	   -3.6243	
  -85.0000	8.537E-12	1.193E+9	   23.0759	   23.3750	   16.2818	   -3.6181	
  -90.0000	8.427E-12	1.275E+9	   23.0759	   23.3741	   16.2906	   -3.6115	
  -95.0000	8.327E-12	1.304E+9	   23.0759	   23.3671	   16.2713	   -3.6330	
 -100.0000	8.234E-12	1.365E+9	   23.0759	   23.3728	   16.2739	   -3.6263	
