GCD Test
Bias: 5000.000000
CV_34340_007_PSS_HM_XX_DIODE_Irradiated
Date/Time: 7/2/2021 1:46:25 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.350E-11	1.434E-11	6.579E+6	2.308E+6	  -19.9753	   12.2851	    3.5841	  -29.8389	
  -20.0000	4.338E-11	1.434E-11	6.587E+6	2.305E+6	  -20.0059	   12.2898	    3.6037	  -29.7782	
  -30.0000	4.349E-11	1.433E-11	6.608E+6	2.314E+6	  -19.9982	   12.2511	    3.6107	  -29.7847	
  -40.0000	4.342E-11	1.432E-11	6.613E+6	2.324E+6	  -19.9982	   12.2583	    3.5867	  -29.8501	
  -50.0000	4.278E-11	1.431E-11	6.611E+6	2.342E+6	  -19.9931	   12.2589	    3.5936	  -29.8293	
  -60.0000	3.168E-11	1.429E-11	6.504E+6	2.370E+6	  -20.0059	   12.2605	    3.5889	  -29.8421	
  -70.0000	1.294E-11	1.359E-11	2.814E+6	2.758E+6	  -20.0262	   12.2261	    3.6050	  -29.8187	
  -80.0000	2.632E-11	1.301E-11	3.409E+6	3.097E+6	  -20.0186	   12.2468	    3.6050	  -29.8043	
  -90.0000	3.673E-11	1.315E-11	3.148E+6	3.463E+6	  -20.0262	   12.2025	    3.6009	  -29.8470	
 -100.0000	4.191E-11	1.295E-11	4.082E+6	3.646E+6	  -20.0135	   12.2140	    3.6192	  -29.7856	
 -110.0000	3.664E-11	1.288E-11	5.277E+6	3.951E+6	  -20.0135	   12.2132	    3.6116	  -29.8082	
 -120.0000	4.279E-11	1.278E-11	5.714E+6	4.096E+6	  -20.0211	   12.2629	    3.5895	  -29.8385	
 -130.0000	2.645E-11	1.240E-11	7.172E+6	3.989E+6	  -20.0287	   12.1974	    3.5892	  -29.8848	
 -140.0000	3.327E-11	1.261E-11	6.096E+6	4.330E+6	  -20.0237	   12.1667	    3.5756	  -29.9461	
 -150.0000	2.586E-11	1.294E-11	7.249E+6	4.448E+6	  -20.0465	   12.2125	    3.5661	  -29.9423	
 -160.0000	2.514E-11	1.292E-11	8.849E+6	5.017E+6	  -20.0491	   12.2277	    3.5474	  -29.9870	
 -170.0000	2.550E-11	1.291E-11	8.173E+6	5.153E+6	  -20.0516	   12.2268	    3.5174	  -30.0770	
 -180.0000	2.511E-11	1.296E-11	9.544E+6	5.351E+6	  -20.0440	   12.2530	    3.5082	  -30.0864	
 -190.0000	2.415E-11	1.285E-11	9.845E+6	5.560E+6	  -20.0338	   12.2131	    3.4889	  -30.1719	
 -200.0000	2.314E-11	1.289E-11	9.861E+6	5.800E+6	  -20.0338	   12.1801	    3.4798	  -30.2223	
 -210.0000	2.345E-11	1.286E-11	1.030E+7	5.575E+6	  -20.0186	   12.1406	    3.4693	  -30.2811	
 -220.0000	2.265E-11	1.284E-11	1.035E+7	6.161E+6	  -20.0059	   12.1242	    3.4646	  -30.3067	
 -230.0000	2.179E-11	1.287E-11	1.020E+7	6.371E+6	  -20.0033	   12.1142	    3.4453	  -30.3616	
 -240.0000	2.002E-11	1.278E-11	1.177E+7	6.511E+6	  -20.0033	   12.1023	    3.4244	  -30.4441	
 -250.0000	2.152E-11	1.285E-11	1.299E+7	6.954E+6	  -20.0109	   12.1313	    3.4257	  -30.4202	
 -260.0000	2.116E-11	1.285E-11	1.298E+7	7.422E+6	  -20.0186	   12.1702	    3.4194	  -30.4127	
 -270.0000	2.076E-11	1.278E-11	1.232E+7	7.118E+6	  -20.0059	   12.1288	    3.4213	  -30.4354	
 -280.0000	2.020E-11	1.287E-11	1.278E+7	6.319E+6	  -20.0008	   12.1255	    3.4146	  -30.4581	
 -290.0000	2.168E-11	1.277E-11	1.392E+7	7.915E+6	  -19.9830	   12.0158	    3.4130	  -30.5385	
 -300.0000	1.965E-11	1.279E-11	1.440E+7	8.387E+6	  -20.0008	   12.0075	    3.4099	  -30.5540	
 -310.0000	2.011E-11	1.277E-11	1.551E+7	8.355E+6	  -20.0109	   12.0321	    3.4146	  -30.5224	
 -320.0000	2.064E-11	1.277E-11	1.494E+7	8.977E+6	  -20.0160	   12.0726	    3.3991	  -30.5421	
 -330.0000	1.965E-11	1.275E-11	1.745E+7	8.553E+6	  -20.0008	   12.0998	    3.3855	  -30.5653	
 -340.0000	1.901E-11	1.274E-11	1.617E+7	9.606E+6	  -20.0084	   12.0736	    3.3912	  -30.5658	
 -350.0000	1.843E-11	1.274E-11	1.866E+7	1.024E+7	  -20.0084	   12.0736	    3.3767	  -30.6107	
 -360.0000	1.849E-11	1.273E-11	1.772E+7	1.030E+7	  -19.9957	   12.0769	    3.3615	  -30.6556	
 -370.0000	1.845E-11	1.276E-11	1.940E+7	1.009E+7	  -19.9855	   12.0836	    3.3504	  -30.6854	
 -380.0000	1.759E-11	1.273E-11	2.059E+7	1.145E+7	  -19.9880	   12.0815	    3.3472	  -30.6967	
 -390.0000	1.726E-11	1.271E-11	1.893E+7	1.096E+7	  -19.9906	   12.0494	    3.3450	  -30.7257	
 -400.0000	1.774E-11	1.273E-11	2.190E+7	1.151E+7	  -19.9728	   12.0695	    3.3419	  -30.7218	
 -410.0000	1.702E-11	1.275E-11	2.281E+7	1.173E+7	  -19.9830	   12.0523	    3.3485	  -30.7129	
 -420.0000	1.748E-11	1.273E-11	2.493E+7	1.287E+7	  -19.9779	   12.1087	    3.3479	  -30.6761	
 -430.0000	1.763E-11	1.273E-11	2.468E+7	1.291E+7	  -19.9601	   12.0392	    3.3590	  -30.6894	
 -440.0000	1.676E-11	1.272E-11	2.613E+7	1.386E+7	  -19.9524	   12.0634	    3.3599	  -30.6698	
 -450.0000	1.626E-11	1.271E-11	2.824E+7	1.439E+7	  -19.9626	   12.0774	    3.3621	  -30.6533	
 -460.0000	1.652E-11	1.270E-11	2.873E+7	1.445E+7	  -19.9779	   12.0861	    3.3608	  -30.6512	
 -470.0000	1.625E-11	1.273E-11	3.022E+7	1.621E+7	  -19.9753	   12.0894	    3.3574	  -30.6598	
 -480.0000	1.608E-11	1.271E-11	3.119E+7	1.568E+7	  -19.9804	   12.0983	    3.3507	  -30.6743	
