#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.328610E-12
#36696_039_PSS_XX_HM_Interstrip
#Date/Time: 9/14/2021 5:35:20 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3714500179.496789	1.601297	-20.000000	25.130151	-2.395900E-5	5.337680E-12	-3.448223E-7	-3.471451E-7	-3.494750E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.336100E-12
#36696_039_PSS_XX_HM_Interstrip
#Date/Time: 9/14/2021 5:40:21 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3714500490.879507	1.529959	-20.000000	25.061288	-2.596800E-5	5.340620E-12	-3.735851E-7	-3.756754E-7	-3.777297E-7
2	3714500513.003069	1.558839	-20.000000	25.023577	-2.597600E-5	5.401700E-12	-3.719416E-7	-3.740314E-7	-3.761553E-7
3	3714500535.139743	1.592292	-20.000000	25.034260	-2.596500E-5	5.419590E-12	-3.712874E-7	-3.733100E-7	-3.755058E-7
4	3714500557.292975	1.561528	-20.000000	25.024766	-2.596700E-5	5.426610E-12	-3.709454E-7	-3.730237E-7	-3.752110E-7
5	3714500579.527894	1.538721	-20.000000	25.033268	-2.597000E-5	5.428670E-12	-3.707727E-7	-3.729345E-7	-3.749460E-7
6	3714500601.244005	1.532803	-20.000000	25.013888	-2.596900E-5	5.430010E-12	-3.707156E-7	-3.728123E-7	-3.747877E-7
7	3714500623.180723	1.528206	-20.000000	24.990423	-2.596700E-5	5.429700E-12	-3.705480E-7	-3.726057E-7	-3.747118E-7
8	3714500645.602655	1.541620	-20.000000	24.986462	-2.596600E-5	5.430640E-12	-3.705240E-7	-3.725201E-7	-3.746843E-7
9	3714500667.367767	1.549844	-20.000000	24.991912	-2.597400E-5	5.432160E-12	-3.704682E-7	-3.724814E-7	-3.746266E-7
10	3714500689.277925	1.522631	-20.000000	24.984481	-2.597600E-5	5.430720E-12	-3.703071E-7	-3.723909E-7	-3.745054E-7
11	3714500711.306015	1.539257	-20.000000	24.974114	-2.596600E-5	5.431160E-12	-3.701390E-7	-3.722311E-7	-3.743268E-7
12	3714500733.339045	1.553224	-20.000000	24.979229	-2.596400E-5	5.431500E-12	-3.699358E-7	-3.721578E-7	-3.742024E-7
13	3714500755.511380	1.551391	-20.000000	24.967278	-2.596000E-5	5.431900E-12	-3.697468E-7	-3.718050E-7	-3.739096E-7
14	3714500777.403345	1.551557	-20.000000	24.954221	-2.595800E-5	5.431770E-12	-3.694386E-7	-3.715355E-7	-3.736701E-7
15	3714500799.554845	1.562956	-20.000000	24.947958	-2.594900E-5	5.431840E-12	-3.692672E-7	-3.714142E-7	-3.735199E-7
16	3714500821.425030	1.569578	-20.000000	24.948532	-2.594900E-5	5.432030E-12	-3.691727E-7	-3.712750E-7	-3.734314E-7
17	3714500843.592805	1.546665	-20.000000	24.931906	-2.594500E-5	5.430240E-12	-3.690814E-7	-3.712678E-7	-3.733625E-7
18	3714500865.512089	1.544871	-20.000000	24.914070	-2.594700E-5	5.430390E-12	-3.689786E-7	-3.710606E-7	-3.731568E-7
19	3714500887.543119	1.522320	-20.000000	24.895029	-2.594300E-5	5.430640E-12	-3.687917E-7	-3.710493E-7	-3.731866E-7
20	3714500909.544171	1.500993	-20.000000	24.896831	-2.594200E-5	5.430980E-12	-3.687337E-7	-3.709042E-7	-3.730163E-7
21	3714500931.757786	1.487432	-20.000000	24.911158	-2.594300E-5	5.431010E-12	-3.683570E-7	-3.706146E-7	-3.728548E-7
22	3714500953.665786	1.499822	-20.000000	24.894730	-2.594000E-5	5.431410E-12	-3.683032E-7	-3.703959E-7	-3.726424E-7
23	3714500975.676032	1.522336	-20.000000	24.883395	-2.593300E-5	5.431640E-12	-3.681367E-7	-3.703138E-7	-3.724149E-7
24	3714500998.027536	1.528966	-20.000000	24.878738	-2.592900E-5	5.430160E-12	-3.678980E-7	-3.700895E-7	-3.722894E-7
25	3714501019.689144	1.539904	-20.000000	24.862231	-2.593300E-5	5.430430E-12	-3.676662E-7	-3.697393E-7	-3.719341E-7
26	3714501041.800997	1.574615	-20.000000	24.866096	-2.592600E-5	5.430820E-12	-3.674688E-7	-3.695560E-7	-3.716397E-7
27	3714501064.203209	1.545212	-20.000000	24.862587	-2.590800E-5	5.431010E-12	-3.672550E-7	-3.693808E-7	-3.715433E-7
28	3714501086.146648	1.502067	-20.000000	24.855413	-2.590600E-5	5.430450E-12	-3.670170E-7	-3.692058E-7	-3.713621E-7
29	3714501108.209706	1.536217	-20.000000	24.854364	-2.590700E-5	5.430560E-12	-3.667528E-7	-3.689265E-7	-3.711673E-7
30	3714501130.439257	1.516788	-20.000000	24.861894	-2.591100E-5	5.431560E-12	-3.667002E-7	-3.688190E-7	-3.710725E-7
31	3714501152.328902	1.531200	-20.000000	24.847210	-2.590100E-5	5.431430E-12	-3.665384E-7	-3.687364E-7	-3.709416E-7
32	3714501174.218237	1.536769	-20.000000	24.838530	-2.590500E-5	5.431100E-12	-3.664205E-7	-3.685352E-7	-3.707705E-7
33	3714501196.220386	1.545411	-20.000000	24.844912	-2.590300E-5	5.431540E-12	-3.662443E-7	-3.684619E-7	-3.706428E-7
34	3714501218.153763	1.558050	-20.000000	24.825868	-2.590500E-5	5.430750E-12	-3.661412E-7	-3.683990E-7	-3.705059E-7
35	3714501240.152553	1.652739	-20.000000	24.839364	-2.591100E-5	5.431040E-12	-3.660633E-7	-3.682322E-7	-3.703891E-7
36	3714501262.628098	1.594816	-20.000000	24.836587	-2.591600E-5	5.431140E-12	-3.657884E-7	-3.679992E-7	-3.702064E-7
37	3714501284.252587	1.598390	-20.000000	24.834369	-2.590500E-5	5.432490E-12	-3.657857E-7	-3.679941E-7	-3.701477E-7
38	3714501306.563857	1.566412	-20.000000	24.823410	-2.589500E-5	5.430830E-12	-3.653987E-7	-3.676349E-7	-3.697190E-7
39	3714501328.595725	1.525548	-20.000000	24.813343	-2.589400E-5	5.430620E-12	-3.650415E-7	-3.671675E-7	-3.694384E-7
40	3714501350.617975	1.546173	-20.000000	24.819784	-2.589300E-5	5.430690E-12	-3.648966E-7	-3.671193E-7	-3.693586E-7
41	3714501372.645787	1.565708	-20.000000	24.813423	-2.589100E-5	5.430740E-12	-3.648660E-7	-3.670098E-7	-3.692689E-7
42	3714501394.657642	1.556528	-20.000000	24.807021	-2.589400E-5	5.431190E-12	-3.646675E-7	-3.669108E-7	-3.691999E-7
43	3714501416.563689	1.560863	-20.000000	24.807774	-2.590200E-5	5.431070E-12	-3.646233E-7	-3.667853E-7	-3.688960E-7
44	3714501438.774580	1.582134	-20.000000	24.794616	-2.588600E-5	5.431360E-12	-3.641206E-7	-3.663177E-7	-3.684770E-7
45	3714501460.816073	1.568326	-20.000000	24.793784	-2.588200E-5	5.431420E-12	-3.639090E-7	-3.661995E-7	-3.683358E-7
46	3714501482.844896	1.566856	-20.000000	24.792218	-2.587300E-5	5.431770E-12	-3.638513E-7	-3.661240E-7	-3.682318E-7
47	3714501505.023522	1.619918	-20.000000	24.804823	-2.588000E-5	5.432190E-12	-3.637111E-7	-3.658303E-7	-3.680557E-7
