GCD Test
Bias: 5000.000000
CV_34252_009_PSS_HM_XX_DIODEQUARTER
Date/Time: 9/13/2021 4:03:51 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.681E-11	2.245E+9	   20.0373	   21.9081	    9.0114	  -12.3595	
  -10.0000	1.320E-11	2.549E+9	   20.0399	   21.8788	    8.8144	  -12.6547	
  -15.0000	1.152E-11	2.552E+9	   20.0373	   21.8969	    8.5626	  -12.9980	
  -20.0000	1.046E-11	2.681E+9	   20.0373	   21.8969	    8.5626	  -12.9980	
  -25.0000	9.686E-12	2.783E+9	   20.0373	   21.9186	    8.1154	  -13.6395	
  -30.0000	9.098E-12	2.753E+9	   20.0373	   21.9227	    7.9839	  -13.8361	
  -35.0000	8.532E-12	2.571E+9	   20.0347	   21.8876	    7.8950	  -13.9988	
  -40.0000	7.970E-12	2.583E+9	   20.0373	   22.0182	    7.7935	  -14.0594	
  -45.0000	7.394E-12	2.451E+9	   20.0373	   21.9862	    7.7223	  -14.1949	
  -50.0000	6.906E-12	2.639E+9	   20.0373	   21.9199	    7.6610	  -14.3410	
  -55.0000	6.657E-12	2.794E+9	   20.0347	   21.9080	    7.5987	  -14.4490	
  -60.0000	6.548E-12	2.982E+9	   20.0347	   21.8815	    7.5452	  -14.5543	
  -65.0000	6.450E-12	2.049E+9	   20.0347	   21.8909	    7.4946	  -14.6289	
  -70.0000	5.421E-12	1.157E+9	   20.0347	   21.9092	    7.4617	  -14.6687	
  -75.0000	5.366E-12	2.341E+9	   20.0347	   21.9068	    7.4292	  -14.7234	
  -80.0000	5.333E-12	2.401E+9	   20.0347	   21.9331	    7.3956	  -14.7588	
  -85.0000	5.300E-12	2.405E+9	   20.0347	   21.9049	    7.3659	  -14.8284	
  -90.0000	5.276E-12	2.483E+9	   20.0347	   21.8716	    7.3422	  -14.8920	
  -95.0000	5.248E-12	2.559E+9	   20.0347	   21.9127	    7.3229	  -14.8935	
 -100.0000	5.226E-12	2.518E+9	   20.0347	   21.9651	    7.2992	  -14.8941	
 -105.0000	5.200E-12	2.652E+9	   20.0347	   21.9297	    7.2780	  -14.9553	
 -110.0000	5.181E-12	2.580E+9	   20.0347	   21.9226	    7.2612	  -14.9884	
 -115.0000	5.167E-12	2.627E+9	   20.0347	   21.9112	    7.2511	  -15.0136	
 -120.0000	5.152E-12	2.759E+9	   20.0347	   21.9003	    7.2271	  -15.0618	
 -125.0000	5.133E-12	2.856E+9	   20.0322	   21.8682	    7.2201	  -15.0970	
 -130.0000	5.115E-12	2.845E+9	   20.0347	   21.8810	    7.2071	  -15.1093	
 -135.0000	5.101E-12	2.830E+9	   20.0347	   21.9281	    7.1879	  -15.1070	
 -140.0000	5.088E-12	2.705E+9	   20.0347	   21.9281	    7.1879	  -15.1070	
 -145.0000	5.074E-12	2.906E+9	   20.0322	   21.9281	    7.1755	  -15.1277	
 -150.0000	5.062E-12	2.870E+9	   20.0322	   21.8970	    7.1565	  -15.1825	
 -155.0000	5.046E-12	2.935E+9	   20.0322	   21.8970	    7.1565	  -15.1825	
 -160.0000	5.039E-12	2.785E+9	   20.0322	   21.9058	    7.1452	  -15.1953	
 -165.0000	5.027E-12	2.770E+9	   20.0296	   21.9298	    7.1246	  -15.2123	
 -170.0000	5.020E-12	2.951E+9	   20.0296	   21.9298	    7.1246	  -15.2123	
 -175.0000	5.006E-12	2.855E+9	   20.0270	   21.9108	    7.1249	  -15.2258	
 -180.0000	4.998E-12	2.849E+9	   20.0296	   21.8904	    7.1211	  -15.2472	
 -185.0000	4.989E-12	2.894E+9	   20.0296	   21.8904	    7.1281	  -15.2472	
 -190.0000	4.981E-12	2.889E+9	   20.0296	   21.8870	    7.1094	  -15.2696	
 -195.0000	4.971E-12	2.912E+9	   20.0270	   21.9092	    7.1053	  -15.2602	
 -200.0000	4.963E-12	2.992E+9	   20.0245	   21.9132	    7.1040	  -15.2594	
 -205.0000	4.956E-12	3.098E+9	   20.0245	   21.9201	    7.0876	  -15.2822	
 -210.0000	4.945E-12	2.983E+9	   20.0219	   21.9292	    7.0901	  -15.2713	
 -215.0000	4.939E-12	2.910E+9	   20.0219	   21.9156	    7.0882	  -15.2845	
 -220.0000	4.933E-12	2.909E+9	   20.0193	   21.8675	    7.0829	  -15.3290	
 -225.0000	4.923E-12	2.973E+9	   20.0193	   21.9378	    7.0806	  -15.2811	
 -230.0000	4.917E-12	3.269E+9	   20.0193	   21.8921	    7.0683	  -15.3357	
 -235.0000	4.910E-12	3.194E+9	   20.0193	   21.8921	    7.0683	  -15.3357	
 -240.0000	4.904E-12	2.927E+9	   20.0193	   21.9128	    7.0731	  -15.3124	
 -245.0000	4.894E-12	2.967E+9	   20.0167	   21.9346	    7.0680	  -15.3050	
 -250.0000	4.890E-12	2.983E+9	   20.0142	   21.8964	    7.0588	  -15.3487	
