#Open Capacitance 1000Hz:6.281050E-12
#Open Capacitance 100000Hz:Not Measured
#34254_014_PSS_HM_XX_IrradSensor
#Date/Time: 4/21/2021 12:10:14 PM
#Sensor Name: 34254_014_PSS_HM_XX_IrradSensor
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3701866283.872273	3.157623	26.923044	25.721618	-3.920000E-9	-6.804381E-11	9.126670E-11	-3.291989E-10	-3.292205E-10	-3.287735E-10	-3.275122E-10	-3.286763E-10	-3.289862E-10	-2.742087E-6
2	3701866300.933689	3.154224	26.921023	25.737135	-3.920000E-9	-6.829429E-11	9.125030E-11	-3.291989E-10	-3.292205E-10	-3.287735E-10	-3.275122E-10	-3.286763E-10	-3.289862E-10	-2.745348E-6
3	3701866318.044874	3.156510	26.922527	25.735766	-3.920000E-9	-5.973060E-11	9.124670E-11	-3.227206E-10	-3.218913E-10	-3.248328E-10	-3.230225E-10	-3.231168E-10	-3.228716E-10	-2.748649E-6
4	3701866334.989477	3.157996	26.922210	25.744704	-3.940000E-9	-7.139930E-11	9.124280E-11	-3.290069E-10	-3.243733E-10	-3.261326E-10	-3.288053E-10	-3.270795E-10	-3.274689E-10	-2.751284E-6
5	3701866351.688351	3.163657	26.917771	25.740782	-3.930000E-9	-6.579021E-11	9.123930E-11	-3.277605E-10	-3.246647E-10	-3.252897E-10	-3.254265E-10	-3.257854E-10	-3.253581E-10	-2.751059E-6
6	3701866368.407641	3.168908	26.918665	25.750829	-3.940000E-9	-6.924574E-11	9.123730E-11	-3.266181E-10	-3.260769E-10	-3.290791E-10	-3.288794E-10	-3.276634E-10	-3.277488E-10	-2.751454E-6
7	3701866385.107754	3.162328	26.917296	25.752751	-3.940000E-9	-6.999692E-11	9.123320E-11	-3.254160E-10	-3.251600E-10	-3.260053E-10	-3.248255E-10	-3.253517E-10	-3.252880E-10	-2.748327E-6
8	3701866401.829247	3.158036	26.917060	25.752057	-3.940000E-9	-6.789357E-11	9.123070E-11	-3.243141E-10	-3.258928E-10	-3.245265E-10	-3.286813E-10	-3.258537E-10	-3.252096E-10	-2.751818E-6
9	3701866418.536516	3.161078	26.917475	25.753145	-3.940000E-9	-6.143330E-11	9.122950E-11	-3.259384E-10	-3.259346E-10	-3.258503E-10	-3.268358E-10	-3.261398E-10	-3.259365E-10	-2.752341E-6
10	3701866435.269471	3.163175	26.915751	25.758338	-3.950000E-9	-6.553989E-11	9.122390E-11	-3.293979E-10	-3.269843E-10	-3.260872E-10	-3.250317E-10	-3.268753E-10	-3.265357E-10	-2.749835E-6
11	3701866451.991935	3.166181	26.916722	25.761766	-3.960000E-9	-6.318607E-11	9.122330E-11	-3.258248E-10	-3.266201E-10	-3.246342E-10	-3.248106E-10	-3.254724E-10	-3.253177E-10	-2.747861E-6
12	3701866468.664248	3.166213	26.916842	25.767571	-3.960000E-9	-6.609071E-11	9.122470E-11	-3.264305E-10	-3.245599E-10	-3.249785E-10	-3.254099E-10	-3.253447E-10	-3.251942E-10	-2.746459E-6
13	3701866485.356243	3.156055	26.916029	25.766561	-3.950000E-9	-6.023135E-11	9.122030E-11	-3.256080E-10	-3.255047E-10	-3.244667E-10	-3.296231E-10	-3.263006E-10	-3.255564E-10	-2.747309E-6
14	3701866502.071831	3.149768	26.915969	25.777738	-3.960000E-9	-6.163361E-11	9.122520E-11	-3.279623E-10	-3.270585E-10	-3.277361E-10	-3.250964E-10	-3.269633E-10	-3.273973E-10	-2.746999E-6
15	3701866518.776949	3.163879	26.914860	25.778948	-3.970000E-9	-6.754311E-11	9.121980E-11	-3.244444E-10	-3.359144E-10	-3.311776E-10	-3.245190E-10	-3.290138E-10	-3.278483E-10	-2.746245E-6
16	3701866535.479059	3.158640	26.914286	25.775481	-3.970000E-9	-6.428792E-11	9.121980E-11	-3.265986E-10	-3.241729E-10	-3.262251E-10	-3.247884E-10	-3.254462E-10	-3.255067E-10	-2.747129E-6
17	3701866552.183434	3.169315	26.912917	25.777462	-3.970000E-9	-7.004706E-11	9.121360E-11	-3.257872E-10	-3.240660E-10	-3.242558E-10	-3.248961E-10	-3.247513E-10	-3.245759E-10	-2.746620E-6
18	3701866568.844378	3.163480	26.912304	25.765174	-3.970000E-9	-6.548977E-11	9.120800E-11	-3.255872E-10	-3.265498E-10	-3.268751E-10	-3.282886E-10	-3.268252E-10	-3.267125E-10	-2.751110E-6
19	3701866585.536451	3.150584	26.911132	25.773081	-3.970000E-9	-6.263520E-11	9.121340E-11	-3.251580E-10	-3.241930E-10	-3.253000E-10	-3.234914E-10	-3.245356E-10	-3.246755E-10	-2.749177E-6
20	3701866602.226500	3.162743	26.910400	25.777244	-3.980000E-9	-6.278549E-11	9.121200E-11	-3.259861E-10	-3.286870E-10	-3.275555E-10	-3.263844E-10	-3.271533E-10	-3.269700E-10	-2.747058E-6
21	3701866618.915505	3.151337	26.911668	25.789590	-3.990000E-9	-6.669168E-11	9.120830E-11	-3.246933E-10	-3.250796E-10	-3.262408E-10	-3.257740E-10	-3.254469E-10	-3.254268E-10	-2.750192E-6
22	3701866635.652259	3.158154	26.910579	25.785587	-3.990000E-9	-6.714243E-11	9.120590E-11	-3.285002E-10	-3.274176E-10	-3.261129E-10	-3.270386E-10	-3.272673E-10	-3.272281E-10	-2.754694E-6
23	3701866652.324695	3.147459	26.910917	25.784774	-3.990000E-9	-6.974657E-11	9.120260E-11	-3.262158E-10	-3.252410E-10	-3.218228E-10	-3.238896E-10	-3.242923E-10	-3.245653E-10	-2.753140E-6
24	3701866669.019222	3.149051	26.911055	25.785605	-4.000000E-9	-6.558998E-11	9.120620E-11	-3.258776E-10	-3.267770E-10	-3.242571E-10	-3.271570E-10	-3.260172E-10	-3.263273E-10	-2.752869E-6
25	3701866685.700618	3.141024	26.911034	25.785844	-4.010000E-9	-6.228472E-11	9.120910E-11	-3.224810E-10	-3.243965E-10	-3.237631E-10	-3.250540E-10	-3.239237E-10	-3.240798E-10	-2.751100E-6
26	3701866702.409386	3.149033	26.910005	25.788062	-4.010000E-9	-6.373704E-11	9.120440E-11	-3.257709E-10	-3.250281E-10	-3.268576E-10	-3.262785E-10	-3.259838E-10	-3.260247E-10	-2.751570E-6
27	3701866719.094266	3.143080	26.909052	25.784475	-4.010000E-9	-6.879506E-11	9.120750E-11	-3.257724E-10	-3.255590E-10	-3.268104E-10	-3.256174E-10	-3.259398E-10	-3.256949E-10	-2.748941E-6
