#Open Capacitance 1000Hz:4.950090E-12
#Open Capacitance 100000Hz:4.765720E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:55:36 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C
1	3711729409.107690	2.062445	-20.000000	22.747104	-1.800000E-8	1.001445E-5	7.274250E-12	5.970630E-12
#Open Capacitance 1000Hz:4.581240E-12
#Open Capacitance 100000Hz:4.378900E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:57:55 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711729546.925370	1.887622	-20.000000	22.696810	-2.566900E-5	-3.771333E-11	9.127430E-11	5.168040E-12	-6.287279E-7	-6.286811E-7	-6.286048E-7	-6.285065E-7	-6.286301E-7	-6.286429E-7	-1.561715E-6	-6.287279E-7	-6.286811E-7	-6.286048E-7	-6.285065E-7	-6.286301E-7	-6.286429E-7	-1.754490E-6	-3.594714E-7	-3.610396E-7	-3.628643E-7	-3.652397E-7	-3.682294E-7	-3.722542E-7
2	3711729596.493976	1.898409	-20.000000	22.683296	-2.565100E-5	-5.738899E-11	9.010450E-11	5.184520E-12	-3.615112E-7	-3.615628E-7	-3.616109E-7	-3.616163E-7	-3.615753E-7	-3.615869E-7	-1.754448E-6	-3.580416E-7	-3.580752E-7	-3.581040E-7	-3.581022E-7	-3.580807E-7	-3.580887E-7	-1.758742E-6	-3.573005E-7	-3.581452E-7	-3.589770E-7	-3.598151E-7	-3.606290E-7	-3.615270E-7
3	3711729645.384180	1.828954	-20.000000	22.672060	-2.564100E-5	-5.418475E-11	9.007160E-11	5.194560E-12	-3.598260E-7	-3.598294E-7	-3.598450E-7	-3.598448E-7	-3.598363E-7	-3.598371E-7	-1.754201E-6	-3.605531E-7	-3.605685E-7	-3.605870E-7	-3.606071E-7	-3.605789E-7	-3.605778E-7	-1.754547E-6	-3.599129E-7	-3.606642E-7	-3.613064E-7	-3.622021E-7	-3.629297E-7	-3.637521E-7
4	3711729694.520550	1.920551	-20.000000	22.658982	-2.565800E-5	-5.969195E-11	9.004300E-11	5.195090E-12	-3.605923E-7	-3.605944E-7	-3.605823E-7	-3.605606E-7	-3.605824E-7	-3.605873E-7	-1.751941E-6	-3.613974E-7	-3.614017E-7	-3.614102E-7	-3.614139E-7	-3.614058E-7	-3.614060E-7	-1.755853E-6	-3.607421E-7	-3.613977E-7	-3.622470E-7	-3.629592E-7	-3.636100E-7	-3.643762E-7
5	3711729743.589886	1.862392	-20.000000	22.653234	-2.565800E-5	-6.304633E-11	9.004000E-11	5.197020E-12	-3.609216E-7	-3.608982E-7	-3.608924E-7	-3.609056E-7	-3.609045E-7	-3.609019E-7	-1.753589E-6	-3.614244E-7	-3.614101E-7	-3.613898E-7	-3.613422E-7	-3.613916E-7	-3.613999E-7	-1.752959E-6	-3.606823E-7	-3.614254E-7	-3.622546E-7	-3.629320E-7	-3.636667E-7	-3.644004E-7
6	3711729792.558425	1.798541	-20.000000	22.627075	-2.563200E-5	-5.934151E-11	9.003240E-11	5.195630E-12	-3.610369E-7	-3.609806E-7	-3.609240E-7	-3.608854E-7	-3.609567E-7	-3.609523E-7	-1.750570E-6	-3.611871E-7	-3.611530E-7	-3.611331E-7	-3.611108E-7	-3.611460E-7	-3.611431E-7	-1.753922E-6	-3.605825E-7	-3.613243E-7	-3.619861E-7	-3.627383E-7	-3.635150E-7	-3.642838E-7
7	3711729841.742280	1.856559	-20.000000	22.638748	-2.564300E-5	-5.718867E-11	9.003660E-11	5.196270E-12	-3.609886E-7	-3.609853E-7	-3.609450E-7	-3.608945E-7	-3.609533E-7	-3.609652E-7	-1.751401E-6	-3.610825E-7	-3.610759E-7	-3.610618E-7	-3.610599E-7	-3.610700E-7	-3.610689E-7	-1.756175E-6	-3.604915E-7	-3.612205E-7	-3.619367E-7	-3.626901E-7	-3.633276E-7	-3.640399E-7
8	3711729890.730647	1.857585	-20.000000	22.630268	-2.562500E-5	-5.834020E-11	9.003350E-11	5.198260E-12	-3.606109E-7	-3.605963E-7	-3.605811E-7	-3.605618E-7	-3.605875E-7	-3.605887E-7	-1.753810E-6	-3.607791E-7	-3.607578E-7	-3.607373E-7	-3.607194E-7	-3.607484E-7	-3.607476E-7	-1.755360E-6	-3.602021E-7	-3.609163E-7	-3.616110E-7	-3.622848E-7	-3.629815E-7	-3.637544E-7
9	3711729939.422845	2.044486	-20.000000	22.600462	-2.560700E-5	-5.808987E-11	9.003360E-11	5.197000E-12	-3.603600E-7	-3.603646E-7	-3.603675E-7	-3.603694E-7	-3.603654E-7	-3.603660E-7	-1.752928E-6	-3.604022E-7	-3.604053E-7	-3.603879E-7	-3.603797E-7	-3.603938E-7	-3.603951E-7	-1.755734E-6	-3.598653E-7	-3.605745E-7	-3.612602E-7	-3.619930E-7	-3.627800E-7	-3.635168E-7
10	3711729988.289057	1.787982	-20.000000	22.608330	-2.560700E-5	-5.738895E-11	9.003330E-11	5.196330E-12	-3.599926E-7	-3.600138E-7	-3.600352E-7	-3.600460E-7	-3.600219E-7	-3.600245E-7	-1.753406E-6	-3.603017E-7	-3.603073E-7	-3.603051E-7	-3.602827E-7	-3.602992E-7	-3.603034E-7	-1.753687E-6	-3.597367E-7	-3.604312E-7	-3.610929E-7	-3.620242E-7	-3.626982E-7	-3.634147E-7
11	3711730037.305218	1.794670	-20.000000	22.595943	-2.559700E-5	-6.084346E-11	9.002500E-11	5.196330E-12	-3.598428E-7	-3.598302E-7	-3.598283E-7	-3.598492E-7	-3.598376E-7	-3.598365E-7	-1.751256E-6	-3.602265E-7	-3.602174E-7	-3.602247E-7	-3.602463E-7	-3.602287E-7	-3.602256E-7	-1.753187E-6	-3.596195E-7	-3.603247E-7	-3.609906E-7	-3.617198E-7	-3.624161E-7	-3.632957E-7
12	3711730086.382565	1.809571	-20.000000	22.610847	-2.558900E-5	-5.773935E-11	9.003200E-11	5.194680E-12	-3.597154E-7	-3.597017E-7	-3.596836E-7	-3.596751E-7	-3.596939E-7	-3.596926E-7	-1.750941E-6	-3.598201E-7	-3.598307E-7	-3.598087E-7	-3.597807E-7	-3.598101E-7	-3.598144E-7	-1.751747E-6	-3.591707E-7	-3.597799E-7	-3.607020E-7	-3.613260E-7	-3.620079E-7	-3.628446E-7
13	3711730135.352910	1.802995	-20.000000	22.603356	-2.559200E-5	-5.904111E-11	9.003190E-11	5.196370E-12	-3.592710E-7	-3.592778E-7	-3.592857E-7	-3.592957E-7	-3.592825E-7	-3.592817E-7	-1.749518E-6	-3.596303E-7	-3.596416E-7	-3.596007E-7	-3.595545E-7	-3.596068E-7	-3.596155E-7	-1.752599E-6	-3.590389E-7	-3.595827E-7	-3.604679E-7	-3.611824E-7	-3.619034E-7	-3.627556E-7
14	3711730184.950637	1.754739	-20.000000	22.601434	-2.557200E-5	-5.969193E-11	9.002780E-11	5.195120E-12	-3.592620E-7	-3.592315E-7	-3.592234E-7	-3.592147E-7	-3.592329E-7	-3.592275E-7	-1.750229E-6	-3.594654E-7	-3.594684E-7	-3.594610E-7	-3.594280E-7	-3.594557E-7	-3.594632E-7	-1.751789E-6	-3.588812E-7	-3.597064E-7	-3.603933E-7	-3.612141E-7	-3.617875E-7	-3.626093E-7
15	3711730233.868514	1.757833	-20.000000	22.602623	-2.557900E-5	-6.034283E-11	9.002590E-11	5.194620E-12	-3.592593E-7	-3.592409E-7	-3.592149E-7	-3.591977E-7	-3.592282E-7	-3.592279E-7	-1.749374E-6	-3.591779E-7	-3.591840E-7	-3.591951E-7	-3.592132E-7	-3.591925E-7	-3.591895E-7	-1.751163E-6	-3.586368E-7	-3.593686E-7	-3.601042E-7	-3.609004E-7	-3.614398E-7	-3.622787E-7
16	3711730282.951966	1.849352	-20.000000	22.564732	-2.557400E-5	-6.224526E-11	9.002240E-11	5.195890E-12	-3.588252E-7	-3.588426E-7	-3.588581E-7	-3.588713E-7	-3.588493E-7	-3.588504E-7	-1.748790E-6	-3.591312E-7	-3.591462E-7	-3.591623E-7	-3.591868E-7	-3.591566E-7	-3.591543E-7	-1.754087E-6	-3.585393E-7	-3.593774E-7	-3.601479E-7	-3.608378E-7	-3.614446E-7	-3.622812E-7
17	3711730331.712312	1.763010	-20.000000	22.576623	-2.559000E-5	-5.813995E-11	9.001950E-11	5.195970E-12	-3.587314E-7	-3.587309E-7	-3.587511E-7	-3.587797E-7	-3.587483E-7	-3.587412E-7	-1.751783E-6	-3.588510E-7	-3.588161E-7	-3.588114E-7	-3.588198E-7	-3.588246E-7	-3.588180E-7	-1.753574E-6	-3.582325E-7	-3.589267E-7	-3.596978E-7	-3.604118E-7	-3.611997E-7	-3.618412E-7
18	3711730380.595864	1.804247	-20.000000	22.552130	-2.556700E-5	-5.708855E-11	9.002200E-11	5.197220E-12	-3.584996E-7	-3.584998E-7	-3.584786E-7	-3.584343E-7	-3.584781E-7	-3.584891E-7	-1.751302E-6	-3.586475E-7	-3.586667E-7	-3.586774E-7	-3.586853E-7	-3.586692E-7	-3.586720E-7	-1.753583E-6	-3.581711E-7	-3.589841E-7	-3.597108E-7	-3.604009E-7	-3.611528E-7	-3.619062E-7
