GCD Test
Bias: 5000.000000
CV_34341_024_PSS_HM_XX_DIODE_Biased_Box
Date/Time: 7/22/2021 12:03:36 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	8.822E-11	8.954E+6	   20.0296	   22.5758	   52.1050	   12.2584	
  -10.0000	6.483E-11	1.313E+7	   20.0193	   22.5838	   52.0984	   12.2638	
  -15.0000	5.375E-11	1.647E+7	   20.0090	   22.5412	   52.1199	   12.2308	
  -20.0000	4.716E-11	1.932E+7	   20.0039	   22.5625	   52.1335	   12.2545	
  -25.0000	4.256E-11	2.192E+7	   20.0039	   22.5625	   52.1335	   12.2545	
  -30.0000	3.922E-11	2.424E+7	   20.0013	   22.5622	   52.1550	   12.2604	
  -35.0000	3.654E-11	2.653E+7	   20.0039	   22.5681	   52.1664	   12.2692	
  -40.0000	3.431E-11	2.871E+7	   20.0064	   22.5747	   52.1698	   12.2763	
  -45.0000	3.244E-11	3.087E+7	   20.0090	   22.5492	   52.1935	   12.2597	
  -50.0000	3.083E-11	3.302E+7	   20.0142	   22.5679	   52.2021	   12.2795	
  -55.0000	2.942E-11	3.527E+7	   20.0142	   22.5477	   52.2192	   12.2658	
  -60.0000	2.815E-11	3.739E+7	   20.0116	   22.5593	   52.2375	   12.2818	
  -65.0000	2.689E-11	3.990E+7	   20.0090	   22.5736	   52.2470	   12.2978	
  -70.0000	2.589E-11	4.241E+7	   20.0039	   22.5650	   52.2527	   12.2915	
  -75.0000	2.505E-11	4.460E+7	   20.0013	   22.5482	   52.2552	   12.2767	
  -80.0000	2.433E-11	4.686E+7	   19.9961	   22.5545	   52.2483	   12.2805	
  -85.0000	2.369E-11	4.895E+7	   19.9936	   22.5196	   52.2663	   12.2536	
  -90.0000	2.311E-11	5.114E+7	   19.9884	   22.5557	   52.2935	   12.2948	
  -95.0000	2.256E-11	5.296E+7	   19.9858	   22.5374	   52.2824	   12.2747	
 -100.0000	2.208E-11	5.520E+7	   19.9833	   22.5117	   52.2973	   12.2553	
 -105.0000	2.165E-11	5.628E+7	   19.9858	   22.5512	   52.3083	   12.2949	
 -110.0000	2.117E-11	5.572E+7	   19.9858	   22.5315	   52.3213	   12.2805	
 -115.0000	2.055E-11	5.553E+7	   19.9884	   22.5293	   52.3330	   12.2819	
 -120.0000	1.997E-11	5.465E+7	   19.9910	   22.5086	   52.3529	   12.2686	
 -125.0000	1.912E-11	4.931E+7	   19.9936	   22.5218	   52.3662	   12.2847	
 -130.0000	1.796E-11	5.158E+7	   19.9936	   22.5318	   52.3725	   12.2957	
 -135.0000	1.717E-11	6.464E+7	   19.9961	   22.5341	   52.3817	   12.3005	
 -140.0000	1.685E-11	7.866E+7	   19.9987	   22.5419	   52.3997	   12.3130	
 -145.0000	1.663E-11	8.572E+7	   19.9987	   22.5051	   52.3978	   12.2784	
 -150.0000	1.642E-11	8.951E+7	   19.9987	   22.5051	   52.4007	   12.2792	
 -155.0000	1.624E-11	9.327E+7	   19.9961	   22.4869	   52.4361	   12.2726	
 -160.0000	1.606E-11	9.501E+7	   19.9961	   22.5135	   52.4244	   12.2939	
 -165.0000	1.590E-11	9.885E+7	   19.9936	   22.4809	   52.4538	   12.2722	
 -170.0000	1.573E-11	1.012E+8	   19.9910	   22.5221	   52.4620	   12.3127	
 -175.0000	1.558E-11	1.040E+8	   19.9910	   22.4963	   52.4855	   12.2957	
 -180.0000	1.542E-11	1.068E+8	   19.9858	   22.4908	   52.4883	   12.2914	
 -185.0000	1.527E-11	1.089E+8	   19.9858	   22.4978	   52.4851	   12.2970	
 -190.0000	1.513E-11	1.125E+8	   19.9833	   22.4785	   52.4994	   12.2832	
 -195.0000	1.499E-11	1.145E+8	   19.9858	   22.4895	   52.5028	   12.2944	
 -200.0000	1.485E-11	1.178E+8	   19.9858	   22.4895	   52.5028	   12.2944	
 -205.0000	1.472E-11	1.212E+8	   19.9884	   22.4840	   52.5089	   12.2910	
 -210.0000	1.459E-11	1.242E+8	   19.9910	   22.4852	   52.5206	   12.2956	
 -215.0000	1.446E-11	1.283E+8	   19.9936	   22.4682	   52.5427	   12.2863	
 -220.0000	1.434E-11	1.302E+8	   19.9987	   22.4911	   52.5598	   12.3123	
 -225.0000	1.424E-11	1.338E+8	   19.9987	   22.5107	   52.5591	   12.3303	
 -230.0000	1.415E-11	1.357E+8	   19.9987	   22.4886	   52.5740	   12.3142	
 -235.0000	1.409E-11	1.378E+8	   19.9987	   22.4886	   52.5740	   12.3142	
 -240.0000	1.404E-11	1.411E+8	   19.9987	   22.4486	   52.5933	   12.2828	
 -245.0000	1.402E-11	1.454E+8	   19.9987	   22.4486	   52.6031	   12.2856	
 -250.0000	1.400E-11	1.478E+8	   19.9936	   22.4607	   52.6063	   12.2978	
 -255.0000	1.399E-11	1.485E+8	   19.9910	   22.4812	   52.6126	   12.3185	
 -260.0000	1.398E-11	1.502E+8	   19.9884	   22.4678	   52.6293	   12.3110	
 -265.0000	1.396E-11	1.525E+8	   19.9858	   22.4372	   52.6316	   12.2833	
 -270.0000	1.396E-11	1.558E+8	   19.9858	   22.4536	   52.6433	   12.3019	
 -275.0000	1.395E-11	1.581E+8	   19.9858	   22.4518	   52.6433	   12.3002	
 -280.0000	1.395E-11	1.611E+8	   19.9858	   22.4555	   52.6616	   12.3089	
 -285.0000	1.395E-11	1.623E+8	   19.9884	   22.4496	   52.6869	   12.3107	
 -290.0000	1.395E-11	1.639E+8	   19.9910	   22.4496	   52.6910	   12.3119	
 -295.0000	1.394E-11	1.652E+8	   19.9936	   22.4668	   52.7043	   12.3317	
 -300.0000	1.393E-11	1.673E+8	   19.9936	   22.4283	   52.7030	   12.2957	
 -305.0000	1.395E-11	1.689E+8	   19.9961	   22.4363	   52.7283	   12.3104	
 -310.0000	1.393E-11	1.696E+8	   19.9987	   22.4205	   52.7214	   12.2938	
 -315.0000	1.394E-11	1.719E+8	   19.9987	   22.4381	   52.7302	   12.3127	
 -320.0000	1.394E-11	1.741E+8	   20.0013	   22.4409	   52.7318	   12.3157	
 -325.0000	1.393E-11	1.766E+8	   19.9987	   22.4409	   52.7596	   12.3238	
 -330.0000	1.394E-11	1.791E+8	   19.9987	   22.4409	   52.7638	   12.3249	
 -335.0000	1.393E-11	1.795E+8	   19.9936	   22.4330	   52.7606	   12.3167	
 -340.0000	1.393E-11	1.822E+8	   19.9936	   22.4339	   52.7894	   12.3258	
 -345.0000	1.393E-11	1.831E+8	   19.9910	   22.4174	   52.7929	   12.3116	
 -350.0000	1.393E-11	1.868E+8	   19.9884	   22.4233	   52.8147	   12.3233	
 -355.0000	1.394E-11	1.868E+8	   19.9858	   22.4349	   52.8071	   12.3319	
 -360.0000	1.393E-11	1.877E+8	   19.9858	   22.4170	   52.8077	   12.3155	
 -365.0000	1.394E-11	1.934E+8	   19.9858	   22.4092	   52.8343	   12.3159	
 -370.0000	1.393E-11	1.942E+8	   19.9858	   22.4461	   52.8283	   12.3483	
 -375.0000	1.393E-11	1.968E+8	   19.9884	   22.3962	   52.8397	   12.3054	
 -380.0000	1.393E-11	1.957E+8	   19.9910	   22.4194	   52.8536	   12.3309	
 -385.0000	1.394E-11	2.001E+8	   19.9936	   22.3930	   52.8564	   12.3074	
 -390.0000	1.393E-11	2.014E+8	   19.9987	   22.4032	   52.8646	   12.3191	
 -395.0000	1.394E-11	2.018E+8	   20.0013	   22.3890	   52.8713	   12.3079	
 -400.0000	1.393E-11	2.045E+8	   20.0013	   22.4047	   52.9023	   12.3314	
 -410.0000	1.393E-11	2.065E+8	   20.0013	   22.4044	   52.9105	   12.3334	
 -420.0000	1.393E-11	2.121E+8	   20.0013	   22.3927	   52.9415	   12.3315	
 -430.0000	1.393E-11	2.162E+8	   19.9987	   22.4125	   52.9431	   12.3503	
 -440.0000	1.393E-11	2.164E+8	   19.9936	   22.3931	   52.9415	   12.3319	
 -450.0000	1.393E-11	2.231E+8	   19.9936	   22.4295	   52.9532	   12.3688	
 -460.0000	1.394E-11	2.266E+8	   19.9884	   22.3971	   52.9624	   12.3416	
 -470.0000	1.393E-11	2.309E+8	   19.9884	   22.3927	   52.9567	   12.3359	
 -480.0000	1.393E-11	2.336E+8	   19.9884	   22.3987	   52.9801	   12.3482	
 -490.0000	1.393E-11	2.369E+8	   19.9884	   22.3530	   52.9798	   12.3058	
 -500.0000	1.393E-11	2.358E+8	   19.9858	   22.3985	   52.9978	   12.3531	
 -510.0000	1.393E-11	2.403E+8	   19.9884	   22.3872	   53.0123	   12.3468	
 -520.0000	1.393E-11	2.440E+8	   19.9910	   22.3775	   53.0003	   12.3343	
 -530.0000	1.394E-11	2.467E+8	   19.9910	   22.3919	   53.0262	   12.3551	
 -540.0000	1.393E-11	2.492E+8	   19.9936	   22.3867	   53.0392	   12.3540	
 -550.0000	1.393E-11	2.536E+8	   19.9961	   22.3710	   53.0433	   12.3406	
 -560.0000	1.394E-11	2.598E+8	   19.9987	   22.3587	   53.0288	   12.3251	
 -570.0000	1.393E-11	2.588E+8	   19.9987	   22.3810	   53.0449	   12.3504	
 -580.0000	1.393E-11	2.643E+8	   19.9987	   22.3744	   53.0569	   12.3477	
 -590.0000	1.393E-11	2.646E+8	   19.9987	   22.3550	   53.0904	   12.3393	
 -600.0000	1.393E-11	2.677E+8	   19.9961	   22.3579	   53.1025	   12.3455	
