GCD Test
Bias: 5000.000000
IV_34341_038_PSS_HM_XX_DIODE
Date/Time: 4/28/2021 11:29:14 AM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-2.995251E-10	-2.995251E-10	   22.5221	   22.4739	    9.2603	  -11.5941	
  -10.0000	-3.034821E-10	-3.034821E-10	   22.5195	   22.4724	    8.9845	  -11.9710	
  -15.0000	-3.072668E-10	-3.072668E-10	   22.5195	   22.4724	    8.9845	  -11.9710	
  -20.0000	-3.117081E-10	-3.117081E-10	   22.5195	   22.4662	    8.7878	  -12.2501	
  -25.0000	-3.166199E-10	-3.166199E-10	   22.5169	   22.4713	    8.6989	  -12.3720	
  -30.0000	-3.228227E-10	-3.228227E-10	   22.5169	   22.4713	    8.6989	  -12.3720	
  -35.0000	-3.267843E-10	-3.267843E-10	   22.5195	   22.4719	    8.5642	  -12.5644	
  -40.0000	-3.328224E-10	-3.328224E-10	   22.5195	   22.4719	    8.5642	  -12.5644	
  -45.0000	-3.406001E-10	-3.406001E-10	   22.5195	   22.4746	    8.4383	  -12.7450	
  -50.0000	-3.502236E-10	-3.502236E-10	   22.5169	   22.4702	    8.3460	  -12.8838	
  -55.0000	-3.585558E-10	-3.585558E-10	   22.5169	   22.4702	    8.3460	  -12.8838	
  -60.0000	-3.650480E-10	-3.650480E-10	   22.5169	   22.4702	    8.2808	  -12.9803	
  -65.0000	-3.738403E-10	-3.738403E-10	   22.5169	   22.4702	    8.2808	  -12.9803	
  -70.0000	-3.816424E-10	-3.816424E-10	   22.5143	   22.4727	    8.1803	  -13.1286	
  -75.0000	-3.857021E-10	-3.857021E-10	   22.5143	   22.4727	    8.1803	  -13.1286	
  -80.0000	-3.882336E-10	-3.882336E-10	   22.5143	   22.4745	    8.0933	  -13.2585	
  -85.0000	-3.944464E-10	-3.944464E-10	   22.5143	   22.4726	    8.0354	  -13.3479	
  -90.0000	-3.994539E-10	-3.994539E-10	   22.5143	   22.4726	    8.0354	  -13.3479	
  -95.0000	-4.022338E-10	-4.022338E-10	   22.5143	   22.4744	    7.9652	  -13.4541	
 -100.0000	-4.037301E-10	-4.037301E-10	   22.5143	   22.4744	    7.9652	  -13.4541	
 -105.0000	-4.051211E-10	-4.051211E-10	   22.5143	   22.4729	    7.8874	  -13.5754	
 -110.0000	-4.060620E-10	-4.060620E-10	   22.5143	   22.4729	    7.8874	  -13.5754	
 -115.0000	-4.076333E-10	-4.076333E-10	   22.5117	   22.4718	    7.8267	  -13.6708	
 -120.0000	-4.084210E-10	-4.084210E-10	   22.5117	   22.4730	    7.7742	  -13.7521	
 -125.0000	-4.095306E-10	-4.095306E-10	   22.5117	   22.4730	    7.7742	  -13.7521	
 -130.0000	-4.100041E-10	-4.100041E-10	   22.5117	   22.4730	    7.7271	  -13.8263	
 -135.0000	-4.114607E-10	-4.114607E-10	   22.5117	   22.4730	    7.7271	  -13.8263	
 -140.0000	-4.123379E-10	-4.123379E-10	   22.5092	   22.4744	    7.6825	  -13.8959	
 -145.0000	-4.132549E-10	-4.132549E-10	   22.5092	   22.4744	    7.6825	  -13.8959	
 -150.0000	-4.129349E-10	-4.129349E-10	   22.5092	   22.4726	    7.6176	  -14.0006	
 -155.0000	-4.138326E-10	-4.138326E-10	   22.5092	   22.4726	    7.6176	  -14.0006	
 -160.0000	-4.153859E-10	-4.153859E-10	   22.5066	   22.4679	    7.5544	  -14.1057	
 -165.0000	-4.156077E-10	-4.156077E-10	   22.5066	   22.4679	    7.5544	  -14.1057	
 -170.0000	-4.164057E-10	-4.164057E-10	   22.5092	   22.4684	    7.5013	  -14.1912	
 -175.0000	-4.171778E-10	-4.171778E-10	   22.5092	   22.4684	    7.5013	  -14.1912	
