34341_038_PSS_HM_XX_IrradSensor
Date/Time: 4/27/2021 5:52:54 PM
Sensor Name: 34341_038_PSS_HM_XX_IrradSensor
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.0700E-9	-1.0700E-9	-1.0700E-9	-1.0700E-9	-1.0700E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -10.0000	-1.2650E-9	-1.2650E-9	-1.2650E-9	-1.2650E-9	-1.2650E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -15.0000	-1.4500E-9	-1.4500E-9	-1.4500E-9	-1.4500E-9	-1.4500E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -20.0000	-1.6420E-9	-1.6420E-9	-1.6420E-9	-1.6420E-9	-1.6420E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -25.0000	-1.8220E-9	-1.8220E-9	-1.8220E-9	-1.8220E-9	-1.8220E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -30.0000	-1.9940E-9	-1.9940E-9	-1.9940E-9	-1.9940E-9	-1.9940E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -35.0000	-2.0810E-9	-2.0810E-9	-2.0810E-9	-2.0810E-9	-2.0810E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -40.0000	-2.1610E-9	-2.1610E-9	-2.1610E-9	-2.1610E-9	-2.1610E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -45.0000	-2.2390E-9	-2.2390E-9	-2.2390E-9	-2.2390E-9	-2.2390E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -50.0000	-2.3090E-9	-2.3090E-9	-2.3090E-9	-2.3090E-9	-2.3090E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -55.0000	-2.3940E-9	-2.3940E-9	-2.3940E-9	-2.3940E-9	-2.3940E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -60.0000	-2.4410E-9	-2.4410E-9	-2.4410E-9	-2.4410E-9	-2.4410E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -65.0000	-2.4860E-9	-2.4860E-9	-2.4860E-9	-2.4860E-9	-2.4860E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -70.0000	-2.5240E-9	-2.5240E-9	-2.5240E-9	-2.5240E-9	-2.5240E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -75.0000	-2.5350E-9	-2.5350E-9	-2.5350E-9	-2.5350E-9	-2.5350E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -80.0000	-2.5580E-9	-2.5580E-9	-2.5580E-9	-2.5580E-9	-2.5580E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -85.0000	-2.5920E-9	-2.5920E-9	-2.5920E-9	-2.5920E-9	-2.5920E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -90.0000	-2.6070E-9	-2.6070E-9	-2.6070E-9	-2.6070E-9	-2.6070E-9	   27.8694	   27.1272	    3.8917	    0.0000	
  -95.0000	-2.6280E-9	-2.6280E-9	-2.6280E-9	-2.6280E-9	-2.6280E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -100.0000	-2.6520E-9	-2.6520E-9	-2.6520E-9	-2.6520E-9	-2.6520E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -105.0000	-2.6570E-9	-2.6570E-9	-2.6570E-9	-2.6570E-9	-2.6570E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -110.0000	-2.6690E-9	-2.6690E-9	-2.6690E-9	-2.6690E-9	-2.6690E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -115.0000	-2.6900E-9	-2.6900E-9	-2.6900E-9	-2.6900E-9	-2.6900E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -120.0000	-2.6970E-9	-2.6970E-9	-2.6970E-9	-2.6970E-9	-2.6970E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -125.0000	-2.6980E-9	-2.6980E-9	-2.6980E-9	-2.6980E-9	-2.6980E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -130.0000	-2.7160E-9	-2.7160E-9	-2.7160E-9	-2.7160E-9	-2.7160E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -135.0000	-2.7250E-9	-2.7250E-9	-2.7250E-9	-2.7250E-9	-2.7250E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -140.0000	-2.7320E-9	-2.7320E-9	-2.7320E-9	-2.7320E-9	-2.7320E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -145.0000	-2.7320E-9	-2.7320E-9	-2.7320E-9	-2.7320E-9	-2.7320E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -150.0000	-2.7410E-9	-2.7410E-9	-2.7410E-9	-2.7410E-9	-2.7410E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -155.0000	-2.7420E-9	-2.7420E-9	-2.7420E-9	-2.7420E-9	-2.7420E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -160.0000	-2.7570E-9	-2.7570E-9	-2.7570E-9	-2.7570E-9	-2.7570E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -165.0000	-2.7660E-9	-2.7660E-9	-2.7660E-9	-2.7660E-9	-2.7660E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -170.0000	-2.7620E-9	-2.7620E-9	-2.7620E-9	-2.7620E-9	-2.7620E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -175.0000	-2.7730E-9	-2.7730E-9	-2.7730E-9	-2.7730E-9	-2.7730E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -180.0000	-2.7660E-9	-2.7660E-9	-2.7660E-9	-2.7660E-9	-2.7660E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -185.0000	-2.7740E-9	-2.7740E-9	-2.7740E-9	-2.7740E-9	-2.7740E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -190.0000	-2.7850E-9	-2.7850E-9	-2.7850E-9	-2.7850E-9	-2.7850E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -195.0000	-2.7800E-9	-2.7800E-9	-2.7800E-9	-2.7800E-9	-2.7800E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -200.0000	-2.7860E-9	-2.7860E-9	-2.7860E-9	-2.7860E-9	-2.7860E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -205.0000	-2.7830E-9	-2.7830E-9	-2.7830E-9	-2.7830E-9	-2.7830E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -210.0000	-2.7990E-9	-2.7990E-9	-2.7990E-9	-2.7990E-9	-2.7990E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -215.0000	-2.8100E-9	-2.8100E-9	-2.8100E-9	-2.8100E-9	-2.8100E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -220.0000	-2.8060E-9	-2.8060E-9	-2.8060E-9	-2.8060E-9	-2.8060E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -225.0000	-2.8170E-9	-2.8170E-9	-2.8170E-9	-2.8170E-9	-2.8170E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -230.0000	-2.8180E-9	-2.8180E-9	-2.8180E-9	-2.8180E-9	-2.8180E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -235.0000	-2.8360E-9	-2.8360E-9	-2.8360E-9	-2.8360E-9	-2.8360E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -240.0000	-2.8510E-9	-2.8510E-9	-2.8510E-9	-2.8510E-9	-2.8510E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -245.0000	-2.8470E-9	-2.8470E-9	-2.8470E-9	-2.8470E-9	-2.8470E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -250.0000	-2.8620E-9	-2.8620E-9	-2.8620E-9	-2.8620E-9	-2.8620E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -255.0000	-2.8630E-9	-2.8630E-9	-2.8630E-9	-2.8630E-9	-2.8630E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -260.0000	-2.8840E-9	-2.8840E-9	-2.8840E-9	-2.8840E-9	-2.8840E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -265.0000	-2.8850E-9	-2.8850E-9	-2.8850E-9	-2.8850E-9	-2.8850E-9	   27.8694	   27.1272	    3.8917	    0.0000	
 -270.0000	-2.8870E-9	-2.8870E-9	-2.8870E-9	-2.8870E-9	-2.8870E-9	   27.8694	   27.1272	    3.8917	    0.0000	
