38696_001_2-S_HM_XX_Irrad_20min
Date/Time: 4/29/2022 11:09:54 AM
Sensor Name: 38696_001_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.663E-10	1.425E-6	  -20.0000	   26.3476	    1.3194	    0.0000	
  -20.0000	1.647E-10	1.096E-6	  -20.0000	   26.3476	    1.3194	    0.0000	
  -30.0000	1.578E-10	9.071E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -40.0000	1.506E-10	7.809E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -50.0000	1.441E-10	6.877E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -60.0000	1.383E-10	6.168E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -70.0000	1.328E-10	5.639E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -80.0000	1.279E-10	5.177E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
  -90.0000	1.240E-10	4.774E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -100.0000	1.201E-10	4.458E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -110.0000	1.165E-10	4.182E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -120.0000	1.131E-10	3.953E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -130.0000	1.104E-10	3.716E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -140.0000	1.074E-10	3.533E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -150.0000	1.048E-10	3.371E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -160.0000	1.025E-10	3.231E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -170.0000	1.002E-10	3.077E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -180.0000	9.797E-11	2.958E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -190.0000	9.634E-11	2.837E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -200.0000	9.364E-11	2.686E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -210.0000	9.254E-11	2.613E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -220.0000	9.085E-11	2.533E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -230.0000	8.867E-11	2.388E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -240.0000	8.659E-11	2.341E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -250.0000	8.588E-11	2.262E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -260.0000	8.363E-11	2.151E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -270.0000	8.232E-11	2.010E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -280.0000	8.082E-11	1.956E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -290.0000	8.010E-11	1.853E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -300.0000	7.857E-11	1.817E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
 -310.0000	7.640E-11	1.698E-7	  -20.0000	   26.3476	    1.3194	    0.0000	
