38873_035_2-S_HM_XX_Irrad_20min
Date/Time: 4/22/2022 10:02:18 AM
Sensor Name: 38873_035_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.2100E-6	-2.2100E-6	-2.2100E-6	-2.2100E-6	-2.2100E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -20.0000	-2.9300E-6	-2.9300E-6	-2.9300E-6	-2.9300E-6	-2.9300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -30.0000	-3.5000E-6	-3.5000E-6	-3.5000E-6	-3.5000E-6	-3.5000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -40.0000	-3.9800E-6	-3.9800E-6	-3.9800E-6	-3.9800E-6	-3.9800E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -50.0000	-4.4000E-6	-4.4000E-6	-4.4000E-6	-4.4000E-6	-4.4000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -60.0000	-4.8000E-6	-4.8000E-6	-4.8000E-6	-4.8000E-6	-4.8000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -70.0000	-5.1600E-6	-5.1600E-6	-5.1600E-6	-5.1600E-6	-5.1600E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -80.0000	-5.5000E-6	-5.5000E-6	-5.5000E-6	-5.5000E-6	-5.5000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
  -90.0000	-5.8300E-6	-5.8300E-6	-5.8300E-6	-5.8300E-6	-5.8300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -100.0000	-6.1300E-6	-6.1300E-6	-6.1300E-6	-6.1300E-6	-6.1300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -110.0000	-6.4300E-6	-6.4300E-6	-6.4300E-6	-6.4300E-6	-6.4300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -120.0000	-6.7000E-6	-6.7000E-6	-6.7000E-6	-6.7000E-6	-6.7000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -130.0000	-6.9800E-6	-6.9800E-6	-6.9800E-6	-6.9800E-6	-6.9800E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -140.0000	-7.2300E-6	-7.2300E-6	-7.2300E-6	-7.2300E-6	-7.2300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -150.0000	-7.4900E-6	-7.4900E-6	-7.4900E-6	-7.4900E-6	-7.4900E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -160.0000	-7.7300E-6	-7.7300E-6	-7.7300E-6	-7.7300E-6	-7.7300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -170.0000	-7.9700E-6	-7.9700E-6	-7.9700E-6	-7.9700E-6	-7.9700E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -180.0000	-8.2000E-6	-8.2000E-6	-8.2000E-6	-8.2000E-6	-8.2000E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
 -190.0000	-8.4300E-6	-8.4300E-6	-8.4300E-6	-8.4300E-6	-8.4300E-6	  -19.9000	   26.1840	    1.4087	    0.0000	
