38875_004_2-S_HM_XX_Irrad_20min
Date/Time: 4/22/2022 3:35:49 PM
Sensor Name: 38875_004_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.705E-10	1.390E-6	  -20.0000	   23.7259	    1.6816	    0.0000	
  -20.0000	1.674E-10	1.053E-6	  -20.0000	   23.7259	    1.6816	    0.0000	
  -30.0000	1.593E-10	8.610E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -40.0000	1.512E-10	7.365E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -50.0000	1.443E-10	6.452E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -60.0000	1.380E-10	5.772E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -70.0000	1.327E-10	5.224E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -80.0000	1.275E-10	4.802E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
  -90.0000	1.233E-10	4.409E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -100.0000	1.193E-10	4.128E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -110.0000	1.159E-10	3.846E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -120.0000	1.123E-10	3.649E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -130.0000	1.096E-10	3.429E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -140.0000	1.064E-10	3.270E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -150.0000	1.036E-10	3.124E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -160.0000	1.014E-10	2.981E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -170.0000	9.896E-11	2.812E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -180.0000	9.673E-11	2.720E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -190.0000	9.456E-11	2.633E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -200.0000	9.237E-11	2.508E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -210.0000	9.094E-11	2.413E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -220.0000	8.969E-11	2.281E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -230.0000	8.732E-11	2.212E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -240.0000	8.652E-11	2.109E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -250.0000	8.412E-11	2.045E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -260.0000	8.281E-11	1.976E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -270.0000	8.123E-11	1.907E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -280.0000	7.982E-11	1.813E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -290.0000	7.844E-11	1.708E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -300.0000	7.736E-11	1.667E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -310.0000	7.593E-11	1.576E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -320.0000	7.452E-11	1.508E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -330.0000	7.290E-11	1.466E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -340.0000	7.192E-11	1.402E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -350.0000	7.040E-11	1.315E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -360.0000	6.967E-11	1.295E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -370.0000	6.743E-11	1.166E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -380.0000	6.686E-11	1.170E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
 -390.0000	6.552E-11	1.115E-7	  -20.0000	   23.7259	    1.6816	    0.0000	
