34252_008_PSS_XX_HM_IrradSensor
Date/Time: 5/27/2021 10:23:21 AM
Sensor Name: 34252_008_PSS_XX_HM_IrradSensor
Type: P
Annealing Status: Not Irradiated
Environment: 20 minutes
Tester: Eric Spencer
Notes: Irradiated to 1.1e15 at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500



BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.567E-10	1.742E-6	  -20.0000	   27.9666	    2.2238	    0.0000	
  -20.0000	1.643E-10	1.425E-6	  -20.0000	   27.9666	    2.2238	    0.0000	
  -30.0000	1.637E-10	1.225E-6	  -20.0000	   27.9666	    2.2238	    0.0000	
  -40.0000	1.608E-10	1.090E-6	  -20.0000	   27.9666	    2.2238	    0.0000	
  -50.0000	1.568E-10	9.793E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
  -60.0000	1.524E-10	8.950E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
  -70.0000	1.478E-10	8.291E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
  -80.0000	1.450E-10	7.699E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
  -90.0000	1.404E-10	7.184E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -100.0000	1.368E-10	6.853E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -110.0000	1.323E-10	6.417E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -120.0000	1.297E-10	6.119E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -130.0000	1.258E-10	5.820E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -140.0000	1.246E-10	5.506E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -150.0000	1.221E-10	5.368E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -160.0000	1.198E-10	5.080E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -170.0000	1.167E-10	4.950E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -180.0000	1.148E-10	4.714E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -190.0000	1.133E-10	4.638E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -200.0000	1.114E-10	4.376E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -210.0000	1.105E-10	4.248E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -220.0000	1.074E-10	4.223E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -230.0000	1.074E-10	4.074E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -240.0000	1.046E-10	3.969E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -250.0000	1.031E-10	3.871E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -260.0000	1.004E-10	3.762E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -270.0000	9.901E-11	3.816E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -280.0000	9.995E-11	3.569E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -290.0000	9.677E-11	3.497E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -300.0000	9.619E-11	3.487E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -310.0000	9.539E-11	3.425E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -320.0000	9.201E-11	3.330E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -330.0000	9.447E-11	3.354E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -340.0000	8.968E-11	3.203E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -350.0000	8.980E-11	3.122E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -360.0000	8.886E-11	3.082E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -370.0000	8.729E-11	2.981E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -380.0000	8.558E-11	2.943E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -390.0000	8.747E-11	2.870E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -400.0000	8.359E-11	2.920E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -410.0000	8.490E-11	2.809E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -420.0000	8.276E-11	2.848E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -430.0000	8.222E-11	2.645E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -440.0000	7.848E-11	2.675E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -450.0000	7.861E-11	2.600E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -460.0000	7.828E-11	2.621E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -470.0000	7.659E-11	2.429E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -480.0000	7.434E-11	2.448E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -490.0000	7.383E-11	2.324E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -500.0000	7.258E-11	2.429E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -510.0000	7.253E-11	2.226E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -520.0000	7.315E-11	2.364E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -530.0000	7.086E-11	2.076E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -540.0000	7.079E-11	2.076E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -550.0000	6.755E-11	2.151E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -560.0000	6.575E-11	2.035E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -570.0000	6.735E-11	2.058E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -580.0000	6.454E-11	1.979E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -590.0000	6.506E-11	1.837E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -600.0000	6.578E-11	1.924E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -610.0000	6.394E-11	1.724E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -620.0000	6.045E-11	1.757E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -630.0000	6.125E-11	1.758E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -640.0000	5.935E-11	1.676E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -650.0000	5.787E-11	1.722E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -660.0000	5.848E-11	1.707E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -670.0000	5.785E-11	1.505E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -680.0000	5.835E-11	1.408E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -690.0000	5.424E-11	1.557E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -700.0000	5.709E-11	1.467E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -710.0000	5.492E-11	1.510E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -720.0000	5.453E-11	1.503E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -730.0000	5.402E-11	1.465E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -740.0000	5.380E-11	1.243E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -750.0000	5.144E-11	1.288E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -760.0000	5.323E-11	1.248E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -770.0000	5.151E-11	1.259E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -780.0000	5.131E-11	1.134E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -790.0000	5.028E-11	1.188E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -800.0000	5.148E-11	1.172E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -810.0000	5.103E-11	1.049E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -820.0000	5.158E-11	1.146E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -830.0000	4.928E-11	1.075E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -840.0000	5.120E-11	1.077E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -850.0000	4.936E-11	1.098E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -860.0000	4.762E-11	1.122E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -870.0000	4.640E-11	1.037E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -880.0000	4.803E-11	1.036E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -890.0000	4.634E-11	9.976E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -900.0000	4.913E-11	9.432E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -910.0000	4.723E-11	9.347E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -920.0000	4.678E-11	1.006E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -930.0000	4.885E-11	1.091E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -940.0000	4.992E-11	9.612E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -950.0000	4.772E-11	1.103E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -960.0000	4.630E-11	9.775E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -970.0000	4.688E-11	1.002E-7	  -20.0000	   27.9666	    2.2238	    0.0000	
 -980.0000	4.435E-11	8.705E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
 -990.0000	4.795E-11	9.617E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
-1000.0000	4.760E-11	9.852E-8	  -20.0000	   27.9666	    2.2238	    0.0000	
