GCD Test
Bias: 5000.000000
IV_34340_039_PSS_HM_XX_DIODEQUARTER_Irradiated
Date/Time: 7/2/2021 12:52:45 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.0340E-7	-1.0350E-7	-1.0370E-7	-1.0310E-7	-1.0330E-7	-1.043213E-7	-1.043451E-7	-1.040409E-7	-1.042901E-7	-1.046089E-7	  -20.7205	   10.7388	    5.0670	  -27.2379	
  -20.0000	-1.3983E-7	-1.4070E-7	-1.4040E-7	-1.3960E-7	-1.3860E-7	-1.402285E-7	-1.389197E-7	-1.404557E-7	-1.413548E-7	-1.401836E-7	  -20.7867	   10.7556	    5.0231	  -27.3199	
  -30.0000	-1.6755E-7	-1.6770E-7	-1.6750E-7	-1.6690E-7	-1.6810E-7	-1.659861E-7	-1.671130E-7	-1.662973E-7	-1.657719E-7	-1.647622E-7	  -20.8273	   10.7864	    4.9766	  -27.3981	
  -40.0000	-1.8812E-7	-1.8890E-7	-1.8830E-7	-1.8770E-7	-1.8760E-7	-1.898444E-7	-1.878857E-7	-1.891297E-7	-1.910062E-7	-1.913558E-7	  -20.8833	   10.7057	    4.9035	  -27.6151	
  -50.0000	-2.0755E-7	-2.0780E-7	-2.0740E-7	-2.0740E-7	-2.0760E-7	-2.075121E-7	-2.080367E-7	-2.080456E-7	-2.068006E-7	-2.071656E-7	  -20.8833	   10.7057	    4.8741	  -27.6798	
  -60.0000	-2.2457E-7	-2.2540E-7	-2.2380E-7	-2.2340E-7	-2.2570E-7	-2.261961E-7	-2.279245E-7	-2.262687E-7	-2.253581E-7	-2.252330E-7	  -20.8807	   10.7061	    4.8270	  -27.7840	
  -70.0000	-2.4095E-7	-2.3970E-7	-2.4090E-7	-2.4180E-7	-2.4140E-7	-2.408496E-7	-2.396780E-7	-2.407225E-7	-2.419486E-7	-2.410494E-7	  -20.8655	   10.7099	    4.7514	  -27.9506	
  -80.0000	-2.5670E-7	-2.5690E-7	-2.5580E-7	-2.5560E-7	-2.5850E-7	-2.595536E-7	-2.581687E-7	-2.596628E-7	-2.602752E-7	-2.601076E-7	  -20.8248	   10.7099	    4.7141	  -28.0351	
  -90.0000	-2.7257E-7	-2.7200E-7	-2.7280E-7	-2.7240E-7	-2.7310E-7	-2.722113E-7	-2.722274E-7	-2.718801E-7	-2.728099E-7	-2.719278E-7	  -20.7358	   10.7195	    4.6752	  -28.1171	
 -100.0000	-2.8785E-7	-2.8860E-7	-2.8790E-7	-2.8790E-7	-2.8700E-7	-2.872154E-7	-2.872345E-7	-2.867020E-7	-2.860467E-7	-2.888784E-7	  -20.6773	   10.6865	    4.6268	  -28.2519	
 -110.0000	-3.0147E-7	-2.9870E-7	-3.0020E-7	-3.0270E-7	-3.0430E-7	-3.041153E-7	-3.052179E-7	-3.043220E-7	-3.018150E-7	-3.051064E-7	  -20.6290	   10.7217	    4.5949	  -28.3009	
