GCD Test
Bias: 5000.000000
CV_34340_040_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 8/19/2021 2:14:55 PM
Sensor Name: 34340_040_PSS_HM_XX_DIODEHALF
Type: P
Annealing Status: Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.691E-11	6.678E-12	7.063E+6	4.179E+6	  -19.9880	    7.8383	    4.7549	  -29.9975	
  -20.0000	1.600E-11	6.638E-12	9.652E+6	4.990E+6	  -19.9957	    7.7253	    4.7625	  -30.0617	
  -30.0000	1.470E-11	6.644E-12	1.211E+7	5.682E+6	  -19.9880	    7.5948	    4.7698	  -30.1393	
  -40.0000	1.365E-11	6.652E-12	1.470E+7	6.265E+6	  -20.0186	    7.6477	    4.7644	  -30.1132	
  -50.0000	1.294E-11	6.650E-12	1.733E+7	6.760E+6	  -20.0211	    7.9677	    4.7638	  -29.8852	
  -60.0000	1.248E-11	6.651E-12	1.968E+7	7.168E+6	  -20.0338	    7.7812	    4.7906	  -29.9597	
  -70.0000	1.202E-11	6.647E-12	2.189E+7	7.620E+6	  -20.0338	    8.0320	    4.7881	  -29.7853	
  -80.0000	1.169E-11	6.646E-12	2.388E+7	8.023E+6	  -20.0287	    8.0550	    4.7941	  -29.7556	
  -90.0000	1.141E-11	6.647E-12	2.576E+7	8.360E+6	  -20.0364	    8.0663	    4.7872	  -29.7628	
 -100.0000	1.113E-11	6.648E-12	2.763E+7	8.687E+6	  -20.0440	    7.9759	    4.7966	  -29.8068	
 -110.0000	1.091E-11	6.644E-12	2.932E+7	9.029E+6	  -20.0440	    7.8201	    4.7970	  -29.9179	
 -120.0000	1.074E-11	6.657E-12	3.108E+7	9.238E+6	  -20.0491	    7.9660	    4.7979	  -29.8112	
 -130.0000	1.056E-11	6.650E-12	3.267E+7	9.590E+6	  -20.0516	    8.1259	    4.8321	  -29.6216	
 -140.0000	1.040E-11	6.647E-12	3.416E+7	9.873E+6	  -20.0516	    8.0953	    4.8488	  -29.6070	
 -150.0000	1.025E-11	6.645E-12	3.556E+7	1.013E+7	  -20.0440	    8.1444	    4.8564	  -29.5552	
 -160.0000	1.009E-11	6.637E-12	3.704E+7	1.046E+7	  -20.0491	    8.1317	    4.8650	  -29.5458	
 -170.0000	9.959E-12	6.632E-12	3.851E+7	1.075E+7	  -20.0491	    8.2723	    4.8763	  -29.4201	
 -180.0000	9.839E-12	6.628E-12	3.985E+7	1.101E+7	  -20.0465	    8.2723	    4.8738	  -29.4256	
 -190.0000	9.732E-12	6.619E-12	4.115E+7	1.137E+7	  -20.0415	    8.0943	    4.8688	  -29.5596	
 -200.0000	9.605E-12	6.614E-12	4.268E+7	1.166E+7	  -20.0440	    7.9854	    4.8659	  -29.6488	
 -210.0000	9.488E-12	6.603E-12	4.417E+7	1.209E+7	  -20.0440	    8.0439	    4.8697	  -29.5986	
 -220.0000	9.391E-12	6.599E-12	4.563E+7	1.235E+7	  -20.0440	    8.0102	    4.8719	  -29.6180	
 -230.0000	9.287E-12	6.593E-12	4.721E+7	1.268E+7	  -20.0237	    8.1677	    4.8700	  -29.5089	
 -240.0000	9.188E-12	6.586E-12	4.874E+7	1.309E+7	  -20.0287	    8.1438	    4.8697	  -29.5268	
 -250.0000	9.089E-12	6.579E-12	5.042E+7	1.350E+7	  -20.0338	    8.0867	    4.8713	  -29.5644	
 -260.0000	8.995E-12	6.574E-12	5.218E+7	1.387E+7	  -20.0287	    8.1080	    4.8428	  -29.6110	
 -270.0000	8.896E-12	6.568E-12	5.414E+7	1.430E+7	  -20.0186	    7.9721	    4.8599	  -29.6714	
 -280.0000	8.803E-12	6.562E-12	5.617E+7	1.478E+7	  -20.0084	    7.9721	    4.8552	  -29.6817	
 -290.0000	8.709E-12	6.558E-12	5.830E+7	1.520E+7	  -20.0008	    8.1071	    4.8669	  -29.5593	
 -300.0000	8.627E-12	6.554E-12	6.032E+7	1.562E+7	  -20.0109	    8.4215	    4.8871	  -29.2897	
 -310.0000	8.544E-12	6.552E-12	6.244E+7	1.603E+7	  -19.9982	    7.8565	    4.9029	  -29.6616	
 -320.0000	8.463E-12	6.549E-12	6.481E+7	1.652E+7	  -19.9957	    7.8979	    4.9260	  -29.5822	
 -330.0000	8.375E-12	6.546E-12	6.729E+7	1.700E+7	  -19.9830	    8.5265	    4.9681	  -29.0400	
 -340.0000	8.290E-12	6.542E-12	6.991E+7	1.753E+7	  -19.9753	    8.3063	    4.9804	  -29.1722	
 -350.0000	8.221E-12	6.540E-12	7.249E+7	1.802E+7	  -19.9880	    8.1780	    4.9801	  -29.2652	
 -360.0000	8.139E-12	6.537E-12	7.523E+7	1.851E+7	  -19.9931	    8.0947	    4.9987	  -29.2855	
 -370.0000	8.075E-12	6.536E-12	7.780E+7	1.892E+7	  -19.9880	    8.2425	    4.9962	  -29.1845	
 -380.0000	7.994E-12	6.534E-12	8.103E+7	1.947E+7	  -19.9880	    8.0633	    5.0038	  -29.2975	
 -390.0000	7.932E-12	6.532E-12	8.377E+7	1.996E+7	  -19.9906	    8.2577	    5.0022	  -29.1608	
 -400.0000	7.865E-12	6.532E-12	8.688E+7	2.038E+7	  -19.9880	    8.0161	    4.9984	  -29.3428	
 -410.0000	7.803E-12	6.530E-12	9.005E+7	2.089E+7	  -19.9830	    8.0238	    4.9826	  -29.3708	
 -420.0000	7.749E-12	6.528E-12	9.365E+7	2.142E+7	  -19.9830	    7.9717	    4.9817	  -29.4097	
 -430.0000	7.691E-12	6.527E-12	9.707E+7	2.183E+7	  -19.9626	    8.1608	    4.9760	  -29.2863	
 -440.0000	7.638E-12	6.526E-12	1.006E+8	2.225E+7	  -19.9601	    8.1648	    4.9747	  -29.2862	
 -450.0000	7.587E-12	6.524E-12	1.042E+8	2.275E+7	  -19.9423	    8.0111	    4.9775	  -29.3907	
 -460.0000	7.543E-12	6.522E-12	1.077E+8	2.323E+7	  -19.9677	    8.1076	    5.0019	  -29.2696	
 -470.0000	7.501E-12	6.523E-12	1.110E+8	2.357E+7	  -19.9728	    8.0333	    5.0060	  -29.3144	
 -480.0000	7.459E-12	6.521E-12	1.152E+8	2.401E+7	  -19.9702	    7.8680	    5.0082	  -29.4288	
 -490.0000	7.421E-12	6.521E-12	1.194E+8	2.439E+7	  -19.9855	    7.9381	    5.0190	  -29.3556	
 -500.0000	7.384E-12	6.521E-12	1.234E+8	2.478E+7	  -19.9957	    8.0626	    5.0123	  -29.2799	
 -510.0000	7.345E-12	6.519E-12	1.277E+8	2.518E+7	  -20.0008	    8.0626	    5.0060	  -29.2933	
 -520.0000	7.318E-12	6.519E-12	1.321E+8	2.549E+7	  -19.9906	    8.1353	    5.0145	  -29.2229	
 -530.0000	7.286E-12	6.519E-12	1.362E+8	2.580E+7	  -20.0008	    7.9884	    5.0145	  -29.3287	
 -540.0000	7.269E-12	6.518E-12	1.403E+8	2.614E+7	  -19.9982	    7.9929	    5.0082	  -29.3388	
 -550.0000	7.239E-12	6.517E-12	1.444E+8	2.643E+7	  -20.0084	    7.9991	    5.0051	  -29.3410	
 -560.0000	7.221E-12	6.518E-12	1.485E+8	2.665E+7	  -20.0059	    8.1469	    4.9946	  -29.2567	
 -570.0000	7.197E-12	6.519E-12	1.526E+8	2.686E+7	  -20.0160	    7.7682	    4.9924	  -29.5341	
 -580.0000	7.183E-12	6.517E-12	1.563E+8	2.722E+7	  -19.9982	    8.0088	    4.9987	  -29.3474	
 -590.0000	7.166E-12	6.517E-12	1.621E+8	2.746E+7	  -19.9906	    7.7337	    4.9817	  -29.5817	
 -600.0000	7.150E-12	6.517E-12	1.657E+8	2.764E+7	  -19.9906	    7.9175	    4.9788	  -29.4554	
 -610.0000	7.132E-12	6.517E-12	1.700E+8	2.785E+7	  -20.0084	    7.6925	    4.9817	  -29.6114	
 -620.0000	7.122E-12	6.516E-12	1.742E+8	2.809E+7	  -20.0109	    8.0801	    4.9794	  -29.3370	
 -630.0000	7.109E-12	6.517E-12	1.775E+8	2.823E+7	  -20.0109	    7.6399	    4.9655	  -29.6835	
 -640.0000	7.098E-12	6.517E-12	1.813E+8	2.841E+7	  -20.0059	    7.6858	    4.9687	  -29.6437	
