GCD Test
Bias: 5000.000000
IV_34341_041_PSS_HM_XX_DIODEHALF_Irradiated
Date/Time: 9/2/2021 9:19:07 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.3945E-7	-2.3990E-7	-2.3970E-7	-2.3960E-7	-2.3860E-7	-2.390123E-7	-2.393793E-7	-2.391317E-7	-2.386037E-7	-2.389344E-7	  -19.9397	    9.3322	    5.1613	  -28.0527	
  -20.0000	-3.2305E-7	-3.2380E-7	-3.2460E-7	-3.2210E-7	-3.2170E-7	-3.237140E-7	-3.235218E-7	-3.243844E-7	-3.239703E-7	-3.229793E-7	  -19.9423	    9.3621	    5.1575	  -28.0390	
  -30.0000	-3.8900E-7	-3.8940E-7	-3.8950E-7	-3.8870E-7	-3.8840E-7	-3.894939E-7	-3.892779E-7	-3.905999E-7	-3.888659E-7	-3.892318E-7	  -19.9448	    9.3519	    5.1733	  -28.0135	
  -40.0000	-4.4230E-7	-4.4200E-7	-4.4200E-7	-4.4310E-7	-4.4210E-7	-4.426051E-7	-4.434199E-7	-4.435302E-7	-4.427571E-7	-4.407131E-7	  -19.9601	    9.3445	    5.1645	  -28.0373	
  -50.0000	-4.9015E-7	-4.8940E-7	-4.8990E-7	-4.8970E-7	-4.9160E-7	-4.901439E-7	-4.907830E-7	-4.890178E-7	-4.904903E-7	-4.902844E-7	  -19.9677	    9.3353	    5.1724	  -28.0275	
  -60.0000	-5.3390E-7	-5.3550E-7	-5.3470E-7	-5.3370E-7	-5.3170E-7	-5.340199E-7	-5.361005E-7	-5.331253E-7	-5.332024E-7	-5.336515E-7	  -19.9753	    9.3000	    5.1657	  -28.0667	
  -70.0000	-5.7205E-7	-5.7410E-7	-5.7010E-7	-5.7010E-7	-5.7390E-7	-5.739296E-7	-5.730519E-7	-5.738253E-7	-5.749362E-7	-5.739050E-7	  -19.9931	    9.2729	    5.1736	  -28.0699	
  -80.0000	-6.0660E-7	-6.0780E-7	-6.0880E-7	-6.0610E-7	-6.0370E-7	-6.066921E-7	-6.045369E-7	-6.086719E-7	-6.067421E-7	-6.068173E-7	  -20.0008	    9.2408	    5.1708	  -28.0989	
  -90.0000	-6.4082E-7	-6.3890E-7	-6.3990E-7	-6.4140E-7	-6.4310E-7	-6.416114E-7	-6.418363E-7	-6.419799E-7	-6.414146E-7	-6.412148E-7	  -20.0160	    9.2489	    5.1727	  -28.0892	
 -100.0000	-6.7122E-7	-6.7390E-7	-6.7250E-7	-6.6790E-7	-6.7060E-7	-6.735132E-7	-6.739970E-7	-6.728313E-7	-6.735981E-7	-6.736265E-7	  -20.0415	    9.2364	    5.1603	  -28.1238	
 -110.0000	-7.0270E-7	-7.0220E-7	-7.0390E-7	-7.0160E-7	-7.0310E-7	-7.028230E-7	-7.044154E-7	-7.042647E-7	-7.023937E-7	-7.002182E-7	  -20.0287	    9.2537	    5.1524	  -28.1277	
