36696_039_PSS_XX_HM
Date/Time: 9/14/2021 5:22:09 PM
Sensor Name: 36696_039_PSS_XX_HM
Type: P
Annealing Status: 20 minutes
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated to 1.1e15 at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.4000E-6	-3.4000E-6	-3.4000E-6	-3.4000E-6	-3.4000E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -20.0000	-4.6200E-6	-4.6200E-6	-4.6200E-6	-4.6200E-6	-4.6200E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -30.0000	-5.5800E-6	-5.5800E-6	-5.5800E-6	-5.5800E-6	-5.5800E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -40.0000	-6.4000E-6	-6.4000E-6	-6.4000E-6	-6.4000E-6	-6.4000E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -50.0000	-7.1400E-6	-7.1400E-6	-7.1400E-6	-7.1400E-6	-7.1400E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -60.0000	-7.8100E-6	-7.8100E-6	-7.8100E-6	-7.8100E-6	-7.8100E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -70.0000	-8.4400E-6	-8.4400E-6	-8.4400E-6	-8.4400E-6	-8.4400E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -80.0000	-9.0300E-6	-9.0300E-6	-9.0300E-6	-9.0300E-6	-9.0300E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
  -90.0000	-9.5800E-6	-9.5800E-6	-9.5800E-6	-9.5800E-6	-9.5800E-6	  -19.9000	   25.7628	    1.7852	    0.0000	
 -100.0000	-1.0120E-5	-1.0120E-5	-1.0120E-5	-1.0120E-5	-1.0120E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -110.0000	-1.0630E-5	-1.0630E-5	-1.0630E-5	-1.0630E-5	-1.0630E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -120.0000	-1.1130E-5	-1.1130E-5	-1.1130E-5	-1.1130E-5	-1.1130E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -130.0000	-1.1600E-5	-1.1600E-5	-1.1600E-5	-1.1600E-5	-1.1600E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -140.0000	-1.2060E-5	-1.2060E-5	-1.2060E-5	-1.2060E-5	-1.2060E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -150.0000	-1.2510E-5	-1.2510E-5	-1.2510E-5	-1.2510E-5	-1.2510E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -160.0000	-1.2950E-5	-1.2950E-5	-1.2950E-5	-1.2950E-5	-1.2950E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -170.0000	-1.3380E-5	-1.3380E-5	-1.3380E-5	-1.3380E-5	-1.3380E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -180.0000	-1.3800E-5	-1.3800E-5	-1.3800E-5	-1.3800E-5	-1.3800E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -190.0000	-1.4210E-5	-1.4210E-5	-1.4210E-5	-1.4210E-5	-1.4210E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -200.0000	-1.4610E-5	-1.4610E-5	-1.4610E-5	-1.4610E-5	-1.4610E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -210.0000	-1.5010E-5	-1.5010E-5	-1.5010E-5	-1.5010E-5	-1.5010E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -220.0000	-1.5390E-5	-1.5390E-5	-1.5390E-5	-1.5390E-5	-1.5390E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -230.0000	-1.5780E-5	-1.5780E-5	-1.5780E-5	-1.5780E-5	-1.5780E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -240.0000	-1.6150E-5	-1.6150E-5	-1.6150E-5	-1.6150E-5	-1.6150E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -250.0000	-1.6520E-5	-1.6520E-5	-1.6520E-5	-1.6520E-5	-1.6520E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -260.0000	-1.6880E-5	-1.6880E-5	-1.6880E-5	-1.6880E-5	-1.6880E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -270.0000	-1.7240E-5	-1.7240E-5	-1.7240E-5	-1.7240E-5	-1.7240E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -280.0000	-1.7590E-5	-1.7590E-5	-1.7590E-5	-1.7590E-5	-1.7590E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -290.0000	-1.7940E-5	-1.7940E-5	-1.7940E-5	-1.7940E-5	-1.7940E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -300.0000	-1.8290E-5	-1.8290E-5	-1.8290E-5	-1.8290E-5	-1.8290E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -310.0000	-1.8620E-5	-1.8620E-5	-1.8620E-5	-1.8620E-5	-1.8620E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -320.0000	-1.8960E-5	-1.8960E-5	-1.8960E-5	-1.8960E-5	-1.8960E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -330.0000	-1.9280E-5	-1.9280E-5	-1.9280E-5	-1.9280E-5	-1.9280E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -340.0000	-1.9610E-5	-1.9610E-5	-1.9610E-5	-1.9610E-5	-1.9610E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -350.0000	-1.9920E-5	-1.9920E-5	-1.9920E-5	-1.9920E-5	-1.9920E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -360.0000	-2.0240E-5	-2.0240E-5	-2.0240E-5	-2.0240E-5	-2.0240E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -370.0000	-2.0550E-5	-2.0550E-5	-2.0550E-5	-2.0550E-5	-2.0550E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -380.0000	-2.0860E-5	-2.0860E-5	-2.0860E-5	-2.0860E-5	-2.0860E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -390.0000	-2.1150E-5	-2.1150E-5	-2.1150E-5	-2.1150E-5	-2.1150E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -400.0000	-2.1430E-5	-2.1430E-5	-2.1430E-5	-2.1430E-5	-2.1430E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -410.0000	-2.1730E-5	-2.1730E-5	-2.1730E-5	-2.1730E-5	-2.1730E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -420.0000	-2.2010E-5	-2.2010E-5	-2.2010E-5	-2.2010E-5	-2.2010E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -430.0000	-2.2300E-5	-2.2300E-5	-2.2300E-5	-2.2300E-5	-2.2300E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -440.0000	-2.2560E-5	-2.2560E-5	-2.2560E-5	-2.2560E-5	-2.2560E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -450.0000	-2.2820E-5	-2.2820E-5	-2.2820E-5	-2.2820E-5	-2.2820E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
 -460.0000	-2.3080E-5	-2.3080E-5	-2.3080E-5	-2.3080E-5	-2.3080E-5	  -19.9000	   25.7628	    1.7852	    0.0000	
