GCD Test
Bias: 5000.000000
CV_37389_012_PSS_HM_XX_DIODEHALFPSTOP_Annealed_60C_80min
Date/Time: 2/4/2022 2:26:56 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.846E-11	3.891E-12	3.606E+6	2.328E+6	  -20.0033	    8.4431	    3.3083	  -33.3258	
  -20.0000	2.961E-11	3.966E-12	4.033E+6	2.356E+6	  -19.9880	    8.5083	    3.3023	  -33.2993	
  -30.0000	2.983E-11	3.993E-12	4.315E+6	2.424E+6	  -19.9931	    8.4847	    3.3128	  -33.2834	
  -40.0000	2.971E-11	4.013E-12	4.534E+6	2.464E+6	  -19.9906	    8.4733	    3.3106	  -33.2981	
  -50.0000	2.984E-11	4.035E-12	4.695E+6	2.473E+6	  -19.9957	    8.5661	    3.3093	  -33.2379	
  -60.0000	3.009E-11	4.054E-12	4.831E+6	2.475E+6	  -19.9931	    8.4978	    3.2846	  -33.3613	
  -70.0000	2.997E-11	4.063E-12	4.924E+6	2.511E+6	  -19.9931	    8.5315	    3.2739	  -33.3714	
  -80.0000	3.001E-11	4.080E-12	5.023E+6	2.514E+6	  -19.9957	    8.4844	    3.2897	  -33.3548	
  -90.0000	2.969E-11	4.095E-12	5.096E+6	2.522E+6	  -19.9931	    8.5022	    3.2875	  -33.3494	
 -100.0000	2.985E-11	4.097E-12	5.152E+6	2.541E+6	  -19.9906	    8.4652	    3.2985	  -33.3407	
 -110.0000	2.933E-11	4.095E-12	5.224E+6	2.590E+6	  -19.9957	    8.4137	    3.2891	  -33.4056	
 -120.0000	2.935E-11	4.122E-12	5.281E+6	2.574E+6	  -19.9982	    8.4808	    3.2764	  -33.3986	
 -130.0000	2.941E-11	4.131E-12	5.330E+6	2.576E+6	  -19.9982	    8.5446	    3.2672	  -33.3830	
 -140.0000	2.929E-11	4.139E-12	5.354E+6	2.577E+6	  -19.9957	    8.4819	    3.2840	  -33.3742	
 -150.0000	2.917E-11	4.138E-12	5.406E+6	2.595E+6	  -19.9906	    8.5024	    3.2891	  -33.3444	
 -160.0000	2.917E-11	4.148E-12	5.419E+6	2.597E+6	  -19.9931	    8.5240	    3.2941	  -33.3138	
 -170.0000	2.899E-11	4.134E-12	5.465E+6	2.641E+6	  -19.9957	    8.4610	    3.3109	  -33.3057	
 -180.0000	2.877E-11	4.154E-12	5.522E+6	2.615E+6	  -19.9957	    8.4616	    3.3223	  -33.2703	
 -190.0000	2.901E-11	4.160E-12	5.517E+6	2.613E+6	  -19.9982	    8.4310	    3.3485	  -33.2112	
 -200.0000	2.889E-11	4.160E-12	5.540E+6	2.628E+6	  -19.9957	    8.4490	    3.3539	  -33.1824	
 -210.0000	2.896E-11	4.167E-12	5.584E+6	2.630E+6	  -20.0033	    8.4319	    3.3491	  -33.2086	
 -220.0000	2.857E-11	4.156E-12	5.623E+6	2.665E+6	  -20.0033	    8.4754	    3.3308	  -33.2345	
 -230.0000	2.855E-11	4.163E-12	5.647E+6	2.658E+6	  -20.0033	    8.4735	    3.3039	  -33.3184	
 -240.0000	2.867E-11	4.166E-12	5.651E+6	2.660E+6	  -20.0033	    8.4735	    3.2944	  -33.3477	
 -250.0000	2.850E-11	4.163E-12	5.659E+6	2.675E+6	  -20.0033	    8.4530	    3.2812	  -33.3648	
 -260.0000	2.826E-11	4.164E-12	5.702E+6	2.686E+6	  -20.0109	    8.4075	    3.2726	  -33.4609	
 -270.0000	2.809E-11	4.162E-12	5.733E+6	2.698E+6	  -20.0059	    8.4475	    3.2524	  -33.4964	
 -280.0000	2.826E-11	4.170E-12	5.738E+6	2.683E+6	  -20.0033	    8.4777	    3.2445	  -33.5003	
 -290.0000	2.815E-11	4.168E-12	5.750E+6	2.700E+6	  -20.0059	    8.5005	    3.2280	  -33.5363	
 -300.0000	2.824E-11	4.175E-12	5.746E+6	2.689E+6	  -20.0084	    8.4983	    3.2125	  -33.5867	
 -310.0000	2.832E-11	4.173E-12	5.789E+6	2.704E+6	  -20.0033	    8.4622	    3.2046	  -33.6365	
 -320.0000	2.824E-11	4.170E-12	5.784E+6	2.715E+6	  -20.0033	    8.5048	    3.2008	  -33.6193	
 -330.0000	2.790E-11	4.167E-12	5.812E+6	2.740E+6	  -20.0008	    8.5206	    3.1999	  -33.6114	
 -340.0000	2.769E-11	4.162E-12	5.829E+6	2.749E+6	  -20.0033	    8.5103	    3.2018	  -33.6125	
 -350.0000	2.773E-11	4.159E-12	5.855E+6	2.770E+6	  -20.0033	    8.4929	    3.1948	  -33.6465	
 -360.0000	2.760E-11	4.161E-12	5.885E+6	2.766E+6	  -20.0008	    8.5400	    3.1866	  -33.6403	
 -370.0000	2.782E-11	4.173E-12	5.881E+6	2.738E+6	  -20.0008	    8.5186	    3.1660	  -33.7207	
 -380.0000	2.774E-11	4.159E-12	5.884E+6	2.780E+6	  -20.0033	    8.4751	    3.1654	  -33.7202	
 -390.0000	2.742E-11	4.156E-12	5.916E+6	2.795E+6	  -20.0033	    8.4284	    3.1812	  -33.7342	
