GCD Test
Bias: 5000.000000
IV_38694_040_2-S_HM_XX_DIODE_Irradiated_Annealed_60C_80min
Date/Time: 3/20/2022 1:42:57 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.4837E-6	-1.4910E-6	-1.4850E-6	-1.4820E-6	-1.4770E-6	-1.480944E-6	-1.480800E-6	-1.480893E-6	-1.479206E-6	-1.482876E-6	  -19.4462	    9.7139	    3.4744	  -31.9445	
  -20.0000	-1.9850E-6	-1.9840E-6	-1.9860E-6	-1.9860E-6	-1.9840E-6	-1.960199E-6	-1.978525E-6	-1.967027E-6	-1.954997E-6	-1.940248E-6	  -19.4309	    9.7010	    3.3719	  -32.2620	
  -30.0000	-2.2223E-6	-2.2370E-6	-2.2290E-6	-2.2120E-6	-2.2110E-6	-2.194735E-6	-2.203092E-6	-2.197557E-6	-2.194890E-6	-2.183403E-6	  -19.5200	    9.7310	    3.2701	  -32.5564	
  -40.0000	-2.4495E-6	-2.4570E-6	-2.4520E-6	-2.4490E-6	-2.4400E-6	-2.433519E-6	-2.432987E-6	-2.433689E-6	-2.433210E-6	-2.434191E-6	  -19.6853	    9.7523	    3.1540	  -32.9119	
  -50.0000	-2.6590E-6	-2.6760E-6	-2.6580E-6	-2.6550E-6	-2.6470E-6	-2.638443E-6	-2.644831E-6	-2.637317E-6	-2.637029E-6	-2.634595E-6	  -19.7591	    9.7625	    3.1407	  -32.9480	
  -60.0000	-2.8203E-6	-2.8320E-6	-2.8270E-6	-2.8180E-6	-2.8040E-6	-2.801844E-6	-2.806357E-6	-2.806017E-6	-2.801002E-6	-2.794000E-6	  -19.8888	    9.8069	    3.1388	  -32.9237	
  -70.0000	-2.9817E-6	-2.9980E-6	-2.9880E-6	-2.9700E-6	-2.9710E-6	-2.978718E-6	-2.968362E-6	-2.983112E-6	-2.984621E-6	-2.978775E-6	  -19.9346	    9.7870	    3.1357	  -32.9478	
  -80.0000	-3.1275E-6	-3.1380E-6	-3.1320E-6	-3.1240E-6	-3.1160E-6	-3.106466E-6	-3.115738E-6	-3.102995E-6	-3.107103E-6	-3.100030E-6	  -19.9982	    9.7871	    3.1385	  -32.9384	
  -90.0000	-3.2392E-6	-3.2430E-6	-3.2460E-6	-3.2380E-6	-3.2300E-6	-3.239638E-6	-3.237169E-6	-3.244684E-6	-3.238991E-6	-3.237709E-6	  -20.0694	    9.8158	    3.1651	  -32.8325	
 -100.0000	-3.3597E-6	-3.3690E-6	-3.3680E-6	-3.3500E-6	-3.3520E-6	-3.349198E-6	-3.351834E-6	-3.355399E-6	-3.348025E-6	-3.341534E-6	  -20.1025	    9.8425	    3.1885	  -32.7387	
