GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODE_Irradiated
Date/Time: 9/6/2021 5:44:32 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.286E-11	1.498E-11	3.101E+6	2.100E+6	  -19.2274	   13.2460	    6.2090	  -23.1829	
  -20.0000	3.296E-11	1.455E-11	3.863E+6	2.458E+6	  -19.3801	   13.2145	    6.1954	  -23.2214	
  -30.0000	3.184E-11	1.439E-11	4.476E+6	2.790E+6	  -19.4564	   13.2640	    6.1872	  -23.2093	
  -40.0000	3.104E-11	1.429E-11	5.066E+6	3.035E+6	  -19.5200	   13.2052	    6.1752	  -23.2740	
  -50.0000	2.937E-11	1.424E-11	5.843E+6	3.322E+6	  -19.5912	   13.2259	    6.1711	  -23.2663	
  -60.0000	3.047E-11	1.456E-11	6.455E+6	3.248E+6	  -19.7362	   13.2045	    6.1806	  -23.2648	
  -70.0000	2.945E-11	1.450E-11	7.113E+6	3.480E+6	  -19.7845	   13.1975	    6.1958	  -23.2424	
  -80.0000	2.859E-11	1.446E-11	7.720E+6	3.673E+6	  -19.8812	   13.1657	    6.1980	  -23.2617	
  -90.0000	2.774E-11	1.441E-11	8.335E+6	3.919E+6	  -19.9880	   13.1938	    6.2173	  -23.2063	
 -100.0000	2.689E-11	1.428E-11	8.916E+6	4.099E+6	  -20.0415	   13.0511	    6.2188	  -23.3079	
 -110.0000	2.626E-11	1.427E-11	9.497E+6	4.290E+6	  -20.1152	   13.0511	    6.2170	  -23.3113	
 -120.0000	2.571E-11	1.419E-11	1.006E+7	4.510E+6	  -20.2068	   13.0433	    6.2239	  -23.3045	
 -130.0000	2.511E-11	1.418E-11	1.063E+7	4.672E+6	  -20.2831	   13.0927	    6.2328	  -23.2524	
 -140.0000	2.470E-11	1.430E-11	1.120E+7	4.900E+6	  -20.3289	   13.0601	    6.2318	  -23.2780	
 -150.0000	2.422E-11	1.428E-11	1.175E+7	5.124E+6	  -20.3899	   13.1019	    6.2252	  -23.2594	
 -160.0000	2.372E-11	1.426E-11	1.232E+7	5.327E+6	  -20.4764	   13.1699	    6.2353	  -23.1913	
 -170.0000	2.337E-11	1.391E-11	1.282E+7	5.786E+6	  -20.4993	   13.2041	    6.2397	  -23.1583	
 -180.0000	2.264E-11	1.389E-11	1.323E+7	6.020E+6	  -20.5349	   13.2455	    6.2309	  -23.1439	
 -190.0000	2.235E-11	1.388E-11	1.372E+7	6.210E+6	  -20.5883	   13.1158	    6.2457	  -23.2122	
 -200.0000	2.203E-11	1.387E-11	1.429E+7	6.396E+6	  -20.6086	   13.1055	    6.2451	  -23.2209	
 -210.0000	2.143E-11	1.380E-11	1.481E+7	7.034E+6	  -20.6392	   13.1116	    6.2438	  -23.2187	
 -220.0000	2.098E-11	1.379E-11	1.559E+7	7.277E+6	  -20.6315	   13.0067	    6.2644	  -23.2587	
 -230.0000	2.062E-11	1.377E-11	1.540E+7	7.550E+6	  -20.6417	   12.9804	    6.2603	  -23.2853	
 -240.0000	2.051E-11	1.375E-11	1.649E+7	7.976E+6	  -20.6442	   12.9712	    6.2717	  -23.2717	
 -250.0000	2.047E-11	1.376E-11	1.706E+7	7.997E+6	  -20.6544	   13.0117	    6.2827	  -23.2528	
 -260.0000	2.025E-11	1.375E-11	1.749E+7	8.238E+6	  -20.6366	   13.0557	    6.2903	  -23.1765	
 -270.0000	2.004E-11	1.373E-11	1.832E+7	8.639E+6	  -20.6315	   12.9578	    6.2929	  -23.2438	
 -280.0000	1.981E-11	1.375E-11	1.891E+7	8.829E+6	  -20.6188	   13.0292	    6.3039	  -23.1717	
 -290.0000	1.953E-11	1.374E-11	1.973E+7	9.130E+6	  -20.5476	   12.9667	    6.3121	  -23.2029	
 -300.0000	1.934E-11	1.374E-11	2.051E+7	9.399E+6	  -20.5145	   12.9331	    6.3093	  -23.2326	
 -310.0000	1.906E-11	1.373E-11	2.135E+7	9.799E+6	  -20.4840	   12.9169	    6.3109	  -23.2417	
 -320.0000	1.876E-11	1.372E-11	2.232E+7	1.028E+7	  -20.4103	   12.9638	    6.3229	  -23.1859	
 -330.0000	1.855E-11	1.372E-11	2.319E+7	1.061E+7	  -20.3925	   12.9573	    6.3194	  -23.1969	
 -340.0000	1.856E-11	1.369E-11	2.392E+7	1.130E+7	  -20.3365	   12.9224	    6.3235	  -23.2152	
 -350.0000	1.813E-11	1.368E-11	2.494E+7	1.175E+7	  -20.2551	   12.9262	    6.3185	  -23.2214	
 -360.0000	1.794E-11	1.365E-11	2.600E+7	1.274E+7	  -20.2170	   12.7621	    6.3238	  -23.3322	
 -370.0000	1.756E-11	1.366E-11	2.688E+7	1.312E+7	  -20.1814	   12.7621	    6.3283	  -23.3244	
 -380.0000	1.745E-11	1.364E-11	2.825E+7	1.391E+7	  -20.1178	   12.8119	    6.3182	  -23.3035	
 -390.0000	1.726E-11	1.365E-11	2.934E+7	1.410E+7	  -20.0669	   12.9130	    6.3188	  -23.2305	
 -400.0000	1.702E-11	1.362E-11	3.077E+7	1.569E+7	  -20.0364	   12.8237	    6.3071	  -23.3168	
 -410.0000	1.686E-11	1.364E-11	3.248E+7	1.553E+7	  -19.9982	   12.7649	    6.2992	  -23.3739	
 -420.0000	1.664E-11	1.363E-11	3.324E+7	1.616E+7	  -19.9270	   12.7464	    6.2894	  -23.4049	
 -430.0000	1.648E-11	1.362E-11	3.558E+7	1.709E+7	  -19.8939	   12.8382	    6.2944	  -23.3286	
 -440.0000	1.640E-11	1.362E-11	3.676E+7	1.787E+7	  -19.8609	   12.7489	    6.2906	  -23.4009	
 -450.0000	1.613E-11	1.360E-11	3.853E+7	1.910E+7	  -19.8024	   12.7626	    6.2957	  -23.3818	
 -460.0000	1.589E-11	1.360E-11	3.931E+7	1.976E+7	  -19.7820	   12.8109	    6.2916	  -23.3537	
 -470.0000	1.586E-11	1.359E-11	4.264E+7	2.110E+7	  -19.7642	   12.7620	    6.2963	  -23.3811	
 -480.0000	1.574E-11	1.359E-11	4.393E+7	2.172E+7	  -19.7184	   12.7901	    6.3011	  -23.3521	
 -490.0000	1.563E-11	1.359E-11	4.730E+7	2.264E+7	  -19.7108	   12.8084	    6.2973	  -23.3454	
 -500.0000	1.552E-11	1.358E-11	4.836E+7	2.368E+7	  -19.6828	   12.8084	    6.2963	  -23.3471	
 -510.0000	1.547E-11	1.357E-11	5.062E+7	2.476E+7	  -19.6701	   12.8032	    6.2979	  -23.3481	
 -520.0000	1.537E-11	1.358E-11	5.359E+7	2.503E+7	  -19.6752	   12.8946	    6.2982	  -23.2805	
 -530.0000	1.527E-11	1.357E-11	5.508E+7	2.650E+7	  -19.6701	   12.8216	    6.2853	  -23.3571	
 -540.0000	1.513E-11	1.357E-11	6.216E+7	2.713E+7	  -19.6879	   12.7525	    6.2913	  -23.3971	
 -550.0000	1.509E-11	1.357E-11	6.088E+7	2.859E+7	  -19.7133	   12.7012	    6.2729	  -23.4673	
 -560.0000	1.504E-11	1.356E-11	6.590E+7	2.952E+7	  -19.7235	   12.6663	    6.2672	  -23.5031	
 -570.0000	1.497E-11	1.357E-11	6.617E+7	2.938E+7	  -19.7362	   12.7444	    6.2821	  -23.4194	
 -580.0000	1.489E-11	1.355E-11	7.258E+7	3.168E+7	  -19.7642	   12.6812	    6.2704	  -23.4866	
 -590.0000	1.478E-11	1.356E-11	7.265E+7	3.136E+7	  -19.7769	   12.7519	    6.2694	  -23.4364	
 -600.0000	1.485E-11	1.356E-11	7.718E+7	3.212E+7	  -19.7922	   12.6433	    6.2672	  -23.5200	
 -610.0000	1.480E-11	1.356E-11	8.076E+7	3.377E+7	  -19.8354	   12.6466	    6.2704	  -23.5119	
 -620.0000	1.475E-11	1.358E-11	8.483E+7	3.348E+7	  -19.8532	   12.6345	    6.2628	  -23.5343	
 -630.0000	1.467E-11	1.357E-11	8.781E+7	3.316E+7	  -19.8863	   12.6702	    6.2666	  -23.5014	
