GCD Test
Bias: 5000.000000
IV_37389_012_PSS_HM_XX_DIODEHALF_Annealed_60C_80min
Date/Time: 2/4/2022 1:44:08 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-5.5623E-7	-5.5760E-7	-5.5560E-7	-5.5570E-7	-5.5600E-7	-5.493428E-7	-5.529769E-7	-5.507436E-7	-5.479433E-7	-5.457076E-7	  -19.9957	   10.3303	    3.6385	  -31.0381	
  -20.0000	-7.3057E-7	-7.3200E-7	-7.3400E-7	-7.2910E-7	-7.2720E-7	-7.244612E-7	-7.265424E-7	-7.249429E-7	-7.244394E-7	-7.219199E-7	  -20.0033	   10.3303	    3.6344	  -31.0499	
  -30.0000	-8.7025E-7	-8.6280E-7	-8.6800E-7	-8.7310E-7	-8.7710E-7	-8.767088E-7	-8.787094E-7	-8.776517E-7	-8.763961E-7	-8.740780E-7	  -20.0033	   10.2160	    3.6429	  -31.1050	
  -40.0000	-1.0012E-6	-1.0005E-6	-9.9990E-7	-1.0035E-6	-1.0009E-6	-9.937089E-7	-9.968967E-7	-9.957364E-7	-9.935626E-7	-9.886401E-7	  -19.9957	   10.1959	    3.6319	  -31.1506	
  -50.0000	-1.0930E-6	-1.0930E-6	-1.0970E-6	-1.0920E-6	-1.0900E-6	-1.096495E-6	-1.093690E-6	-1.101935E-6	-1.098107E-6	-1.092247E-6	  -20.0008	   10.1869	    3.6050	  -31.2341	
  -60.0000	-1.1845E-6	-1.1900E-6	-1.1900E-6	-1.1830E-6	-1.1750E-6	-1.181044E-6	-1.182288E-6	-1.184382E-6	-1.181178E-6	-1.176326E-6	  -20.0008	   10.1706	    3.5819	  -31.3121	
  -70.0000	-1.2733E-6	-1.2840E-6	-1.2800E-6	-1.2700E-6	-1.2590E-6	-1.266122E-6	-1.265994E-6	-1.268839E-6	-1.267401E-6	-1.262254E-6	  -20.0033	   10.1794	    3.5506	  -31.3972	
  -80.0000	-1.3310E-6	-1.3380E-6	-1.3260E-6	-1.3260E-6	-1.3340E-6	-1.344770E-6	-1.343365E-6	-1.341526E-6	-1.346724E-6	-1.347464E-6	  -20.0135	   10.1134	    3.5228	  -31.5245	
  -90.0000	-1.4075E-6	-1.4140E-6	-1.4060E-6	-1.4060E-6	-1.4040E-6	-1.413642E-6	-1.411992E-6	-1.416292E-6	-1.413537E-6	-1.412749E-6	  -20.0109	   10.2329	    3.5190	  -31.4529	
 -100.0000	-1.4585E-6	-1.4590E-6	-1.4510E-6	-1.4550E-6	-1.4690E-6	-1.479423E-6	-1.475350E-6	-1.482077E-6	-1.482569E-6	-1.477696E-6	  -20.0084	   10.2513	    3.4978	  -31.5027	
