,I(600V),I(800V),I(1000V),DepV
34252_008,-2.009612e-06,-2.273341e-06,-2.479034e-06,1000.0
34253_037,-2.087459e-06,-2.402852e-06,-2.641457e-06,63.73737373737374
34254_025,-1.823233e-06,-2.004496e-06,-2.193892e-06,67.0
34340_040,-1.395638e-06,-1.762428e-06,-2.114292e-06,536.3636363636364
34340_039,-1.635581e-06,-1.839815e-06,-2.022671e-06,532.8282828282829
34341_012,-2.031372e-06,-2.58393e-06,-2.947118e-06,593.519
34341_041,-1.4626e-06,-1.605207e-06,-1.76041e-06,600.0
34343_036,-1.956333e-07,-3.529041e-07,-6.429967e-07,585.8585858585859
36696_039,-1.985151e-06,-2.297371e-06,-2.658431e-06,1000.0
36697_036,-1.810585e-06,-2.050377e-06,-2.257202e-06,471.3413413413414
37398_012,-3.181856e-06,-3.624375e-06,-4.218034e-06,1000.0
37399_049,-2.159136e-06,-2.493286e-06,-2.851635e-06,1000.0
