,I(600V),I(800V),I(1000V),DepV
34252_008,-7.67e-06,-8.64e-06,-9.55e-06,203.0
34253_037,-6.775961e-06,-7.691898e-06,-8.517258e-06,180.76871401949032
34254_025,-5.216964e-06,-6.252879e-06,-6.870338e-06,250.0
34330_2S_048,-3.993902e-06,-4.144076e-06,-4.491934e-06,440.0
34331_2S_042,-3.870969e-06,-4.175584e-06,-4.465986e-06,485.0
34340_040,-5.692366e-06,-7.686809e-06,-8.985805e-06,539.8125424831179
34340_007,-5.706202e-06,-6.182329e-06,-6.688383e-06,645.0
34340_039,-4.708793e-06,-5.405949e-06,-5.759633e-06,524.8665320835229
34341_012,-5.155961e-07,-1.065442e-06,-2.222744e-06,583.8225435826366
34341_041,-4.690769e-06,-5.166237e-06,-5.545242e-06,583.8225435826366
34343_036,-1.573856e-07,-4.042196e-07,-8.398154e-07,541.754449489425
36696_039,-6.438998e-06,-7.254621e-06,-8.020856e-06,810.0
36697_011,0.0,0.0,0.0,0.0
37398_012,-1.273694e-05,-1.41896e-05,-1.602375e-05,1000.0
37399_049,-9.077101e-06,-1.007463e-05,-1.129536e-05,1000.0
