,I(600V),I(800V),I(1000V),DepV
34252_008,-1.859703e-06,-2.167935e-06,-2.525287e-06,1000.0
34253_037,-2.160857e-06,-2.436098e-06,-2.764049e-06,55.25252525252525
34254_025,-1.793209e-06,-1.990423e-06,-2.239126e-06,77.0
34330_2S_048,-1.159468e-06,-1.253169e-06,-1.332885e-06,402.020202020202
34331_2S_042,-1.176145e-06,-1.273325e-06,-1.35742e-06,430.0
34340_040,-1.61298e-06,-2.173373e-06,-2.457336e-06,532.8282828282829
34340_007,-1.693362e-06,-1.891452e-06,-2.0717e-06,582.3232323232323
34340_039,-1.513761e-06,-1.678971e-06,-1.855952e-06,543.4343434343434
34341_012,-1.933719e-06,-2.483665e-06,-2.762065e-06,515.1515151515152
34341_041,-1.453361e-06,-1.61889e-06,-1.754278e-06,539.8989898989898
34343_036,-2.036514e-07,-3.718552e-07,-7.360928e-07,578.7878787878788
36696_039,-1.928026e-06,-2.207261e-06,-2.493008e-06,575.2525252525253
37398_012,-3.454343e-06,-3.917034e-06,-4.560804e-06,663.6363636363637
37399_049,-2.258145e-06,-2.580885e-06,-2.930094e-06,571.2121212121212
