GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODEQUARTER
Date/Time: 9/10/2021 10:59:10 AM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.717E-11	1.657E+9	   20.0142	   21.9264	   11.6746	   -9.0972	
  -10.0000	1.301E-11	2.431E+9	   20.0039	   21.9254	   11.3773	   -9.4257	
  -15.0000	1.115E-11	2.774E+9	   19.9910	   21.9232	   10.9020	   -9.9677	
  -20.0000	1.008E-11	2.938E+9	   19.9781	   21.9221	   10.4921	  -10.4515	
  -25.0000	9.351E-12	2.894E+9	   19.9781	   21.9221	   10.4921	  -10.4515	
  -30.0000	8.821E-12	2.608E+9	   19.9653	   21.9165	    9.7094	  -11.4267	
  -35.0000	8.383E-12	2.781E+9	   19.9704	   21.9221	    9.5199	  -11.6679	
  -40.0000	8.001E-12	2.801E+9	   19.9755	   21.9200	    9.3425	  -11.9033	
  -45.0000	7.638E-12	1.834E+9	   19.9858	   21.9173	    9.1844	  -12.1172	
  -50.0000	7.386E-12	2.534E+9	   19.9910	   21.9134	    9.0525	  -12.2992	
  -55.0000	7.200E-12	1.596E+9	   20.0013	   21.9198	    8.9269	  -12.4671	
  -60.0000	6.928E-12	9.065E+8	   20.0090	   21.9195	    8.8286	  -12.6042	
  -65.0000	6.682E-12	4.866E+8	   20.0142	   21.9178	    8.7426	  -12.7262	
  -70.0000	6.029E-12	3.224E+8	   20.0167	   21.9209	    8.6512	  -12.8533	
  -75.0000	5.639E-12	8.402E+8	   20.0167	   21.9237	    8.5841	  -12.9470	
  -80.0000	5.550E-12	1.971E+9	   20.0167	   21.9189	    8.5174	  -13.0466	
  -85.0000	5.496E-12	2.515E+9	   20.0090	   21.9207	    8.4551	  -13.1354	
  -90.0000	5.453E-12	2.476E+9	   20.0039	   21.9281	    8.4165	  -13.1861	
  -95.0000	5.417E-12	2.586E+9	   19.9987	   21.9241	    8.3691	  -13.2585	
 -100.0000	5.379E-12	2.524E+9	   19.9910	   21.9247	    8.3340	  -13.3096	
 -105.0000	5.348E-12	2.513E+9	   19.9833	   21.9201	    8.3017	  -13.3605	
 -110.0000	5.318E-12	2.694E+9	   19.9807	   21.9141	    8.2502	  -13.4413	
 -115.0000	5.292E-12	2.589E+9	   19.9755	   21.9134	    8.2230	  -13.4823	
 -120.0000	5.261E-12	2.748E+9	   19.9781	   21.9134	    8.1898	  -13.5318	
 -125.0000	5.241E-12	3.053E+9	   19.9807	   21.9119	    8.1613	  -13.5756	
 -130.0000	5.220E-12	2.800E+9	   19.9884	   21.9172	    8.1471	  -13.5930	
 -135.0000	5.197E-12	2.920E+9	   19.9936	   21.9219	    8.1176	  -13.6337	
 -140.0000	5.182E-12	2.890E+9	   20.0064	   21.9188	    8.1107	  -13.6465	
 -145.0000	5.164E-12	2.897E+9	   20.0064	   21.9188	    8.1107	  -13.6465	
 -150.0000	5.147E-12	2.894E+9	   20.0245	   21.9211	    8.0500	  -13.7366	
 -155.0000	5.131E-12	2.979E+9	   20.0296	   21.9231	    8.0329	  -13.7611	
 -160.0000	5.121E-12	3.043E+9	   20.0245	   21.9235	    8.0215	  -13.7781	
 -165.0000	5.106E-12	3.329E+9	   20.0245	   21.9235	    8.0215	  -13.7781	
 -170.0000	5.094E-12	3.098E+9	   20.0193	   21.9175	    8.0035	  -13.8100	
 -175.0000	5.080E-12	3.057E+9	   19.9987	   21.9236	    8.0028	  -13.8065	
 -180.0000	5.070E-12	3.292E+9	   19.9807	   21.9192	    7.9870	  -13.8339	
 -185.0000	5.057E-12	3.099E+9	   19.9807	   21.9192	    7.9870	  -13.8339	
 -190.0000	5.050E-12	3.142E+9	   19.9627	   21.9178	    7.9459	  -13.8979	
 -195.0000	5.041E-12	3.172E+9	   19.9601	   21.9188	    7.9307	  -13.9205	
 -200.0000	5.031E-12	3.018E+9	   19.9627	   21.9181	    7.9301	  -13.9220	
 -205.0000	5.024E-12	3.290E+9	   19.9704	   21.9193	    7.9159	  -13.9430	
 -210.0000	5.014E-12	2.965E+9	   19.9833	   21.9186	    7.9197	  -13.9377	
 -215.0000	5.010E-12	3.259E+9	   19.9936	   21.9204	    7.9171	  -13.9402	
 -220.0000	5.000E-12	3.308E+9	   20.0039	   21.9240	    7.9127	  -13.9444	
 -225.0000	4.991E-12	3.302E+9	   20.0090	   21.9200	    7.9111	  -13.9498	
 -230.0000	4.985E-12	3.404E+9	   20.0142	   21.9211	    7.9032	  -13.9611	
 -235.0000	4.978E-12	3.349E+9	   20.0167	   21.9222	    7.9023	  -13.9618	
 -240.0000	4.969E-12	3.040E+9	   20.0142	   21.9229	    7.9035	  -13.9593	
 -245.0000	4.963E-12	3.053E+9	   20.0090	   21.9202	    7.8890	  -13.9838	
 -250.0000	4.957E-12	3.270E+9	   20.0013	   21.9192	    7.8741	  -14.0076	
 -255.0000	4.951E-12	3.204E+9	   19.9910	   21.9192	    7.8618	  -14.0267	
 -260.0000	4.945E-12	3.232E+9	   19.9807	   21.9210	    7.8545	  -14.0366	
 -265.0000	4.936E-12	3.343E+9	   19.9755	   21.9250	    7.8536	  -14.0351	
 -270.0000	4.930E-12	3.179E+9	   19.9730	   21.9217	    7.8435	  -14.0533	
 -275.0000	4.927E-12	3.113E+9	   19.9755	   21.9216	    7.8441	  -14.0524	
 -280.0000	4.919E-12	3.305E+9	   19.9781	   21.9214	    7.8400	  -14.0589	
 -285.0000	4.917E-12	3.295E+9	   19.9858	   21.9214	    7.8299	  -14.0747	
 -290.0000	4.908E-12	3.185E+9	   19.9987	   21.9199	    7.8219	  -14.0881	
 -295.0000	4.903E-12	3.343E+9	   20.0090	   21.9202	    7.8156	  -14.0977	
 -300.0000	4.899E-12	3.205E+9	   20.0193	   21.9219	    7.8156	  -14.0964	
 -305.0000	4.893E-12	3.302E+9	   20.0245	   21.9214	    7.8182	  -14.0928	
 -310.0000	4.893E-12	3.120E+9	   20.0270	   21.9204	    7.8172	  -14.0950	
 -315.0000	4.890E-12	3.168E+9	   20.0270	   21.9174	    7.8008	  -14.1229	
 -320.0000	4.885E-12	3.065E+9	   20.0219	   21.9136	    7.8052	  -14.1188	
 -325.0000	4.883E-12	3.103E+9	   20.0116	   21.9142	    7.8008	  -14.1253	
 -330.0000	4.883E-12	3.390E+9	   20.0039	   21.9140	    7.7925	  -14.1383	
 -335.0000	4.884E-12	3.432E+9	   19.9858	   21.9162	    7.7840	  -14.1500	
 -340.0000	4.884E-12	3.266E+9	   19.9781	   21.9120	    7.7783	  -14.1620	
 -345.0000	4.878E-12	3.064E+9	   19.9781	   21.9120	    7.7783	  -14.1620	
 -350.0000	4.881E-12	3.446E+9	   19.9678	   21.9078	    7.7755	  -14.1696	
 -355.0000	4.876E-12	3.080E+9	   19.9653	   21.9116	    7.7758	  -14.1663	
 -360.0000	4.876E-12	3.182E+9	   19.9678	   21.9081	    7.7713	  -14.1758	
 -365.0000	4.874E-12	3.162E+9	   19.9833	   21.9118	    7.7571	  -14.1954	
 -370.0000	4.871E-12	3.303E+9	   19.9936	   21.9120	    7.7650	  -14.1828	
 -375.0000	4.872E-12	3.179E+9	   20.0064	   21.9156	    7.7502	  -14.2035	
 -380.0000	4.872E-12	3.271E+9	   20.0167	   21.9112	    7.7540	  -14.2008	
 -385.0000	4.872E-12	3.180E+9	   20.0219	   21.9112	    7.7584	  -14.1938	
 -390.0000	4.872E-12	3.148E+9	   20.0245	   21.9070	    7.7568	  -14.1994	
 -395.0000	4.869E-12	3.291E+9	   20.0193	   21.9124	    7.7508	  -14.2049	
 -400.0000	4.875E-12	3.811E+9	   20.0142	   21.9131	    7.7524	  -14.2019	
 -410.0000	4.867E-12	3.456E+9	   20.0013	   21.9131	    7.7536	  -14.1999	
 -420.0000	4.873E-12	3.091E+9	   19.9910	   21.9138	    7.7416	  -14.2182	
 -430.0000	4.866E-12	3.175E+9	   19.9807	   21.9147	    7.7432	  -14.2151	
 -440.0000	4.868E-12	3.260E+9	   19.9730	   21.9177	    7.7502	  -14.2019	
 -450.0000	4.867E-12	3.158E+9	   19.9678	   21.9123	    7.7609	  -14.1891	
 -460.0000	4.867E-12	3.440E+9	   19.9678	   21.9169	    7.7527	  -14.1985	
 -470.0000	4.868E-12	3.268E+9	   19.9678	   21.9169	    7.7527	  -14.1985	
 -480.0000	4.868E-12	3.104E+9	   19.9858	   21.9092	    7.7549	  -14.2007	
 -490.0000	4.866E-12	3.257E+9	   19.9961	   21.9100	    7.7536	  -14.2022	
 -500.0000	4.866E-12	3.347E+9	   19.9961	   21.9100	    7.7536	  -14.2022	
 -510.0000	4.868E-12	3.140E+9	   20.0090	   21.9159	    7.7441	  -14.2127	
 -520.0000	4.864E-12	3.231E+9	   20.0219	   21.9125	    7.7353	  -14.2221	
 -530.0000	4.862E-12	3.210E+9	   20.0219	   21.9093	    7.7359	  -14.2305	
 -540.0000	4.865E-12	3.523E+9	   20.0219	   21.9093	    7.7359	  -14.2305	
 -550.0000	4.865E-12	3.008E+9	   20.0064	   21.9144	    7.7293	  -14.2372	
 -560.0000	4.860E-12	3.271E+9	   19.9961	   21.9130	    7.7277	  -14.2407	
 -570.0000	4.865E-12	3.294E+9	   19.9858	   21.9103	    7.7366	  -14.2288	
 -580.0000	4.863E-12	3.613E+9	   19.9755	   21.9167	    7.7255	  -14.2415	
 -590.0000	4.863E-12	3.111E+9	   19.9678	   21.9062	    7.7350	  -14.2343	
 -600.0000	4.862E-12	3.187E+9	   19.9653	   21.9041	    7.7170	  -14.2643	
