GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODE
Date/Time: 9/9/2021 6:58:54 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.020E-10	4.641E+8	   20.0064	   21.7159	    9.4946	  -11.8575	
  -10.0000	7.288E-11	8.759E+8	   20.0064	   21.7177	    9.2596	  -12.1670	
  -15.0000	5.971E-11	1.013E+9	   20.0039	   21.7173	    8.9965	  -12.5239	
  -20.0000	5.143E-11	1.073E+9	   20.0039	   21.7191	    8.8109	  -12.7797	
  -25.0000	4.553E-11	1.170E+9	   20.0039	   21.7191	    8.8109	  -12.7797	
  -30.0000	4.122E-11	1.184E+9	   20.0013	   21.7191	    8.5655	  -13.1273	
  -35.0000	3.755E-11	1.156E+9	   20.0039	   21.7199	    8.4412	  -13.3061	
  -40.0000	3.525E-11	1.003E+9	   20.0039	   21.7213	    8.3558	  -13.4297	
  -45.0000	3.307E-11	1.466E+8	   20.0039	   21.7182	    8.2676	  -13.5619	
  -50.0000	2.789E-11	1.124E+9	   20.0039	   21.7204	    8.1812	  -13.6887	
  -55.0000	2.685E-11	1.180E+9	   20.0039	   21.7194	    8.1120	  -13.7933	
  -60.0000	2.594E-11	1.209E+9	   20.0064	   21.7265	    8.0436	  -13.8913	
  -65.0000	2.514E-11	1.277E+9	   20.0039	   21.7247	    7.9994	  -13.9599	
  -70.0000	2.442E-11	1.317E+9	   20.0064	   21.7280	    7.9367	  -14.0532	
  -75.0000	2.379E-11	1.359E+9	   20.0039	   21.7247	    7.8903	  -14.1273	
  -80.0000	2.320E-11	1.386E+9	   20.0039	   21.7211	    7.8488	  -14.1940	
  -85.0000	2.267E-11	1.472E+9	   20.0013	   21.7228	    7.8077	  -14.2566	
