GCD Test
Bias: 5000.000000
CV_37903_045_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 4/22/2022 1:45:09 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.044E-11	1.077E+9	   20.0013	   21.5043	   23.0171	   -0.4745	
  -20.0000	7.062E-12	5.004E+9	   19.9987	   21.4994	   23.0082	   -0.4838	
  -30.0000	5.653E-12	5.216E+9	   19.9987	   21.4996	   22.9927	   -0.4930	
  -40.0000	4.801E-12	4.666E+9	   19.9987	   21.4996	   22.9915	   -0.4937	
  -50.0000	4.210E-12	4.853E+9	   19.9961	   21.4992	   22.9873	   -0.4964	
  -60.0000	3.778E-12	4.844E+9	   19.9987	   21.5028	   22.9927	   -0.4902	
  -70.0000	3.437E-12	4.929E+9	   19.9987	   21.4996	   22.9873	   -0.4961	
  -80.0000	3.166E-12	5.516E+9	   20.0013	   21.4977	   22.9892	   -0.4966	
  -90.0000	2.948E-12	5.906E+9	   20.0013	   21.4959	   22.9823	   -0.5022	
 -100.0000	2.761E-12	5.538E+9	   20.0013	   21.4998	   22.9798	   -0.5005	
 -110.0000	2.599E-12	6.216E+9	   20.0064	   21.5058	   22.9791	   -0.4958	
 -120.0000	2.460E-12	5.530E+9	   20.0039	   21.5058	   22.9715	   -0.5004	
 -130.0000	2.338E-12	6.336E+9	   20.0064	   21.5012	   22.9706	   -0.5048	
 -140.0000	2.228E-12	6.468E+9	   20.0039	   21.5012	   22.9652	   -0.5080	
 -150.0000	2.124E-12	6.590E+9	   20.0013	   21.5039	   22.9611	   -0.5082	
 -160.0000	2.032E-12	5.964E+9	   19.9987	   21.5039	   22.9545	   -0.5121	
 -170.0000	1.953E-12	7.061E+9	   19.9987	   21.5042	   22.9608	   -0.5081	
 -180.0000	1.874E-12	6.542E+9	   19.9987	   21.5042	   22.9608	   -0.5081	
 -190.0000	1.800E-12	6.650E+9	   19.9961	   21.5042	   22.9510	   -0.5140	
 -200.0000	1.727E-12	5.541E+9	   19.9961	   21.5031	   22.9513	   -0.5147	
 -210.0000	1.665E-12	6.424E+9	   19.9987	   21.4984	   22.9352	   -0.5283	
 -220.0000	1.617E-12	6.130E+9	   20.0013	   21.5016	   22.9380	   -0.5239	
 -230.0000	1.592E-12	5.885E+9	   20.0039	   21.5029	   22.9330	   -0.5258	
 -240.0000	1.581E-12	6.605E+9	   20.0039	   21.5029	   22.9330	   -0.5258	
 -250.0000	1.578E-12	6.659E+9	   20.0064	   21.5076	   22.9383	   -0.5186	
 -260.0000	1.569E-12	6.344E+9	   20.0064	   21.5119	   22.9254	   -0.5228	
 -270.0000	1.571E-12	5.781E+9	   20.0064	   21.5138	   22.9339	   -0.5161	
 -280.0000	1.569E-12	6.562E+9	   20.0039	   21.5105	   22.9250	   -0.5242	
 -290.0000	1.568E-12	6.547E+9	   20.0013	   21.5105	   22.9219	   -0.5261	
 -300.0000	1.567E-12	6.962E+9	   19.9987	   21.5136	   22.9307	   -0.5182	
 -310.0000	1.565E-12	6.479E+9	   19.9961	   21.5170	   22.9231	   -0.5199	
 -320.0000	1.564E-12	6.740E+9	   19.9961	   21.5170	   22.9288	   -0.5165	
 -330.0000	1.565E-12	6.081E+9	   19.9961	   21.5126	   22.9156	   -0.5281	
 -340.0000	1.560E-12	6.695E+9	   19.9961	   21.5126	   22.9156	   -0.5281	
 -350.0000	1.563E-12	6.581E+9	   19.9987	   21.5191	   22.9225	   -0.5185	
 -360.0000	1.561E-12	5.799E+9	   20.0013	   21.5169	   22.9190	   -0.5224	
 -370.0000	1.561E-12	7.158E+9	   20.0039	   21.5200	   22.9168	   -0.5211	
 -380.0000	1.564E-12	6.704E+9	   20.0039	   21.5200	   22.9168	   -0.5211	
 -390.0000	1.557E-12	6.550E+9	   20.0039	   21.5215	   22.9203	   -0.5178	
 -400.0000	1.559E-12	6.905E+9	   20.0064	   21.5237	   22.9184	   -0.5171	
 -420.0000	1.558E-12	6.205E+9	   20.0064	   21.5259	   22.9197	   -0.5144	
 -440.0000	1.561E-12	6.372E+9	   20.0039	   21.5237	   22.9165	   -0.5182	
 -460.0000	1.557E-12	6.811E+9	   20.0039	   21.5266	   22.9064	   -0.5218	
 -480.0000	1.558E-12	6.912E+9	   20.0013	   21.5260	   22.9127	   -0.5185	
 -500.0000	1.556E-12	6.134E+9	   19.9987	   21.5260	   22.9175	   -0.5157	
 -520.0000	1.556E-12	6.071E+9	   19.9987	   21.5210	   22.9067	   -0.5263	
 -540.0000	1.555E-12	6.223E+9	   19.9961	   21.5177	   22.9105	   -0.5268	
 -560.0000	1.557E-12	7.331E+9	   19.9961	   21.5243	   22.9133	   -0.5196	
 -580.0000	1.554E-12	6.217E+9	   19.9961	   21.5243	   22.8994	   -0.5279	
 -600.0000	1.555E-12	6.132E+9	   19.9987	   21.5222	   22.9077	   -0.5248	
