GCD Test
Bias: 5000.000000
CV_38202_028_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 4/4/2022 10:06:15 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.044E-11	2.917E+9	   20.0450	   19.6283	   25.0354	   -0.9063	
  -20.0000	7.307E-12	3.370E+9	   20.0450	   19.6426	   25.0206	   -0.9023	
  -30.0000	5.955E-12	3.903E+9	   20.0450	   19.6426	   25.0206	   -0.9023	
  -40.0000	5.192E-12	3.499E+9	   20.0347	   19.6434	   25.0136	   -0.9054	
  -50.0000	4.658E-12	3.426E+9	   20.0219	   19.6527	   25.0133	   -0.8977	
  -60.0000	4.257E-12	3.352E+9	   19.9961	   19.6536	   25.0073	   -0.8978	
  -70.0000	3.945E-12	3.544E+9	   19.9833	   19.6615	   24.9972	   -0.8991	
  -80.0000	3.681E-12	3.484E+9	   19.9755	   19.6630	   24.9873	   -0.9031	
  -90.0000	3.451E-12	3.560E+9	   19.9704	   19.6695	   24.9880	   -0.8973	
 -100.0000	3.272E-12	3.285E+9	   19.9730	   19.6743	   24.9880	   -0.8932	
 -110.0000	3.117E-12	3.614E+9	   19.9755	   19.6805	   24.9820	   -0.8912	
 -120.0000	2.977E-12	3.870E+9	   19.9858	   19.6820	   24.9883	   -0.8864	
 -130.0000	2.866E-12	3.682E+9	   19.9987	   19.6895	   24.9791	   -0.8851	
 -140.0000	2.755E-12	3.903E+9	   20.0142	   19.6955	   24.9646	   -0.8881	
 -150.0000	2.660E-12	4.006E+9	   20.0245	   19.7061	   24.9728	   -0.8745	
 -160.0000	2.573E-12	4.187E+9	   20.0373	   19.7122	   24.9551	   -0.8791	
 -170.0000	2.490E-12	3.912E+9	   20.0399	   19.7100	   24.9573	   -0.8797	
 -180.0000	2.411E-12	4.270E+9	   20.0399	   19.7083	   24.9576	   -0.8810	
 -190.0000	2.341E-12	4.306E+9	   20.0296	   19.7226	   24.9472	   -0.8746	
 -200.0000	2.281E-12	4.363E+9	   20.0193	   19.7265	   24.9371	   -0.8768	
 -210.0000	2.240E-12	4.305E+9	   20.0013	   19.7314	   24.9390	   -0.8716	
 -220.0000	2.219E-12	4.209E+9	   19.9884	   19.7365	   24.9320	   -0.8711	
 -230.0000	2.208E-12	4.551E+9	   19.9755	   19.7355	   24.9269	   -0.8748	
 -240.0000	2.192E-12	4.520E+9	   19.9704	   19.7355	   24.9254	   -0.8756	
 -250.0000	2.184E-12	3.988E+9	   19.9704	   19.7445	   24.9209	   -0.8704	
 -260.0000	2.178E-12	4.274E+9	   19.9730	   19.7493	   24.9203	   -0.8667	
 -270.0000	2.171E-12	4.216E+9	   19.9807	   19.7600	   24.9140	   -0.8611	
 -280.0000	2.162E-12	3.714E+9	   19.9936	   19.7643	   24.9140	   -0.8574	
 -290.0000	2.142E-12	3.191E+9	   20.0090	   19.7680	   24.9039	   -0.8598	
 -300.0000	2.123E-12	3.787E+9	   20.0245	   19.7748	   24.9073	   -0.8522	
 -310.0000	2.116E-12	5.178E+9	   20.0347	   19.7748	   24.8861	   -0.8639	
 -320.0000	2.113E-12	5.120E+9	   20.0347	   19.7748	   24.8861	   -0.8639	
 -330.0000	2.112E-12	5.610E+9	   20.0425	   19.7812	   24.8770	   -0.8635	
 -340.0000	2.108E-12	5.976E+9	   20.0425	   19.7840	   24.8691	   -0.8654	
 -350.0000	2.107E-12	5.505E+9	   20.0347	   19.7926	   24.8586	   -0.8639	
 -360.0000	2.104E-12	5.563E+9	   20.0116	   19.7935	   24.8561	   -0.8645	
 -370.0000	2.104E-12	5.677E+9	   19.9987	   19.8023	   24.8485	   -0.8612	
 -380.0000	2.104E-12	5.874E+9	   19.9858	   19.8014	   24.8561	   -0.8578	
 -390.0000	2.104E-12	6.179E+9	   19.9781	   19.8035	   24.8583	   -0.8547	
 -400.0000	2.103E-12	5.665E+9	   19.9755	   19.8065	   24.8684	   -0.8467	
 -420.0000	2.099E-12	5.523E+9	   19.9755	   19.8148	   24.8782	   -0.8343	
 -440.0000	2.095E-12	5.537E+9	   19.9807	   19.8210	   24.8839	   -0.8259	
 -460.0000	2.098E-12	5.369E+9	   19.9910	   19.8304	   24.8896	   -0.8149	
 -480.0000	2.095E-12	6.715E+9	   20.0090	   19.8294	   24.9032	   -0.8082	
 -500.0000	2.095E-12	6.108E+9	   20.0219	   19.8294	   24.9156	   -0.8015	
 -520.0000	2.094E-12	6.494E+9	   20.0322	   19.8355	   24.9133	   -0.7975	
 -540.0000	2.094E-12	6.134E+9	   20.0373	   19.8475	   24.9175	   -0.7851	
 -560.0000	2.094E-12	6.354E+9	   20.0347	   19.8475	   24.9314	   -0.7774	
 -580.0000	2.091E-12	6.379E+9	   20.0270	   19.8545	   24.9342	   -0.7699	
 -600.0000	2.093E-12	5.808E+9	   20.0270	   19.8545	   24.9342	   -0.7699	
