GCD Test
Bias: 5000.000000
CV_38202_028_2-S_HM_XX_DIODEQUARTER
Date/Time: 4/4/2022 10:26:18 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	7.624E-12	4.376E+9	   20.0245	   20.4964	   23.8953	   -0.8092	
  -20.0000	5.044E-12	5.050E+9	   20.0296	   20.4997	   23.8843	   -0.8128	
  -30.0000	3.533E-12	6.299E+9	   20.0245	   20.5011	   23.8861	   -0.8105	
  -40.0000	2.385E-12	6.746E+9	   20.0167	   20.5011	   23.8899	   -0.8083	
  -50.0000	1.894E-12	6.386E+9	   20.0064	   20.5014	   23.8906	   -0.8077	
  -60.0000	1.675E-12	6.152E+9	   20.0013	   20.4992	   23.8811	   -0.8150	
  -70.0000	6.424E-13	3.963E+9	   19.9936	   20.5047	   23.8839	   -0.8088	
  -80.0000	5.676E-13	3.773E+9	   19.9884	   20.5058	   23.8820	   -0.8089	
  -90.0000	5.151E-13	4.179E+9	   19.9833	   20.5078	   23.8972	   -0.7986	
 -100.0000	4.736E-13	4.066E+9	   19.9833	   20.5083	   23.9061	   -0.7930	
 -110.0000	4.329E-13	4.892E+9	   19.9884	   20.5083	   23.8861	   -0.8044	
 -120.0000	4.045E-13	5.913E+9	   19.9936	   20.5133	   23.8918	   -0.7970	
 -130.0000	3.727E-13	6.728E+9	   20.0013	   20.5133	   23.8887	   -0.7988	
 -140.0000	3.486E-13	5.778E+9	   20.0090	   20.5171	   23.8874	   -0.7963	
 -150.0000	3.226E-13	6.238E+9	   20.0142	   20.5153	   23.8795	   -0.8024	
 -160.0000	3.006E-13	6.094E+9	   20.0193	   20.5192	   23.8719	   -0.8034	
 -170.0000	2.803E-13	6.473E+9	   20.0245	   20.5193	   23.8735	   -0.8024	
 -180.0000	2.632E-13	6.906E+9	   20.0219	   20.5233	   23.8801	   -0.7952	
 -190.0000	2.438E-13	6.519E+9	   20.0193	   20.5240	   23.8782	   -0.7957	
 -200.0000	2.317E-13	6.904E+9	   20.0116	   20.5240	   23.8741	   -0.7981	
 -210.0000	2.205E-13	7.058E+9	   20.0013	   20.5248	   23.8697	   -0.8000	
 -220.0000	2.139E-13	7.392E+9	   19.9936	   20.5234	   23.8716	   -0.8000	
 -230.0000	2.106E-13	8.594E+9	   19.9833	   20.5248	   23.8659	   -0.8022	
 -240.0000	2.078E-13	7.631E+9	   19.9807	   20.5271	   23.8574	   -0.8051	
 -250.0000	2.018E-13	6.995E+9	   19.9755	   20.5314	   23.8523	   -0.8043	
 -260.0000	2.026E-13	7.875E+9	   19.9781	   20.5323	   23.8596	   -0.7994	
 -270.0000	2.008E-13	7.401E+9	   19.9833	   20.5313	   23.8555	   -0.8027	
 -280.0000	2.002E-13	7.383E+9	   19.9910	   20.5329	   23.8504	   -0.8042	
 -290.0000	1.995E-13	7.818E+9	   20.0039	   20.5329	   23.8431	   -0.8084	
 -300.0000	1.980E-13	7.910E+9	   20.0142	   20.5367	   23.8355	   -0.8095	
 -310.0000	1.995E-13	9.418E+9	   20.0245	   20.5374	   23.8286	   -0.8129	
 -320.0000	1.947E-13	7.963E+9	   20.0296	   20.5445	   23.8264	   -0.8082	
 -330.0000	1.979E-13	8.281E+9	   20.0296	   20.5441	   23.8251	   -0.8093	
 -340.0000	1.965E-13	9.157E+9	   20.0270	   20.5447	   23.8140	   -0.8151	
 -350.0000	1.962E-13	7.886E+9	   20.0167	   20.5447	   23.8106	   -0.8171	
 -360.0000	1.950E-13	8.885E+9	   20.0090	   20.5483	   23.8039	   -0.8179	
 -370.0000	1.936E-13	8.792E+9	   19.9961	   20.5440	   23.7932	   -0.8277	
 -380.0000	1.958E-13	8.728E+9	   19.9884	   20.5498	   23.7802	   -0.8302	
 -390.0000	1.956E-13	8.329E+9	   19.9858	   20.5498	   23.7862	   -0.8268	
 -400.0000	1.931E-13	9.403E+9	   19.9833	   20.5511	   23.7796	   -0.8295	
 -420.0000	1.912E-13	7.905E+9	   19.9833	   20.5511	   23.7796	   -0.8295	
 -440.0000	1.901E-13	7.609E+9	   19.9884	   20.5518	   23.7704	   -0.8341	
 -460.0000	1.922E-13	7.878E+9	   19.9936	   20.5508	   23.7707	   -0.8348	
 -480.0000	1.914E-13	9.939E+9	   20.0142	   20.5545	   23.7653	   -0.8348	
 -500.0000	1.918E-13	7.652E+9	   20.0245	   20.5588	   23.7559	   -0.8366	
 -520.0000	1.907E-13	8.465E+9	   20.0270	   20.5567	   23.7609	   -0.8355	
 -540.0000	1.932E-13	6.746E+9	   20.0270	   20.5609	   23.7343	   -0.8472	
 -560.0000	1.913E-13	9.699E+9	   20.0245	   20.5535	   23.7369	   -0.8520	
 -580.0000	1.888E-13	7.814E+9	   20.0193	   20.5604	   23.7309	   -0.8497	
 -600.0000	1.892E-13	8.587E+9	   20.0116	   20.5615	   23.7214	   -0.8542	
