GCD Test
Bias: 5000.000000
CV_38693_046_2-S_HM_XX_DIODEPSTOP_GR
Date/Time: 4/22/2022 3:44:33 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.024E-11	1.433E+9	   20.0013	   21.5473	   21.3039	   -1.4936	
  -20.0000	6.858E-12	4.588E+9	   20.0039	   21.5532	   21.3020	   -1.4900	
  -30.0000	5.485E-12	4.264E+9	   20.0039	   21.5579	   21.3093	   -1.4815	
  -40.0000	4.646E-12	4.021E+9	   20.0013	   21.5534	   21.3014	   -1.4902	
  -50.0000	4.081E-12	4.566E+9	   19.9987	   21.5581	   21.2960	   -1.4897	
  -60.0000	3.666E-12	4.773E+9	   19.9987	   21.5577	   21.3004	   -1.4872	
  -70.0000	3.340E-12	4.552E+9	   19.9961	   21.5571	   21.3083	   -1.4827	
  -80.0000	3.077E-12	4.927E+9	   19.9961	   21.5548	   21.2982	   -1.4911	
  -90.0000	2.861E-12	4.927E+9	   19.9961	   21.5515	   21.2922	   -1.4977	
 -100.0000	2.681E-12	4.948E+9	   19.9961	   21.5531	   21.2976	   -1.4928	
 -110.0000	2.524E-12	5.008E+9	   19.9987	   21.5525	   21.2970	   -1.4938	
 -120.0000	2.381E-12	5.332E+9	   19.9987	   21.5485	   21.2900	   -1.5015	
 -130.0000	2.266E-12	5.613E+9	   20.0039	   21.5485	   21.2954	   -1.4981	
 -140.0000	2.157E-12	5.777E+9	   20.0039	   21.5570	   21.3039	   -1.4856	
 -150.0000	2.060E-12	5.597E+9	   20.0039	   21.5519	   21.2884	   -1.4997	
 -160.0000	1.973E-12	5.278E+9	   20.0013	   21.5519	   21.2935	   -1.4965	
 -170.0000	1.887E-12	5.421E+9	   20.0039	   21.5599	   21.2938	   -1.4896	
 -180.0000	1.810E-12	5.101E+9	   20.0013	   21.5587	   21.2951	   -1.4898	
 -190.0000	1.734E-12	5.349E+9	   20.0013	   21.5516	   21.2897	   -1.4991	
 -200.0000	1.670E-12	4.922E+9	   19.9987	   21.5484	   21.2954	   -1.4982	
 -210.0000	1.620E-12	5.692E+9	   19.9987	   21.5487	   21.2963	   -1.4973	
 -220.0000	1.604E-12	5.101E+9	   19.9987	   21.5487	   21.2963	   -1.4973	
 -230.0000	1.591E-12	6.301E+9	   19.9961	   21.5480	   21.2878	   -1.5034	
 -240.0000	1.585E-12	6.324E+9	   19.9961	   21.5551	   21.2910	   -1.4955	
 -250.0000	1.582E-12	6.078E+9	   19.9936	   21.5526	   21.2954	   -1.4947	
 -260.0000	1.578E-12	5.643E+9	   19.9961	   21.5552	   21.3008	   -1.4891	
 -270.0000	1.576E-12	5.709E+9	   19.9961	   21.5544	   21.3004	   -1.4900	
 -280.0000	1.574E-12	6.751E+9	   19.9987	   21.5544	   21.2957	   -1.4930	
 -290.0000	1.572E-12	5.869E+9	   20.0013	   21.5584	   21.2989	   -1.4876	
 -300.0000	1.571E-12	6.904E+9	   20.0039	   21.5554	   21.2957	   -1.4922	
 -310.0000	1.572E-12	5.005E+9	   20.0064	   21.5582	   21.3033	   -1.4850	
 -320.0000	1.572E-12	6.477E+9	   20.0090	   21.5554	   21.2929	   -1.4939	
 -330.0000	1.572E-12	5.684E+9	   20.0090	   21.5539	   21.3023	   -1.4892	
 -340.0000	1.571E-12	5.944E+9	   20.0064	   21.5540	   21.3014	   -1.4897	
 -350.0000	1.568E-12	5.114E+9	   20.0039	   21.5540	   21.2998	   -1.4907	
 -360.0000	1.564E-12	5.731E+9	   20.0039	   21.5577	   21.3042	   -1.4848	
 -370.0000	1.568E-12	6.074E+9	   20.0013	   21.5532	   21.3099	   -1.4849	
 -380.0000	1.569E-12	5.748E+9	   20.0013	   21.5532	   21.3055	   -1.4877	
 -390.0000	1.564E-12	6.610E+9	   19.9987	   21.5505	   21.2960	   -1.4961	
 -400.0000	1.566E-12	5.915E+9	   20.0013	   21.5463	   21.3077	   -1.4921	
 -420.0000	1.566E-12	5.572E+9	   19.9987	   21.5524	   21.3027	   -1.4902	
 -440.0000	1.564E-12	6.213E+9	   19.9987	   21.5488	   21.3061	   -1.4910	
 -460.0000	1.563E-12	5.463E+9	   20.0013	   21.5565	   21.3099	   -1.4822	
 -480.0000	1.562E-12	6.074E+9	   20.0013	   21.5547	   21.3093	   -1.4841	
 -500.0000	1.565E-12	5.877E+9	   20.0013	   21.5530	   21.3118	   -1.4838	
 -520.0000	1.564E-12	6.212E+9	   20.0039	   21.5530	   21.3093	   -1.4855	
 -540.0000	1.562E-12	5.745E+9	   20.0039	   21.5590	   21.3178	   -1.4750	
 -560.0000	1.562E-12	5.990E+9	   20.0013	   21.5529	   21.3182	   -1.4800	
 -580.0000	1.563E-12	6.218E+9	   20.0013	   21.5513	   21.3153	   -1.4831	
 -600.0000	1.560E-12	5.560E+9	   20.0013	   21.5539	   21.3267	   -1.4737	
