GCD Test
Bias: 5000.000000
IV_38693_046_2-S_HM_XX_DIODE
Date/Time: 4/22/2022 3:00:30 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.8000E-10	-1.8000E-10	-1.768010E-10	-1.768010E-10	   19.9987	   21.5809	   22.0323	   -1.0081	
  -20.0000	-3.8300E-10	-3.8300E-10	-1.892202E-10	-1.892202E-10	   19.9987	   21.5773	   21.9798	   -1.0437	
  -30.0000	-3.5800E-10	-3.5800E-10	-2.038379E-10	-2.038379E-10	   19.9987	   21.5740	   21.9314	   -1.0765	
  -40.0000	-5.3000E-10	-5.3000E-10	-2.213005E-10	-2.213005E-10	   19.9987	   21.5685	   21.8985	   -1.1015	
  -50.0000	-6.1100E-10	-6.1100E-10	-2.320653E-10	-2.320653E-10	   19.9987	   21.5675	   21.8542	   -1.1299	
  -60.0000	-6.4900E-10	-6.4900E-10	-2.371467E-10	-2.371467E-10	   20.0013	   21.5756	   21.8289	   -1.1390	
  -70.0000	-7.1100E-10	-7.1100E-10	-2.403184E-10	-2.403184E-10	   20.0013	   21.5694	   21.7929	   -1.1666	
  -80.0000	-7.4700E-10	-7.4700E-10	-2.438794E-10	-2.438794E-10	   20.0013	   21.5762	   21.7717	   -1.1742	
  -90.0000	-7.7100E-10	-7.7100E-10	-2.460906E-10	-2.460906E-10	   20.0039	   21.5734	   21.7517	   -1.1891	
 -100.0000	-7.7000E-10	-7.7000E-10	-2.487378E-10	-2.487378E-10	   20.0039	   21.5718	   21.7315	   -1.2030	
 -110.0000	-7.3800E-10	-7.3800E-10	-2.514156E-10	-2.514156E-10	   20.0039	   21.5729	   21.7018	   -1.2207	
 -120.0000	-7.0700E-10	-7.0700E-10	-2.522923E-10	-2.522923E-10	   20.0039	   21.5729	   21.7018	   -1.2207	
 -130.0000	-9.0300E-10	-9.0300E-10	-2.551674E-10	-2.551674E-10	   20.0039	   21.5697	   21.6733	   -1.2413	
 -140.0000	-8.1400E-10	-8.1400E-10	-2.578154E-10	-2.578154E-10	   20.0013	   21.5697	   21.6629	   -1.2413	
 -150.0000	-8.0600E-10	-8.0600E-10	-2.613635E-10	-2.613635E-10	   19.9987	   21.5697	   21.6480	   -1.2479	
 -160.0000	-8.5100E-10	-8.5100E-10	-2.656728E-10	-2.656728E-10	   19.9961	   21.5656	   21.6420	   -1.2606	
 -170.0000	-8.9000E-10	-8.9000E-10	-2.714200E-10	-2.714200E-10	   19.9961	   21.5657	   21.6287	   -1.2643	
 -180.0000	-9.0600E-10	-9.0600E-10	-2.798153E-10	-2.798153E-10	   19.9936	   21.5689	   21.6271	   -1.2700	
 -190.0000	-9.3000E-10	-9.3000E-10	-2.921342E-10	-2.921342E-10	   19.9936	   21.5653	   21.6271	   -1.2740	
 -200.0000	-9.7400E-10	-9.7400E-10	-3.070420E-10	-3.070420E-10	   19.9936	   21.5675	   21.6101	   -1.2829	
 -210.0000	-1.0110E-9	-1.0110E-9	-3.224107E-10	-3.224107E-10	   19.9961	   21.5627	   21.6009	   -1.2927	
 -220.0000	-9.8300E-10	-9.8300E-10	-3.353386E-10	-3.353386E-10	   19.9987	   21.5624	   21.5854	   -1.3027	
 -230.0000	-1.1530E-9	-1.1530E-9	-3.450853E-10	-3.450853E-10	   19.9987	   21.5662	   21.5942	   -1.2939	
 -240.0000	-1.1030E-9	-1.1030E-9	-3.528141E-10	-3.528141E-10	   20.0039	   21.5692	   21.5841	   -1.2978	
 -250.0000	-1.2010E-9	-1.2010E-9	-3.590314E-10	-3.590314E-10	   20.0064	   21.5637	   21.5765	   -1.3072	
 -260.0000	-1.0720E-9	-1.0720E-9	-3.655018E-10	-3.655018E-10	   20.0064	   21.5642	   21.5743	   -1.3082	
 -270.0000	-1.2530E-9	-1.2530E-9	-3.704833E-10	-3.704833E-10	   20.0090	   21.5615	   21.5642	   -1.3168	
 -280.0000	-1.1810E-9	-1.1810E-9	-3.749048E-10	-3.749048E-10	   20.0064	   21.5605	   21.5629	   -1.3184	
 -290.0000	-1.3110E-9	-1.3110E-9	-3.789023E-10	-3.789023E-10	   20.0064	   21.5688	   21.5626	   -1.3117	
 -300.0000	-1.2260E-9	-1.2260E-9	-3.830578E-10	-3.830578E-10	   20.0039	   21.5643	   21.5579	   -1.3185	
 -310.0000	-1.3970E-9	-1.3970E-9	-3.870107E-10	-3.870107E-10	   20.0039	   21.5615	   21.5563	   -1.3217	
 -320.0000	-1.3320E-9	-1.3320E-9	-3.899012E-10	-3.899012E-10	   19.9987	   21.5615	   21.5493	   -1.3217	
 -330.0000	-1.3610E-9	-1.3610E-9	-3.936505E-10	-3.936505E-10	   19.9987	   21.5657	   21.5493	   -1.3227	
