GCD Test
Bias: 5000.000000
CV_38694_003_2-S_HM_XX_DIODEHALF
Date/Time: 2/10/2022 4:11:50 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.895E-11	1.777E+9	   20.0193	   21.4078	   24.0835	    0.0662	
  -20.0000	1.320E-11	4.519E+9	   20.0064	   21.4042	   24.0797	    0.0611	
  -30.0000	1.038E-11	4.059E+9	   19.9936	   21.4056	   24.0750	    0.0596	
  -40.0000	8.351E-12	3.892E+9	   19.9833	   21.4056	   24.0547	    0.0480	
  -50.0000	6.552E-12	4.636E+9	   19.9781	   21.4020	   24.0525	    0.0437	
  -60.0000	5.764E-12	5.581E+9	   19.9781	   21.4021	   24.0348	    0.0336	
  -70.0000	5.273E-12	9.228E+8	   19.9807	   21.4009	   24.0440	    0.0379	
  -80.0000	3.591E-12	2.818E+9	   19.9858	   21.4029	   24.0522	    0.0442	
  -90.0000	3.362E-12	2.911E+9	   19.9987	   21.4030	   24.0670	    0.0528	
 -100.0000	3.184E-12	2.977E+9	   20.0116	   21.4030	   24.0712	    0.0551	
 -110.0000	3.037E-12	2.963E+9	   20.0219	   21.4024	   24.0718	    0.0550	
 -120.0000	2.901E-12	3.298E+9	   20.0296	   21.4040	   24.0822	    0.0623	
 -130.0000	2.791E-12	3.291E+9	   20.0347	   21.4042	   24.0696	    0.0553	
 -140.0000	2.687E-12	3.662E+9	   20.0322	   21.4047	   24.0610	    0.0508	
 -150.0000	2.594E-12	3.292E+9	   20.0296	   21.3965	   24.0430	    0.0336	
 -160.0000	2.511E-12	3.454E+9	   20.0193	   21.4043	   24.0490	    0.0436	
 -170.0000	2.431E-12	3.565E+9	   20.0090	   21.4043	   24.0348	    0.0354	
 -180.0000	2.356E-12	3.370E+9	   19.9961	   21.4011	   24.0212	    0.0250	
 -190.0000	2.282E-12	3.450E+9	   19.9858	   21.4041	   24.0114	    0.0219	
 -200.0000	2.225E-12	3.461E+9	   19.9807	   21.4035	   23.9975	    0.0134	
 -210.0000	2.186E-12	3.742E+9	   19.9781	   21.3994	   23.9949	    0.0085	
 -220.0000	2.167E-12	3.768E+9	   19.9781	   21.3975	   23.9987	    0.0091	
 -230.0000	2.160E-12	3.717E+9	   19.9833	   21.4024	   24.0183	    0.0245	
 -240.0000	2.150E-12	3.903E+9	   19.9936	   21.4010	   24.0174	    0.0227	
 -250.0000	2.144E-12	4.109E+9	   20.0039	   21.4015	   24.0297	    0.0302	
 -260.0000	2.142E-12	4.092E+9	   20.0116	   21.3986	   24.0269	    0.0262	
 -270.0000	2.138E-12	3.972E+9	   20.0219	   21.4024	   24.0009	    0.0145	
 -280.0000	2.138E-12	4.010E+9	   20.0296	   21.4033	   23.9880	    0.0078	
 -290.0000	2.134E-12	4.085E+9	   20.0296	   21.4029	   23.9873	    0.0071	
 -300.0000	2.133E-12	4.026E+9	   20.0296	   21.4039	   23.9772	    0.0021	
 -310.0000	2.133E-12	3.970E+9	   20.0219	   21.4039	   23.9753	    0.0011	
 -320.0000	2.128E-12	3.949E+9	   20.0116	   21.4022	   23.9734	   -0.0015	
 -330.0000	2.127E-12	3.908E+9	   20.0039	   21.4032	   23.9842	    0.0056	
 -340.0000	2.130E-12	4.252E+9	   19.9936	   21.4051	   23.9978	    0.0150	
 -350.0000	2.126E-12	4.168E+9	   19.9833	   21.4015	   23.9994	    0.0128	
 -360.0000	2.123E-12	4.073E+9	   19.9833	   21.4015	   23.9994	    0.0128	
 -370.0000	2.124E-12	4.790E+9	   19.9781	   21.4061	   23.9987	    0.0163	
 -380.0000	2.121E-12	4.697E+9	   19.9807	   21.4036	   24.0063	    0.0186	
 -390.0000	2.124E-12	4.666E+9	   19.9884	   21.4063	   24.0082	    0.0219	
 -400.0000	2.121E-12	4.942E+9	   19.9987	   21.4048	   24.0025	    0.0174	
 -420.0000	2.124E-12	5.644E+9	   20.0090	   21.4058	   24.0142	    0.0249	
 -440.0000	2.122E-12	5.627E+9	   20.0219	   21.4015	   24.0104	    0.0192	
 -460.0000	2.121E-12	5.168E+9	   20.0347	   21.4015	   24.0196	    0.0244	
 -480.0000	2.119E-12	5.602E+9	   20.0347	   21.4002	   24.0218	    0.0246	
 -500.0000	2.119E-12	5.384E+9	   20.0347	   21.4031	   24.0212	    0.0267	
 -520.0000	2.115E-12	6.145E+9	   20.0296	   21.3988	   24.0218	    0.0234	
 -540.0000	2.118E-12	6.851E+9	   20.0193	   21.4009	   24.0123	    0.0198	
 -560.0000	2.119E-12	6.543E+9	   20.0090	   21.3990	   24.0085	    0.0160	
 -580.0000	2.113E-12	6.078E+9	   19.9987	   21.4010	   23.9965	    0.0107	
 -600.0000	2.114E-12	7.150E+9	   19.9858	   21.4010	   23.9836	    0.0033	
