GCD Test
Bias: 5000.000000
CV_38695_002_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 2/11/2022 12:52:38 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	9.715E-12	2.180E+9	   19.9755	   21.4875	   21.5193	   -1.4067	
  -20.0000	6.711E-12	6.276E+9	   19.9781	   21.4869	   21.5168	   -1.4088	
  -30.0000	5.363E-12	5.773E+9	   19.9833	   21.4848	   21.5130	   -1.4129	
  -40.0000	4.538E-12	5.507E+9	   19.9910	   21.4894	   21.5199	   -1.4047	
  -50.0000	3.984E-12	5.286E+9	   20.0039	   21.4883	   21.5152	   -1.4086	
  -60.0000	3.570E-12	6.598E+9	   20.0116	   21.4888	   21.5237	   -1.4028	
  -70.0000	3.254E-12	6.436E+9	   20.0219	   21.4888	   21.5250	   -1.4020	
  -80.0000	2.997E-12	6.925E+9	   20.0270	   21.4914	   21.5158	   -1.4056	
  -90.0000	2.785E-12	6.820E+9	   20.0270	   21.4916	   21.5196	   -1.4031	
 -100.0000	2.605E-12	6.042E+9	   20.0245	   21.4906	   21.5202	   -1.4035	
 -110.0000	2.453E-12	5.888E+9	   20.0193	   21.4893	   21.5278	   -1.3998	
 -120.0000	2.315E-12	8.923E+9	   20.0116	   21.4922	   21.5120	   -1.4074	
 -130.0000	2.199E-12	7.068E+9	   19.9987	   21.4922	   21.5168	   -1.4044	
 -140.0000	2.091E-12	8.539E+9	   19.9884	   21.4890	   21.5164	   -1.4073	
 -150.0000	1.996E-12	8.459E+9	   19.9807	   21.4862	   21.5221	   -1.4059	
 -160.0000	1.907E-12	7.463E+9	   19.9730	   21.4899	   21.5212	   -1.4035	
 -170.0000	1.827E-12	7.712E+9	   19.9704	   21.4883	   21.5209	   -1.4051	
 -180.0000	1.746E-12	6.604E+9	   19.9704	   21.4883	   21.5209	   -1.4051	
 -190.0000	1.671E-12	7.008E+9	   19.9755	   21.4928	   21.5193	   -1.4023	
 -200.0000	1.611E-12	7.821E+9	   19.9781	   21.4906	   21.5262	   -1.3997	
 -210.0000	1.583E-12	8.014E+9	   19.9884	   21.4938	   21.5266	   -1.3968	
 -220.0000	1.570E-12	8.571E+9	   20.0116	   21.4892	   21.5342	   -1.3959	
 -230.0000	1.565E-12	7.972E+9	   20.0219	   21.4904	   21.5262	   -1.3999	
 -240.0000	1.560E-12	7.453E+9	   20.0296	   21.4909	   21.5196	   -1.4037	
 -250.0000	1.560E-12	8.509E+9	   20.0347	   21.4872	   21.5228	   -1.4048	
 -260.0000	1.557E-12	8.320E+9	   20.0296	   21.4895	   21.5262	   -1.4006	
 -270.0000	1.555E-12	9.406E+9	   20.0245	   21.4843	   21.5338	   -1.4002	
 -280.0000	1.554E-12	8.322E+9	   20.0116	   21.4843	   21.5288	   -1.4034	
 -290.0000	1.551E-12	8.588E+9	   20.0013	   21.4855	   21.5266	   -1.4038	
 -300.0000	1.552E-12	8.009E+9	   19.9910	   21.4930	   21.5316	   -1.3944	
 -310.0000	1.551E-12	8.786E+9	   19.9833	   21.4930	   21.5323	   -1.3940	
 -320.0000	1.550E-12	8.260E+9	   19.9807	   21.4894	   21.5294	   -1.3987	
 -330.0000	1.547E-12	8.208E+9	   19.9781	   21.4913	   21.5288	   -1.3976	
 -340.0000	1.547E-12	8.653E+9	   19.9807	   21.4818	   21.5259	   -1.4073	
 -350.0000	1.547E-12	9.320E+9	   19.9858	   21.4907	   21.5281	   -1.3984	
 -360.0000	1.548E-12	8.521E+9	   19.9936	   21.4874	   21.5294	   -1.4004	
 -370.0000	1.547E-12	7.719E+9	   20.0013	   21.4848	   21.5402	   -1.3957	
 -380.0000	1.545E-12	8.271E+9	   20.0090	   21.4816	   21.5319	   -1.4036	
 -390.0000	1.547E-12	7.851E+9	   20.0167	   21.4878	   21.5351	   -1.3965	
 -400.0000	1.547E-12	1.064E+10	   20.0219	   21.4878	   21.5291	   -1.4003	
 -420.0000	1.544E-12	7.806E+9	   20.0219	   21.4813	   21.5376	   -1.4003	
 -440.0000	1.548E-12	7.663E+9	   20.0245	   21.4788	   21.5304	   -1.4069	
 -460.0000	1.542E-12	8.306E+9	   20.0193	   21.4839	   21.5376	   -1.3981	
 -480.0000	1.540E-12	7.530E+9	   20.0116	   21.4776	   21.5357	   -1.4046	
 -500.0000	1.538E-12	8.284E+9	   20.0064	   21.4804	   21.5364	   -1.4018	
 -520.0000	1.541E-12	7.895E+9	   19.9987	   21.4855	   21.5471	   -1.3908	
 -540.0000	1.543E-12	8.369E+9	   19.9910	   21.4868	   21.5503	   -1.3877	
 -560.0000	1.539E-12	6.805E+9	   19.9833	   21.4826	   21.5468	   -1.3934	
 -580.0000	1.539E-12	8.957E+9	   19.9781	   21.4844	   21.5430	   -1.3943	
 -600.0000	1.537E-12	7.209E+9	   19.9781	   21.4844	   21.5509	   -1.3893	
