GCD Test
Bias: 5000.000000
IV_38695_044_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 2/11/2022 11:26:05 AM
Sensor Name: DIODEHALFPSTOP
Type: 
Annealing Status: Not Irradiated
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.5800E-10	2.5800E-10	-1.977331E-11	-1.977331E-11	   20.0064	   21.5432	   21.1205	   -1.6106	
  -20.0000	1.1300E-10	1.1300E-10	-2.080919E-11	-2.080919E-11	   20.0064	   21.5528	   21.1205	   -1.6065	
  -30.0000	7.0000E-11	7.0000E-11	-2.172855E-11	-2.172855E-11	   20.0142	   21.5490	   21.1170	   -1.6119	
  -40.0000	-1.1100E-10	-1.1100E-10	-2.299789E-11	-2.299789E-11	   20.0219	   21.5648	   21.1157	   -1.5995	
  -50.0000	-1.3500E-10	-1.3500E-10	-2.390502E-11	-2.390502E-11	   20.0245	   21.5599	   21.1170	   -1.6029	
  -60.0000	-1.2200E-10	-1.2200E-10	-2.500996E-11	-2.500996E-11	   20.0245	   21.5623	   21.0993	   -1.6122	
  -70.0000	-2.6700E-10	-2.6700E-10	-2.547423E-11	-2.547423E-11	   20.0219	   21.5763	   21.1015	   -1.5992	
  -80.0000	-3.0000E-10	-3.0000E-10	-2.581912E-11	-2.581912E-11	   20.0142	   21.6035	   21.1012	   -1.5768	
  -90.0000	-2.3100E-10	-2.3100E-10	-2.698415E-11	-2.698415E-11	   20.0064	   21.5752	   21.1088	   -1.5954	
 -100.0000	-3.6500E-10	-3.6500E-10	-2.716180E-11	-2.716180E-11	   19.9910	   21.5873	   21.1018	   -1.5899	
 -110.0000	-2.6800E-10	-2.6800E-10	-2.812210E-11	-2.812210E-11	   19.9833	   21.5873	   21.0927	   -1.5899	
 -120.0000	-3.5300E-10	-3.5300E-10	-2.816019E-11	-2.816019E-11	   19.9755	   21.5873	   21.0949	   -1.5958	
 -130.0000	-2.9400E-10	-2.9400E-10	-2.884181E-11	-2.884181E-11	   19.9730	   21.5823	   21.0971	   -1.5984	
 -140.0000	-3.4000E-10	-3.4000E-10	-2.899399E-11	-2.899399E-11	   19.9730	   21.5908	   21.0977	   -1.5900	
 -150.0000	-3.3800E-10	-3.3800E-10	-3.044729E-11	-3.044729E-11	   19.9730	   21.5682	   21.0977	   -1.6083	
 -160.0000	-4.8400E-10	-4.8400E-10	-3.193766E-11	-3.193766E-11	   19.9807	   21.6006	   21.0942	   -1.5837	
 -170.0000	-5.0200E-10	-5.0200E-10	-3.323246E-11	-3.323246E-11	   19.9910	   21.5637	   21.0952	   -1.6137	
 -180.0000	-5.3300E-10	-5.3300E-10	-3.655748E-11	-3.655748E-11	   19.9987	   21.6028	   21.0993	   -1.5786	
 -190.0000	-4.8000E-10	-4.8000E-10	-3.985764E-11	-3.985764E-11	   20.0116	   21.6163	   21.0930	   -1.5715	
 -200.0000	-5.7200E-10	-5.7200E-10	-4.438395E-11	-4.438395E-11	   20.0193	   21.5977	   21.0939	   -1.5863	
 -210.0000	-4.8800E-10	-4.8800E-10	-4.922582E-11	-4.922582E-11	   20.0245	   21.6108	   21.1012	   -1.5708	
 -220.0000	-6.3100E-10	-6.3100E-10	-5.259278E-11	-5.259278E-11	   20.0296	   21.5931	   21.0993	   -1.5867	
 -230.0000	-6.3500E-10	-6.3500E-10	-5.498254E-11	-5.498254E-11	   20.0270	   21.5960	   21.0800	   -1.5966	
 -240.0000	-6.7300E-10	-6.7300E-10	-5.709384E-11	-5.709384E-11	   20.0245	   21.5980	   21.0914	   -1.5877	
 -250.0000	-5.9800E-10	-5.9800E-10	-5.835848E-11	-5.835848E-11	   20.0167	   21.5807	   21.0806	   -1.6089	
 -260.0000	-6.5500E-10	-6.5500E-10	-5.947117E-11	-5.947117E-11	   20.0064	   21.5987	   21.0860	   -1.5906	
 -270.0000	-6.4600E-10	-6.4600E-10	-6.014809E-11	-6.014809E-11	   19.9961	   21.5875	   21.0857	   -1.6001	
 -280.0000	-6.4400E-10	-6.4400E-10	-6.136874E-11	-6.136874E-11	   19.9884	   21.5986	   21.0822	   -1.5931	
