GCD Test
Bias: 5000.000000
CV_34252_018_PSS_HM_XX_DIODEHALF
Date/Time: 4/27/2021 11:31:38 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.665E-11	1.677E+9	   22.7693	   22.9357	   19.3324	   -1.6650	
  -10.0000	2.749E-11	2.253E+9	   22.7693	   22.9333	   19.3280	   -1.6701	
  -15.0000	2.320E-11	2.335E+9	   22.7693	   22.9347	   19.3273	   -1.6694	
  -20.0000	2.051E-11	2.635E+9	   22.7693	   22.9338	   19.3305	   -1.6679	
  -25.0000	1.863E-11	2.464E+9	   22.7693	   22.9338	   19.3349	   -1.6648	
  -30.0000	1.704E-11	2.530E+9	   22.7693	   22.9377	   19.3264	   -1.6676	
  -35.0000	1.556E-11	2.485E+9	   22.7693	   22.9382	   19.3175	   -1.6734	
  -40.0000	1.373E-11	2.450E+9	   22.7693	   22.9354	   19.3333	   -1.6647	
  -45.0000	1.273E-11	2.802E+9	   22.7693	   22.9365	   19.3080	   -1.6815	
  -50.0000	1.035E-11	4.671E+8	   22.7693	   22.9395	   19.3185	   -1.6717	
  -55.0000	1.004E-11	5.810E+8	   22.7693	   22.9376	   19.3096	   -1.6795	
  -60.0000	9.811E-12	5.939E+8	   22.7693	   22.9413	   19.3096	   -1.6765	
  -65.0000	9.606E-12	6.257E+8	   22.7693	   22.9366	   19.3242	   -1.6701	
  -70.0000	9.426E-12	6.619E+8	   22.7693	   22.9394	   19.3295	   -1.6640	
  -75.0000	9.260E-12	6.894E+8	   22.7693	   22.9401	   19.3182	   -1.6714	
  -80.0000	9.103E-12	7.328E+8	   22.7693	   22.9366	   19.3156	   -1.6760	
  -85.0000	8.963E-12	7.935E+8	   22.7668	   22.9352	   19.3283	   -1.6683	
  -90.0000	8.832E-12	8.617E+8	   22.7693	   22.9357	   19.3194	   -1.6741	
  -95.0000	8.718E-12	9.324E+8	   22.7693	   22.9389	   19.3289	   -1.6649	
 -100.0000	8.614E-12	1.009E+9	   22.7693	   22.9377	   19.3254	   -1.6683	
 -105.0000	8.516E-12	1.040E+9	   22.7693	   22.9430	   19.3125	   -1.6730	
 -110.0000	8.430E-12	1.086E+9	   22.7693	   22.9430	   19.3223	   -1.6661	
 -115.0000	8.347E-12	1.165E+9	   22.7693	   22.9381	   19.3229	   -1.6698	
 -120.0000	8.269E-12	1.192E+9	   22.7693	   22.9411	   19.3182	   -1.6706	
 -125.0000	8.194E-12	1.197E+9	   22.7693	   22.9392	   19.3077	   -1.6795	
 -130.0000	8.128E-12	1.211E+9	   22.7693	   22.9413	   19.3318	   -1.6609	
 -135.0000	8.065E-12	1.260E+9	   22.7693	   22.9431	   19.3210	   -1.6670	
 -140.0000	8.005E-12	1.228E+9	   22.7668	   22.9409	   19.3131	   -1.6743	
 -145.0000	7.946E-12	1.296E+9	   22.7668	   22.9437	   19.3213	   -1.6662	
 -150.0000	7.889E-12	1.256E+9	   22.7668	   22.9430	   19.3147	   -1.6715	
 -155.0000	7.840E-12	1.281E+9	   22.7668	   22.9430	   19.3188	   -1.6686	
 -160.0000	7.788E-12	1.269E+9	   22.7693	   22.9438	   19.3115	   -1.6731	
 -165.0000	7.745E-12	1.362E+9	   22.7668	   22.9398	   19.3125	   -1.6757	
 -170.0000	7.697E-12	1.363E+9	   22.7668	   22.9460	   19.3061	   -1.6750	
 -175.0000	7.656E-12	1.360E+9	   22.7693	   22.9400	   19.3033	   -1.6820	
 -180.0000	7.612E-12	1.432E+9	   22.7668	   22.9431	   19.3042	   -1.6787	
