GCD Test
Bias: 5000.000000
CV_34254_041_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 4/23/2021 4:30:28 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.116E-11	2.553E+8	   23.0836	   23.4095	   16.2473	   -3.6185	
  -10.0000	1.637E-11	2.850E+8	   23.0836	   23.4123	   16.2486	   -3.6153	
  -15.0000	1.425E-11	3.037E+8	   23.0836	   23.4107	   16.2429	   -3.6212	
  -20.0000	1.295E-11	3.167E+8	   23.0836	   23.4181	   16.2410	   -3.6168	
  -25.0000	1.206E-11	3.280E+8	   23.0836	   23.4181	   16.2410	   -3.6168	
  -30.0000	1.145E-11	3.320E+8	   23.0836	   23.4098	   16.2350	   -3.6284	
  -35.0000	1.094E-11	3.467E+8	   23.0836	   23.4096	   16.2252	   -3.6366	
  -40.0000	1.053E-11	3.470E+8	   23.0836	   23.4099	   16.2290	   -3.6333	
  -45.0000	1.020E-11	3.551E+8	   23.0836	   23.4099	   16.2321	   -3.6307	
  -50.0000	9.926E-12	3.654E+8	   23.0836	   23.4157	   16.2337	   -3.6248	
  -55.0000	9.698E-12	3.637E+8	   23.0836	   23.4101	   16.2290	   -3.6331	
  -60.0000	9.492E-12	3.680E+8	   23.0836	   23.4177	   16.2366	   -3.6208	
  -65.0000	9.305E-12	3.847E+8	   23.0836	   23.4173	   16.2385	   -3.6195	
  -70.0000	9.141E-12	3.913E+8	   23.0836	   23.4133	   16.2328	   -3.6274	
  -75.0000	8.997E-12	4.070E+8	   23.0836	   23.4094	   16.2356	   -3.6283	
  -80.0000	8.868E-12	4.138E+8	   23.0836	   23.4178	   16.2416	   -3.6165	
  -85.0000	8.754E-12	4.092E+8	   23.0836	   23.4158	   16.2435	   -3.6166	
  -90.0000	8.640E-12	4.277E+8	   23.0836	   23.4179	   16.2407	   -3.6173	
  -95.0000	8.536E-12	4.459E+8	   23.0836	   23.4147	   16.2287	   -3.6298	
 -100.0000	8.441E-12	4.484E+8	   23.0836	   23.4177	   16.2397	   -3.6182	
 -105.0000	8.348E-12	4.754E+8	   23.0836	   23.4149	   16.2366	   -3.6230	
 -110.0000	8.263E-12	4.911E+8	   23.0836	   23.4204	   16.2441	   -3.6124	
 -115.0000	8.174E-12	5.436E+8	   23.0836	   23.4208	   16.2460	   -3.6105	
 -120.0000	8.102E-12	5.341E+8	   23.0862	   23.4208	   16.2302	   -3.6235	
 -125.0000	8.036E-12	5.398E+8	   23.0836	   23.4200	   16.2435	   -3.6132	
 -130.0000	7.969E-12	5.537E+8	   23.0836	   23.4207	   16.2435	   -3.6127	
 -135.0000	7.912E-12	5.430E+8	   23.0836	   23.4195	   16.2264	   -3.6277	
 -140.0000	7.849E-12	5.717E+8	   23.0836	   23.4224	   16.2350	   -3.6183	
 -145.0000	7.804E-12	5.547E+8	   23.0836	   23.4170	   16.2366	   -3.6213	
 -150.0000	7.745E-12	5.803E+8	   23.0836	   23.4206	   16.2274	   -3.6260	
 -155.0000	7.696E-12	5.865E+8	   23.0836	   23.4127	   16.2486	   -3.6150	
 -160.0000	7.654E-12	5.713E+8	   23.0836	   23.4160	   16.2514	   -3.6099	
 -165.0000	7.606E-12	5.950E+8	   23.0836	   23.4199	   16.2407	   -3.6157	
 -170.0000	7.564E-12	6.022E+8	   23.0836	   23.4168	   16.2451	   -3.6145	
 -175.0000	7.525E-12	5.859E+8	   23.0836	   23.4134	   16.2369	   -3.6240	
 -180.0000	7.487E-12	6.091E+8	   23.0836	   23.4139	   16.2283	   -3.6306	
 -185.0000	7.447E-12	5.889E+8	   23.0836	   23.4194	   16.2381	   -3.6181	
 -190.0000	7.415E-12	5.886E+8	   23.0836	   23.4194	   16.2381	   -3.6181	
 -195.0000	7.374E-12	6.165E+8	   23.0836	   23.4204	   16.2435	   -3.6129	
 -200.0000	7.342E-12	5.955E+8	   23.0836	   23.4148	   16.2293	   -3.6291	
 -205.0000	7.306E-12	6.336E+8	   23.0836	   23.4182	   16.2166	   -3.6368	
 -210.0000	7.275E-12	6.055E+8	   23.0836	   23.4182	   16.2166	   -3.6368	
 -215.0000	7.241E-12	6.214E+8	   23.0836	   23.4220	   16.2223	   -3.6290	
 -220.0000	7.210E-12	6.228E+8	   23.0836	   23.4220	   16.2356	   -3.6181	
 -225.0000	7.175E-12	6.527E+8	   23.0836	   23.4136	   16.2261	   -3.6327	
 -230.0000	7.149E-12	6.239E+8	   23.0862	   23.4166	   16.2220	   -3.6337	
 -235.0000	7.120E-12	6.420E+8	   23.0836	   23.4213	   16.2261	   -3.6265	
 -240.0000	7.087E-12	6.697E+8	   23.0862	   23.4202	   16.2255	   -3.6279	
 -245.0000	7.061E-12	6.795E+8	   23.0836	   23.4240	   16.2264	   -3.6240	
 -250.0000	7.039E-12	6.485E+8	   23.0862	   23.4245	   16.2245	   -3.6252	
 -255.0000	7.013E-12	6.631E+8	   23.0836	   23.4202	   16.2290	   -3.6250	
 -260.0000	6.998E-12	6.646E+8	   23.0836	   23.4238	   16.2287	   -3.6224	
 -265.0000	6.972E-12	6.995E+8	   23.0836	   23.4255	   16.2419	   -3.6101	
 -270.0000	6.941E-12	7.251E+8	   23.0862	   23.4288	   16.2204	   -3.6252	
 -275.0000	6.903E-12	8.077E+8	   23.0836	   23.4186	   16.2268	   -3.6281	
 -280.0000	6.890E-12	9.114E+8	   23.0862	   23.4204	   16.2233	   -3.6296	
 -285.0000	6.881E-12	9.301E+8	   23.0862	   23.4246	   16.2154	   -3.6326	
 -290.0000	6.872E-12	1.007E+9	   23.0862	   23.4246	   16.2154	   -3.6326	
 -295.0000	6.865E-12	1.043E+9	   23.0862	   23.4265	   16.2233	   -3.6246	
 -300.0000	6.859E-12	1.068E+9	   23.0862	   23.4265	   16.2135	   -3.6327	
 -305.0000	6.856E-12	1.109E+9	   23.0836	   23.4229	   16.2195	   -3.6307	
 -310.0000	6.850E-12	1.146E+9	   23.0836	   23.4298	   16.2211	   -3.6238	
 -315.0000	6.849E-12	1.167E+9	   23.0836	   23.4327	   16.2201	   -3.6223	
 -320.0000	6.844E-12	1.199E+9	   23.0862	   23.4279	   16.2151	   -3.6303	
 -325.0000	6.841E-12	1.199E+9	   23.0862	   23.4263	   16.2220	   -3.6258	
 -330.0000	6.838E-12	1.252E+9	   23.0836	   23.4309	   16.2147	   -3.6282	
 -335.0000	6.836E-12	1.295E+9	   23.0862	   23.4271	   16.2264	   -3.6216	
 -340.0000	6.833E-12	1.284E+9	   23.0836	   23.4335	   16.2166	   -3.6245	
 -345.0000	6.826E-12	1.340E+9	   23.0836	   23.4322	   16.2198	   -3.6229	
 -350.0000	6.830E-12	1.374E+9	   23.0862	   23.4332	   16.2173	   -3.6242	
 -355.0000	6.830E-12	1.431E+9	   23.0862	   23.4247	   16.2103	   -3.6368	
 -360.0000	6.825E-12	1.413E+9	   23.0862	   23.4289	   16.2135	   -3.6308	
 -365.0000	6.825E-12	1.413E+9	   23.0862	   23.4329	   16.1983	   -3.6400	
 -370.0000	6.824E-12	1.451E+9	   23.0862	   23.4308	   16.2011	   -3.6394	
 -375.0000	6.819E-12	1.453E+9	   23.0862	   23.4292	   16.1948	   -3.6459	
 -380.0000	6.817E-12	1.496E+9	   23.0862	   23.4302	   16.2116	   -3.6313	
 -385.0000	6.817E-12	1.548E+9	   23.0862	   23.4314	   16.2258	   -3.6186	
 -390.0000	6.816E-12	1.519E+9	   23.0862	   23.4315	   16.2255	   -3.6188	
 -395.0000	6.817E-12	1.540E+9	   23.0862	   23.4320	   16.2090	   -3.6319	
 -400.0000	6.814E-12	1.560E+9	   23.0862	   23.4313	   16.2005	   -3.6396	
 -410.0000	6.812E-12	1.659E+9	   23.0862	   23.4313	   16.2005	   -3.6396	
 -420.0000	6.808E-12	1.611E+9	   23.0862	   23.4293	   16.2059	   -3.6367	
 -430.0000	6.809E-12	1.592E+9	   23.0862	   23.4295	   16.1970	   -3.6438	
 -440.0000	6.803E-12	1.601E+9	   23.0862	   23.4374	   16.1935	   -3.6359	
 -450.0000	6.811E-12	1.649E+9	   23.0836	   23.4344	   16.2034	   -3.6347	
 -460.0000	6.807E-12	1.608E+9	   23.0862	   23.4349	   16.2087	   -3.6299	
 -470.0000	6.801E-12	1.591E+9	   23.0862	   23.4315	   16.2141	   -3.6281	
 -480.0000	6.807E-12	1.622E+9	   23.0862	   23.4330	   16.1999	   -3.6387	
 -490.0000	6.811E-12	1.590E+9	   23.0862	   23.4292	   16.1999	   -3.6417	
 -500.0000	6.809E-12	1.554E+9	   23.0862	   23.4296	   16.2068	   -3.6357	
 -510.0000	6.807E-12	1.606E+9	   23.0862	   23.4291	   16.2084	   -3.6348	
 -520.0000	6.803E-12	1.616E+9	   23.0862	   23.4319	   16.2071	   -3.6336	
 -530.0000	6.804E-12	1.643E+9	   23.0862	   23.4325	   16.2128	   -3.6284	
 -540.0000	6.805E-12	1.638E+9	   23.0862	   23.4242	   16.2163	   -3.6322	
 -550.0000	6.798E-12	1.654E+9	   23.0862	   23.4273	   16.2052	   -3.6388	
 -560.0000	6.800E-12	1.644E+9	   23.0862	   23.4250	   16.2135	   -3.6339	
 -570.0000	6.799E-12	1.754E+9	   23.0862	   23.4319	   16.2043	   -3.6359	
 -580.0000	6.798E-12	1.718E+9	   23.0862	   23.4319	   16.2043	   -3.6359	
 -590.0000	6.801E-12	1.787E+9	   23.0862	   23.4344	   16.2034	   -3.6347	
 -600.0000	6.799E-12	1.718E+9	   23.0862	   23.4245	   16.1910	   -3.6528	
