GCD Test
Bias: 5000.000000
CV_34330_049_2-S_HM_XX_DIODEQUARTER
Date/Time: 9/10/2021 2:23:39 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.785E-11	1.566E+9	   20.3977	   21.8737	   10.8994	  -10.0088	
  -10.0000	1.397E-11	2.396E+9	   20.3951	   21.8757	   10.5266	  -10.4459	
  -15.0000	1.212E-11	2.427E+9	   20.3951	   21.8719	    9.9956	  -11.0979	
  -20.0000	1.085E-11	2.608E+9	   20.3900	   21.8704	    9.5591	  -11.6560	
  -25.0000	9.965E-12	2.668E+9	   20.3900	   21.8729	    9.2299	  -12.0894	
  -30.0000	9.302E-12	2.614E+9	   20.3900	   21.8729	    9.2299	  -12.0894	
  -35.0000	8.705E-12	2.385E+9	   20.3848	   21.8729	    8.8561	  -12.6008	
  -40.0000	8.175E-12	2.441E+9	   20.3848	   21.8732	    8.6730	  -12.8581	
  -45.0000	7.795E-12	2.363E+9	   20.3822	   21.8725	    8.5221	  -13.0745	
  -50.0000	7.501E-12	1.982E+9	   20.3797	   21.8729	    8.3760	  -13.2866	
  -55.0000	7.313E-12	9.927E+8	   20.3797	   21.8706	    8.2663	  -13.4499	
  -60.0000	6.790E-12	2.497E+8	   20.3797	   21.8679	    8.1388	  -13.6421	
  -65.0000	5.725E-12	3.805E+8	   20.3771	   21.8763	    8.0538	  -13.7642	
  -70.0000	5.537E-12	2.134E+9	   20.3771	   21.8690	    7.9608	  -13.9114	
  -75.0000	5.492E-12	2.926E+9	   20.3745	   21.8705	    7.8836	  -14.0291	
  -80.0000	5.451E-12	2.797E+9	   20.3719	   21.8712	    7.8185	  -14.1296	
  -85.0000	5.421E-12	2.860E+9	   20.3719	   21.8702	    7.7625	  -14.2178	
  -90.0000	5.385E-12	2.706E+9	   20.3694	   21.8778	    7.7166	  -14.2843	
  -95.0000	5.359E-12	2.883E+9	   20.3694	   21.8727	    7.6657	  -14.3685	
 -100.0000	5.332E-12	2.955E+9	   20.3668	   21.8724	    7.6290	  -14.4270	
 -105.0000	5.306E-12	2.615E+9	   20.3668	   21.8670	    7.5889	  -14.4951	
 -110.0000	5.287E-12	2.785E+9	   20.3642	   21.8674	    7.5601	  -14.5409	
 -115.0000	5.269E-12	3.078E+9	   20.3616	   21.8750	    7.5275	  -14.5876	
 -120.0000	5.251E-12	2.885E+9	   20.3616	   21.8705	    7.4883	  -14.6542	
 -125.0000	5.234E-12	2.987E+9	   20.3591	   21.8685	    7.4532	  -14.7127	
 -130.0000	5.210E-12	2.815E+9	   20.3565	   21.8697	    7.4143	  -14.7751	
 -135.0000	5.197E-12	3.045E+9	   20.3565	   21.8731	    7.4026	  -14.7918	
 -140.0000	5.179E-12	3.015E+9	   20.3565	   21.8701	    7.3773	  -14.8354	
 -145.0000	5.166E-12	2.689E+9	   20.3514	   21.8726	    7.3637	  -14.8558	
 -150.0000	5.157E-12	3.087E+9	   20.3514	   21.8742	    7.3523	  -14.8734	
 -155.0000	5.137E-12	2.840E+9	   20.3488	   21.8742	    7.3308	  -14.9088	
 -160.0000	5.130E-12	2.562E+9	   20.3462	   21.8729	    7.3213	  -14.9254	
 -165.0000	5.112E-12	2.866E+9	   20.3436	   21.8688	    7.3049	  -14.9557	
 -170.0000	5.100E-12	2.963E+9	   20.3411	   21.8697	    7.2894	  -14.9806	
 -175.0000	5.094E-12	3.209E+9	   20.3385	   21.8697	    7.2682	  -15.0158	
 -180.0000	5.082E-12	2.973E+9	   20.3385	   21.8664	    7.2584	  -15.0346	
 -185.0000	5.074E-12	2.937E+9	   20.3359	   21.8650	    7.2426	  -15.0619	
 -190.0000	5.062E-12	2.744E+9	   20.3333	   21.8637	    7.2407	  -15.0660	
 -195.0000	5.057E-12	2.945E+9	   20.3308	   21.8623	    7.2334	  -15.0792	
 -200.0000	5.045E-12	3.011E+9	   20.3282	   21.8630	    7.2277	  -15.0882	
 -205.0000	5.031E-12	3.059E+9	   20.3230	   21.8617	    7.2078	  -15.1224	
 -210.0000	5.028E-12	2.952E+9	   20.3230	   21.8616	    7.2043	  -15.1283	
 -215.0000	5.019E-12	2.625E+9	   20.3179	   21.8578	    7.2034	  -15.1328	
 -220.0000	5.010E-12	3.248E+9	   20.3153	   21.8613	    7.1980	  -15.1392	
 -225.0000	5.004E-12	3.022E+9	   20.3127	   21.8605	    7.1996	  -15.1371	
 -230.0000	4.996E-12	3.240E+9	   20.3102	   21.8605	    7.1913	  -15.1509	
 -235.0000	4.988E-12	3.187E+9	   20.3102	   21.8605	    7.1913	  -15.1509	
 -240.0000	4.980E-12	3.216E+9	   20.3076	   21.8609	    7.1920	  -15.1496	
 -245.0000	4.973E-12	3.165E+9	   20.3050	   21.8594	    7.1948	  -15.1459	
 -250.0000	4.973E-12	2.955E+9	   20.3024	   21.8532	    7.1929	  -15.1536	
 -255.0000	4.958E-12	2.841E+9	   20.2999	   21.8532	    7.1815	  -15.1727	
 -260.0000	4.951E-12	3.068E+9	   20.2973	   21.8536	    7.1781	  -15.1783	
 -265.0000	4.947E-12	3.026E+9	   20.2947	   21.8511	    7.1626	  -15.2062	
 -270.0000	4.942E-12	2.770E+9	   20.2921	   21.8485	    7.1600	  -15.2124	
 -275.0000	4.934E-12	2.890E+9	   20.2921	   21.8469	    7.1575	  -15.2178	
 -280.0000	4.929E-12	2.759E+9	   20.2870	   21.8475	    7.1578	  -15.2168	
 -285.0000	4.923E-12	2.846E+9	   20.2870	   21.8475	    7.1578	  -15.2168	
 -290.0000	4.921E-12	3.085E+9	   20.2844	   21.8516	    7.1467	  -15.2325	
 -295.0000	4.915E-12	2.692E+9	   20.2793	   21.8465	    7.1344	  -15.2571	
 -300.0000	4.909E-12	2.901E+9	   20.2767	   21.8513	    7.1404	  -15.2434	
 -305.0000	4.904E-12	2.713E+9	   20.2716	   21.8499	    7.1363	  -15.2513	
 -310.0000	4.901E-12	2.596E+9	   20.2716	   21.8452	    7.1338	  -15.2591	
 -315.0000	4.895E-12	2.929E+9	   20.2690	   21.8511	    7.1271	  -15.2659	
 -320.0000	4.895E-12	2.831E+9	   20.2664	   21.8465	    7.1271	  -15.2693	
 -325.0000	4.890E-12	3.331E+9	   20.2664	   21.8490	    7.1309	  -15.2611	
 -330.0000	4.888E-12	3.049E+9	   20.2613	   21.8480	    7.1243	  -15.2730	
 -335.0000	4.892E-12	3.037E+9	   20.2613	   21.8443	    7.1157	  -15.2902	
 -340.0000	4.889E-12	2.802E+9	   20.2587	   21.8495	    7.1192	  -15.2805	
 -345.0000	4.886E-12	3.114E+9	   20.2561	   21.8492	    7.1075	  -15.3005	
 -350.0000	4.884E-12	3.021E+9	   20.2561	   21.8475	    7.1167	  -15.2863	
 -355.0000	4.885E-12	3.158E+9	   20.2510	   21.8482	    7.1176	  -15.2842	
 -360.0000	4.881E-12	2.895E+9	   20.2484	   21.8454	    7.1170	  -15.2873	
 -365.0000	4.880E-12	2.727E+9	   20.2484	   21.8482	    7.1145	  -15.2895	
 -370.0000	4.878E-12	2.915E+9	   20.2484	   21.8496	    7.1129	  -15.2912	
 -375.0000	4.877E-12	2.688E+9	   20.2458	   21.8498	    7.0974	  -15.3173	
 -380.0000	4.873E-12	3.077E+9	   20.2432	   21.8470	    7.1003	  -15.3145	
 -385.0000	4.874E-12	2.995E+9	   20.2407	   21.8494	    7.0952	  -15.3214	
 -390.0000	4.880E-12	2.872E+9	   20.2381	   21.8458	    7.0961	  -15.3224	
