GCD Test
Bias: 5000.000000
IV_34340_007_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 4/23/2021 2:52:46 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.4000E-11	2.4000E-11	-9.010163E-12	-9.010163E-12	   23.0192	   23.3225	   16.2764	   -3.6647	
  -10.0000	4.3600E-10	4.3600E-10	-1.017600E-11	-1.017600E-11	   23.0192	   23.3224	   16.2818	   -3.6604	
  -15.0000	2.3600E-10	2.3600E-10	-9.499681E-12	-9.499681E-12	   23.0192	   23.3206	   16.2732	   -3.6688	
  -20.0000	2.0200E-10	2.0200E-10	-9.967808E-12	-9.967808E-12	   23.0218	   23.3206	   16.2631	   -3.6688	
  -25.0000	3.0900E-10	3.0900E-10	-1.049155E-11	-1.049155E-11	   23.0218	   23.3206	   16.2631	   -3.6771	
  -30.0000	-3.1800E-10	-3.1800E-10	-1.054492E-11	-1.054492E-11	   23.0192	   23.3218	   16.2748	   -3.6666	
  -35.0000	1.3700E-10	1.3700E-10	-1.139459E-11	-1.139459E-11	   23.0192	   23.3218	   16.2780	   -3.6666	
  -40.0000	8.0000E-11	8.0000E-11	-1.117255E-11	-1.117255E-11	   23.0192	   23.3222	   16.2780	   -3.6636	
  -45.0000	-1.2300E-10	-1.2300E-10	-1.178755E-11	-1.178755E-11	   23.0218	   23.3214	   16.2777	   -3.6646	
  -50.0000	1.1000E-11	1.1000E-11	-1.160889E-11	-1.160889E-11	   23.0192	   23.3188	   16.2767	   -3.6674	
  -55.0000	-3.9700E-10	-3.9700E-10	-1.175373E-11	-1.175373E-11	   23.0192	   23.3201	   16.2793	   -3.6643	
  -60.0000	-4.0300E-10	-4.0300E-10	-1.230803E-11	-1.230803E-11	   23.0192	   23.3201	   16.2739	   -3.6643	
  -65.0000	-3.2200E-10	-3.2200E-10	-1.249565E-11	-1.249565E-11	   23.0192	   23.3189	   16.2739	   -3.6697	
  -70.0000	-4.4500E-10	-4.4500E-10	-1.351583E-11	-1.351583E-11	   23.0192	   23.3188	   16.2853	   -3.6605	
  -75.0000	-3.4400E-10	-3.4400E-10	-1.309027E-11	-1.309027E-11	   23.0166	   23.3179	   16.2818	   -3.6640	
