GCD Test
Bias: 5000.000000
IV_34340_040_PSS_HM_XX_DIODEHALFPSTOP_GRConnected
Date/Time: 7/6/2021 12:29:45 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	6.3000E-11	6.3000E-11	-8.050320E-12	-8.050320E-12	   20.2896	   20.6015	    8.1540	  -14.5651	
  -10.0000	-4.2000E-11	-4.2000E-11	-8.075785E-12	-8.075785E-12	   20.2921	   20.6110	    8.0411	  -14.7270	
  -15.0000	5.0000E-11	5.0000E-11	-8.317789E-12	-8.317789E-12	   20.2510	   20.6091	    7.9323	  -14.8932	
  -20.0000	-1.0300E-10	-1.0300E-10	-9.013055E-12	-9.013055E-12	   20.1763	   20.6218	    7.8036	  -15.0815	
  -25.0000	4.9000E-11	4.9000E-11	-8.589135E-12	-8.589135E-12	   20.0837	   20.6073	    7.7207	  -15.2210	
  -30.0000	3.2000E-11	3.2000E-11	-8.804658E-12	-8.804658E-12	   19.9936	   20.6070	    7.6420	  -15.3448	
  -35.0000	-1.2700E-10	-1.2700E-10	-9.708731E-12	-9.708731E-12	   19.8958	   20.6074	    7.5851	  -15.4345	
  -40.0000	-9.7000E-11	-9.7000E-11	-9.203122E-12	-9.203122E-12	   19.8237	   20.5962	    7.5262	  -15.5365	
  -45.0000	-9.5000E-11	-9.5000E-11	-9.706287E-12	-9.706287E-12	   19.7671	   20.5835	    7.4845	  -15.6127	
  -50.0000	-2.1800E-10	-2.1800E-10	-1.054355E-11	-1.054355E-11	   19.7542	   20.5961	    7.4254	  -15.6986	
  -55.0000	-2.2300E-10	-2.2300E-10	-1.103693E-11	-1.103693E-11	   19.7722	   20.5847	    7.3865	  -15.7701	
  -60.0000	-1.8500E-10	-1.8500E-10	-1.079349E-11	-1.079349E-11	   19.8314	   20.5874	    7.3359	  -15.8506	
  -65.0000	-1.2200E-10	-1.2200E-10	-1.188396E-11	-1.188396E-11	   20.0142	   20.5874	    7.2849	  -15.8506	
  -70.0000	-1.5400E-10	-1.5400E-10	-1.225878E-11	-1.225878E-11	   20.1326	   20.5888	    7.2849	  -15.9330	
  -75.0000	-3.4300E-10	-3.4300E-10	-1.175765E-11	-1.175765E-11	   20.2278	   20.6073	    7.2378	  -15.9971	
  -80.0000	-2.3200E-10	-2.3200E-10	-1.241788E-11	-1.241788E-11	   20.3050	   20.6100	    7.2113	  -16.0391	
  -85.0000	-2.0900E-10	-2.0900E-10	-1.202472E-11	-1.202472E-11	   20.3308	   20.6083	    7.1755	  -16.0998	
  -90.0000	-3.2000E-10	-3.2000E-10	-1.213921E-11	-1.213921E-11	   20.3076	   20.5969	    7.1354	  -16.1198	
  -95.0000	-3.6500E-10	-3.6500E-10	-1.231848E-11	-1.231848E-11	   20.2561	   20.5969	    7.1199	  -16.1753	
