GCD Test
Bias: 5000.000000
CV_34341_024_PSS_HM_XX_DIODEQUARTER_Biased_Box
Date/Time: 7/22/2021 5:39:44 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
   -5.0000	1.647E-11	8.512E+8	   19.8134	   20.3852	   63.4390	   13.2159	
  -10.0000	1.295E-11	1.015E+9	   19.7696	   20.3753	   63.4551	   13.2103	
  -15.0000	1.131E-11	1.172E+9	   19.7619	   20.3842	   63.4589	   13.2197	
  -20.0000	1.032E-11	1.311E+9	   19.8108	   20.3842	   63.4573	   13.2193	
  -25.0000	9.614E-12	1.233E+9	   19.8674	   20.3657	   63.4643	   13.2035	
  -30.0000	9.093E-12	1.245E+9	   19.9550	   20.3835	   63.4813	   13.2245	
  -35.0000	8.656E-12	1.422E+9	   20.0399	   20.3757	   63.4924	   13.2198	
  -40.0000	8.287E-12	1.480E+9	   20.1300	   20.3683	   63.5152	   13.2183	
  -45.0000	7.986E-12	1.444E+9	   20.2046	   20.3683	   63.5161	   13.2185	
  -50.0000	7.729E-12	1.480E+9	   20.2381	   20.3721	   63.4794	   13.2133	
  -55.0000	7.505E-12	1.607E+9	   20.2407	   20.3718	   63.4279	   13.2005	
  -60.0000	7.309E-12	1.591E+9	   20.2098	   20.3802	   63.4491	   13.2136	
  -65.0000	7.138E-12	1.562E+9	   20.1557	   20.3635	   63.3972	   13.1853	
  -70.0000	6.969E-12	1.509E+9	   20.0734	   20.3711	   63.4099	   13.1955	
  -75.0000	6.826E-12	1.562E+9	   19.9858	   20.3740	   63.4646	   13.2114	
  -80.0000	6.694E-12	1.545E+9	   19.8906	   20.3794	   63.4380	   13.2101	
  -85.0000	6.449E-12	1.555E+9	   19.8108	   20.3868	   63.4317	   13.2157	
