GCD Test
Bias: 5000.000000
CV_36697_036_PSS_HM_XX_DIODE
Date/Time: 9/24/2021 4:02:32 PM
Sensor Name: 36697_036_DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	9.816E-11	6.110E+8	   20.0167	   21.3937	    9.2274	  -12.4554	
  -10.0000	7.124E-11	1.402E+9	   20.0116	   21.3939	    9.1774	  -12.5224	
  -15.0000	5.796E-11	1.196E+9	   20.0090	   21.3895	    9.1101	  -12.6166	
  -20.0000	4.928E-11	1.472E+9	   20.0039	   21.3966	    9.0658	  -12.6714	
  -25.0000	4.122E-11	1.502E+9	   20.0013	   21.3974	    9.0266	  -12.7242	
  -30.0000	3.588E-11	2.318E+9	   19.9961	   21.3974	    8.9684	  -12.7242	
  -35.0000	3.303E-11	2.664E+9	   19.9961	   21.3921	    8.9684	  -12.8079	
  -40.0000	3.020E-11	1.435E+8	   19.9936	   21.3961	    8.8915	  -12.9108	
  -45.0000	2.506E-11	2.428E+9	   19.9936	   21.3961	    8.8564	  -12.9108	
  -50.0000	2.385E-11	2.336E+9	   19.9936	   21.3918	    8.8564	  -12.9627	
  -55.0000	2.282E-11	2.741E+9	   19.9961	   21.3911	    8.7932	  -13.0514	
  -60.0000	2.191E-11	2.920E+9	   20.0013	   21.3900	    8.7445	  -13.1205	
  -65.0000	2.112E-11	3.179E+9	   20.0039	   21.3899	    8.7261	  -13.1464	
  -70.0000	2.040E-11	3.954E+9	   20.0090	   21.3949	    8.7046	  -13.1729	
  -75.0000	1.976E-11	4.745E+9	   20.0116	   21.3934	    8.6822	  -13.2058	
  -80.0000	1.918E-11	4.366E+9	   20.0142	   21.3951	    8.6682	  -13.2242	
  -85.0000	1.866E-11	4.604E+9	   20.0167	   21.3893	    8.6395	  -13.2694	
  -90.0000	1.818E-11	5.854E+9	   20.0142	   21.3903	    8.6237	  -13.2911	
  -95.0000	1.773E-11	5.506E+9	   20.0090	   21.3907	    8.5904	  -13.3380	
 -100.0000	1.732E-11	5.876E+9	   20.0039	   21.3968	    8.5674	  -13.3665	
 -105.0000	1.694E-11	5.936E+9	   20.0013	   21.3949	    8.5500	  -13.3928	
 -110.0000	1.659E-11	6.266E+9	   19.9961	   21.3955	    8.5174	  -13.4391	
 -115.0000	1.624E-11	9.607E+9	   19.9936	   21.3932	    8.4940	  -13.4745	
 -120.0000	1.594E-11	1.002E+10	   19.9936	   21.3932	    8.4940	  -13.4745	
 -125.0000	1.564E-11	8.399E+9	   19.9936	   21.4003	    8.4469	  -13.5373	
 -130.0000	1.537E-11	1.019E+10	   19.9936	   21.3983	    8.4314	  -13.5613	
 -135.0000	1.511E-11	9.077E+9	   19.9987	   21.3968	    8.4156	  -13.5854	
 -140.0000	1.487E-11	7.148E+9	   20.0013	   21.3948	    8.3912	  -13.6224	
 -145.0000	1.464E-11	2.654E+10	   20.0064	   21.3996	    8.3849	  -13.6280	
 -150.0000	1.441E-11	1.321E+10	   20.0090	   21.3960	    8.3580	  -13.6699	
 -155.0000	1.421E-11	1.365E+10	   20.0142	   21.3938	    8.3536	  -13.6781	
 -160.0000	1.401E-11	1.166E+10	   20.0142	   21.4032	    8.3267	  -13.7104	
 -165.0000	1.382E-11	1.675E+10	   20.0142	   21.3971	    8.3305	  -13.7094	
 -170.0000	1.363E-11	2.624E+11	   20.0142	   21.3971	    8.3305	  -13.7094	
 -175.0000	1.346E-11	1.524E+10	   20.0064	   21.3979	    8.2840	  -13.7772	
 -180.0000	1.330E-11	5.294E+10	   20.0013	   21.3998	    8.2698	  -13.7968	
 -185.0000	1.313E-11	1.671E+10	   19.9961	   21.4002	    8.2562	  -13.8166	
 -190.0000	1.298E-11	1.837E+10	   19.9936	   21.3989	    8.2404	  -13.8409	
 -195.0000	1.283E-11	2.702E+10	   19.9936	   21.3989	    8.2404	  -13.8409	
 -200.0000	1.269E-11	2.929E+11	   19.9884	   21.3996	    8.2381	  -13.8437	
 -205.0000	1.254E-11	1.202E+11	   19.9884	   21.3971	    8.2008	  -13.9009	
 -210.0000	1.241E-11	1.731E+10	   19.9936	   21.3998	    8.1856	  -13.9215	
 -215.0000	1.229E-11	4.943E+10	   19.9987	   21.3956	    8.1822	  -13.9299	
 -220.0000	1.216E-11	-8.788E+11	   20.0064	   21.3956	    8.1768	  -13.9379	
 -225.0000	1.204E-11	4.682E+10	   20.0090	   21.4021	    8.1739	  -13.9373	
 -230.0000	1.192E-11	1.005E+11	   20.0142	   21.3995	    8.1815	  -13.9279	
 -235.0000	1.181E-11	-9.707E+10	   20.0142	   21.3995	    8.1815	  -13.9279	
 -240.0000	1.170E-11	-2.464E+10	   20.0142	   21.3995	    8.1581	  -13.9628	
 -245.0000	1.159E-11	2.807E+10	   20.0116	   21.3988	    8.1531	  -13.9710	
 -250.0000	1.148E-11	4.467E+10	   20.0064	   21.3948	    8.1132	  -14.0337	
 -255.0000	1.137E-11	-9.037E+11	   20.0013	   21.3948	    8.1202	  -14.0232	
 -260.0000	1.127E-11	8.214E+11	   19.9961	   21.3973	    8.1183	  -14.0241	
 -265.0000	1.117E-11	2.945E+10	   19.9910	   21.3990	    8.1170	  -14.0248	
 -270.0000	1.107E-11	-2.412E+10	   19.9884	   21.3952	    8.1357	  -13.9996	
 -275.0000	1.098E-11	-1.370E+11	   19.9910	   21.4007	    8.1281	  -14.0070	
 -280.0000	1.089E-11	2.307E+11	   19.9936	   21.3968	    8.1069	  -14.0416	
 -285.0000	1.079E-11	-4.300E+10	   19.9936	   21.3968	    8.1069	  -14.0416	
 -290.0000	1.070E-11	-2.526E+10	   19.9987	   21.4006	    8.0977	  -14.0526	
 -295.0000	1.063E-11	-9.705E+10	   20.0039	   21.3977	    8.0803	  -14.0809	
 -300.0000	1.056E-11	-4.970E+10	   20.0090	   21.3959	    8.0686	  -14.1000	
 -305.0000	1.052E-11	5.847E+10	   20.0142	   21.3905	    8.0572	  -14.1212	
 -310.0000	1.048E-11	-2.299E+11	   20.0142	   21.3974	    8.0497	  -14.1275	
 -315.0000	1.046E-11	1.774E+11	   20.0116	   21.3993	    8.0405	  -14.1399	
 -320.0000	1.044E-11	-1.510E+10	   20.0116	   21.3993	    8.0405	  -14.1399	
 -325.0000	1.042E-11	-3.668E+11	   20.0064	   21.3963	    8.0291	  -14.1594	
 -330.0000	1.040E-11	-3.128E+10	   19.9987	   21.3994	    8.0199	  -14.1711	
 -335.0000	1.040E-11	-3.523E+10	   19.9961	   21.3972	    8.0047	  -14.1958	
 -340.0000	1.039E-11	-1.933E+10	   19.9910	   21.3995	    7.9975	  -14.2051	
 -345.0000	1.038E-11	-3.247E+10	   19.9884	   21.4001	    7.9940	  -14.2099	
 -350.0000	1.037E-11	-9.822E+10	   19.9910	   21.3989	    7.9921	  -14.2137	
 -355.0000	1.036E-11	-1.663E+11	   19.9936	   21.3989	    7.9820	  -14.2291	
 -360.0000	1.036E-11	1.061E+11	   19.9987	   21.3993	    7.9924	  -14.2130	
 -365.0000	1.036E-11	-5.514E+10	   20.0064	   21.3986	    7.9848	  -14.2250	
 -370.0000	1.035E-11	7.046E+10	   20.0116	   21.3974	    7.9899	  -14.2182	
 -375.0000	1.034E-11	1.649E+11	   20.0116	   21.3986	    7.9855	  -14.2241	
 -380.0000	1.034E-11	-2.530E+10	   20.0142	   21.4023	    7.9690	  -14.2464	
 -385.0000	1.033E-11	-4.399E+10	   20.0142	   21.4023	    7.9538	  -14.2696	
 -390.0000	1.033E-11	-1.633E+10	   20.0142	   21.4023	    7.9538	  -14.2696	
 -395.0000	1.032E-11	-5.350E+10	   20.0090	   21.4018	    7.9614	  -14.2583	
 -400.0000	1.032E-11	-4.204E+10	   20.0013	   21.4036	    7.9516	  -14.2720	
 -410.0000	1.031E-11	-3.435E+10	   19.9987	   21.3984	    7.9447	  -14.2865	
 -420.0000	1.031E-11	-5.265E+10	   19.9961	   21.4017	    7.9503	  -14.2754	
 -430.0000	1.031E-11	-6.811E+10	   19.9936	   21.4003	    7.9485	  -14.2792	
 -440.0000	1.030E-11	-2.056E+10	   19.9936	   21.4003	    7.9485	  -14.2792	
 -450.0000	1.029E-11	-4.419E+10	   19.9936	   21.4024	    7.9386	  -14.2927	
 -460.0000	1.029E-11	1.033E+12	   19.9936	   21.4020	    7.9488	  -14.2775	
 -470.0000	1.029E-11	-2.757E+10	   19.9936	   21.4020	    7.9488	  -14.2775	
 -480.0000	1.028E-11	-3.528E+10	   20.0013	   21.4035	    7.9415	  -14.2876	
 -490.0000	1.028E-11	-2.164E+10	   20.0064	   21.4005	    7.9399	  -14.2922	
 -500.0000	1.028E-11	-1.661E+10	   20.0116	   21.4044	    7.9383	  -14.2917	
 -510.0000	1.027E-11	-1.765E+10	   20.0116	   21.3990	    7.9405	  -14.2923	
 -520.0000	1.027E-11	-3.797E+10	   20.0116	   21.3990	    7.9377	  -14.2967	
 -530.0000	1.027E-11	-3.473E+10	   20.0116	   21.4083	    7.9510	  -14.2694	
 -540.0000	1.026E-11	-2.684E+10	   20.0064	   21.4036	    7.9428	  -14.2855	
 -550.0000	1.026E-11	-1.527E+10	   20.0064	   21.4039	    7.9570	  -14.2635	
 -560.0000	1.026E-11	-2.506E+10	   20.0013	   21.4016	    7.9564	  -14.2662	
 -570.0000	1.026E-11	-1.558E+10	   19.9961	   21.4008	    7.9570	  -14.2658	
 -580.0000	1.026E-11	-2.154E+10	   19.9961	   21.4008	    7.9570	  -14.2658	
 -590.0000	1.026E-11	-2.103E+10	   19.9884	   21.4040	    7.9390	  -14.2910	
 -600.0000	1.026E-11	-1.800E+10	   19.9858	   21.4014	    7.9244	  -14.3152	
