GCD Test
Bias: 5000.000000
IV_37398_031_PSS_HM_XX_DIODE
Date/Time: 11/8/2021 4:28:22 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-6.2000E-11	-6.2000E-11	-1.629226E-10	-1.629226E-10	   20.0914	   21.8167	    7.1452	  -15.0480	
  -10.0000	-2.6100E-10	-2.6100E-10	-1.671882E-10	-1.671882E-10	   20.0914	   21.8068	    7.1452	  -15.2681	
  -15.0000	-2.9600E-10	-2.9600E-10	-1.712749E-10	-1.712749E-10	   20.0914	   21.8148	    7.0297	  -15.4583	
  -20.0000	-3.3100E-10	-3.3100E-10	-1.762448E-10	-1.762448E-10	   20.0939	   21.8148	    6.9813	  -15.4583	
  -25.0000	-1.8700E-10	-1.8700E-10	-1.825615E-10	-1.825615E-10	   20.0939	   21.8090	    6.9813	  -15.5457	
  -30.0000	-2.1900E-10	-2.1900E-10	-1.900222E-10	-1.900222E-10	   20.0939	   21.8060	    6.9339	  -15.6298	
  -35.0000	-1.9700E-10	-1.9700E-10	-1.936667E-10	-1.936667E-10	   20.0914	   21.8089	    6.8985	  -15.6892	
  -40.0000	-4.0000E-10	-4.0000E-10	-2.121202E-10	-2.121202E-10	   20.0914	   21.8089	    6.8510	  -15.6892	
  -45.0000	-3.1400E-10	-3.1400E-10	-2.229809E-10	-2.229809E-10	   20.0914	   21.8119	    6.8510	  -15.7698	
  -50.0000	-5.5600E-10	-5.5600E-10	-2.286086E-10	-2.286086E-10	   20.0939	   21.8119	    6.8027	  -15.7698	
  -55.0000	-2.6400E-10	-2.6400E-10	-2.370263E-10	-2.370263E-10	   20.0939	   21.8121	    6.8027	  -15.8547	
  -60.0000	-5.5500E-10	-5.5500E-10	-2.409873E-10	-2.409873E-10	   20.0939	   21.8121	    6.7631	  -15.8547	
  -65.0000	-4.7400E-10	-4.7400E-10	-2.438454E-10	-2.438454E-10	   20.0939	   21.8056	    6.7631	  -15.9293	
  -70.0000	-6.2600E-10	-6.2600E-10	-2.464489E-10	-2.464489E-10	   20.0914	   21.8102	    6.7423	  -15.9630	
  -75.0000	-3.2800E-10	-3.2800E-10	-2.473741E-10	-2.473741E-10	   20.0939	   21.8060	    6.7249	  -15.9969	
  -80.0000	-4.0800E-10	-4.0800E-10	-2.499802E-10	-2.499802E-10	   20.0939	   21.8060	    6.7249	  -15.9969	
  -85.0000	-4.2000E-10	-4.2000E-10	-2.513033E-10	-2.513033E-10	   20.0939	   21.8128	    6.7113	  -16.0163	
  -90.0000	-6.4800E-10	-6.4800E-10	-2.523567E-10	-2.523567E-10	   20.0939	   21.8114	    6.7097	  -16.0201	
  -95.0000	-4.9000E-10	-4.9000E-10	-2.536179E-10	-2.536179E-10	   20.0939	   21.8114	    6.6894	  -16.0201	
 -100.0000	-6.9600E-10	-6.9600E-10	-2.553090E-10	-2.553090E-10	   20.0939	   21.8090	    6.6894	  -16.0580	
 -105.0000	-6.3500E-10	-6.3500E-10	-2.569527E-10	-2.569527E-10	   20.0939	   21.8090	    6.6853	  -16.0580	
 -110.0000	-6.0500E-10	-6.0500E-10	-2.573749E-10	-2.573749E-10	   20.0939	   21.8116	    6.6853	  -16.0634	
 -115.0000	-3.6700E-10	-3.6700E-10	-2.577867E-10	-2.577867E-10	   20.0939	   21.8121	    6.6727	  -16.0857	
 -120.0000	-7.1700E-10	-7.1700E-10	-2.586809E-10	-2.586809E-10	   20.0939	   21.8121	    6.6705	  -16.0857	
 -125.0000	-3.7900E-10	-3.7900E-10	-2.605569E-10	-2.605569E-10	   20.0939	   21.8121	    6.6705	  -16.0897	
 -130.0000	-6.9500E-10	-6.9500E-10	-2.618862E-10	-2.618862E-10	   20.0939	   21.8086	    6.6676	  -16.0974	
 -135.0000	-7.4500E-10	-7.4500E-10	-2.625631E-10	-2.625631E-10	   20.0965	   21.8094	    6.6692	  -16.0939	
 -140.0000	-6.6900E-10	-6.6900E-10	-2.631779E-10	-2.631779E-10	   20.0939	   21.8094	    6.6660	  -16.0939	
 -145.0000	-6.7700E-10	-6.7700E-10	-2.645537E-10	-2.645537E-10	   20.0939	   21.8064	    6.6660	  -16.1018	
 -150.0000	-7.7000E-10	-7.7000E-10	-2.653756E-10	-2.653756E-10	   20.0939	   21.8020	    6.6537	  -16.1272	
 -155.0000	-6.9500E-10	-6.9500E-10	-2.668610E-10	-2.668610E-10	   20.0939	   21.8020	    6.6565	  -16.1272	
 -160.0000	-6.9000E-10	-6.9000E-10	-2.685563E-10	-2.685563E-10	   20.0939	   21.8070	    6.6565	  -16.1184	
 -165.0000	-6.9900E-10	-6.9900E-10	-2.696517E-10	-2.696517E-10	   20.0939	   21.8025	    6.6515	  -16.1308	
 -170.0000	-6.3200E-10	-6.3200E-10	-2.711552E-10	-2.711552E-10	   20.0939	   21.8046	    6.6569	  -16.1196	
 -175.0000	-4.6500E-10	-4.6500E-10	-2.726107E-10	-2.726107E-10	   20.0939	   21.8046	    6.6534	  -16.1196	
 -180.0000	-7.2000E-10	-7.2000E-10	-2.739936E-10	-2.739936E-10	   20.0939	   21.8008	    6.6534	  -16.1287	
 -185.0000	-5.4800E-10	-5.4800E-10	-2.761227E-10	-2.761227E-10	   20.0939	   21.8062	    6.6521	  -16.1270	
 -190.0000	-8.2900E-10	-8.2900E-10	-2.785553E-10	-2.785553E-10	   20.0939	   21.8062	    6.6521	  -16.1270	
 -195.0000	-5.0300E-10	-5.0300E-10	-2.808921E-10	-2.808921E-10	   20.0939	   21.8065	    6.6458	  -16.1381	
