GCD Test
Bias: 5000.000000
CV_37398_012_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 11/8/2021 3:32:34 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.635E-11	1.240E+9	   20.0322	   21.5907	    6.6474	  -16.2929	
  -10.0000	1.159E-11	3.181E+9	   20.0347	   21.5899	    6.6588	  -16.2730	
  -15.0000	9.388E-12	3.414E+9	   20.0347	   21.5914	    6.6572	  -16.2747	
  -20.0000	8.079E-12	4.136E+9	   20.0322	   21.5914	    6.6477	  -16.2918	
  -25.0000	7.249E-12	4.090E+9	   20.0322	   21.5914	    6.6477	  -16.2918	
  -30.0000	6.654E-12	3.223E+9	   20.0347	   21.5868	    6.6486	  -16.2934	
  -35.0000	6.176E-12	3.388E+9	   20.0322	   21.5868	    6.6502	  -16.2906	
  -40.0000	5.792E-12	3.891E+9	   20.0322	   21.5901	    6.6534	  -16.2825	
  -45.0000	5.472E-12	3.609E+9	   20.0322	   21.5813	    6.6638	  -16.2702	
  -50.0000	5.194E-12	3.955E+9	   20.0322	   21.5870	    6.6588	  -16.2751	
  -55.0000	4.961E-12	3.546E+9	   20.0347	   21.5884	    6.6597	  -16.2724	
  -60.0000	4.756E-12	3.664E+9	   20.0322	   21.5898	    6.6607	  -16.2697	
  -65.0000	4.567E-12	3.711E+9	   20.0322	   21.5894	    6.6528	  -16.2842	
  -70.0000	4.414E-12	3.731E+9	   20.0322	   21.5861	    6.6562	  -16.2803	
  -75.0000	4.267E-12	3.840E+9	   20.0322	   21.5868	    6.6528	  -16.2860	
  -80.0000	4.128E-12	3.619E+9	   20.0322	   21.5895	    6.6490	  -16.2909	
  -85.0000	3.998E-12	3.431E+9	   20.0322	   21.5849	    6.6553	  -16.2829	
  -90.0000	3.880E-12	3.271E+9	   20.0322	   21.5842	    6.6509	  -16.2913	
  -95.0000	3.760E-12	3.744E+9	   20.0322	   21.5862	    6.6537	  -16.2848	
 -100.0000	3.660E-12	3.777E+9	   20.0322	   21.5872	    6.6483	  -16.2937	
 -105.0000	3.573E-12	4.220E+9	   20.0322	   21.5857	    6.6635	  -16.2675	
 -110.0000	3.488E-12	3.781E+9	   20.0322	   21.5871	    6.6445	  -16.3006	
 -115.0000	3.403E-12	3.617E+9	   20.0347	   21.5879	    6.6477	  -16.2943	
 -120.0000	3.337E-12	3.637E+9	   20.0322	   21.5864	    6.6477	  -16.2954	
 -125.0000	3.264E-12	3.739E+9	   20.0322	   21.5864	    6.6528	  -16.2863	
 -130.0000	3.201E-12	4.024E+9	   20.0322	   21.5879	    6.6490	  -16.2921	
 -135.0000	3.148E-12	4.348E+9	   20.0322	   21.5846	    6.6452	  -16.3013	
 -140.0000	3.084E-12	3.953E+9	   20.0322	   21.5842	    6.6429	  -16.3056	
 -145.0000	3.032E-12	4.197E+9	   20.0322	   21.5925	    6.6546	  -16.2784	
 -150.0000	2.985E-12	4.227E+9	   20.0322	   21.5925	    6.6448	  -16.2960	
 -155.0000	2.935E-12	4.609E+9	   20.0322	   21.5870	    6.6407	  -16.3075	
 -160.0000	2.885E-12	4.360E+9	   20.0322	   21.5870	    6.6303	  -16.3262	
 -165.0000	2.846E-12	4.552E+9	   20.0322	   21.5830	    6.6316	  -16.3269	
 -170.0000	2.798E-12	4.024E+9	   20.0322	   21.5873	    6.6259	  -16.3340	
 -175.0000	2.757E-12	4.209E+9	   20.0322	   21.5873	    6.6259	  -16.3340	
 -180.0000	2.722E-12	4.365E+9	   20.0322	   21.5837	    6.6287	  -16.3315	
 -185.0000	2.681E-12	3.919E+9	   20.0296	   21.5868	    6.6275	  -16.3316	
 -190.0000	2.645E-12	4.978E+9	   20.0322	   21.5867	    6.6278	  -16.3311	
 -195.0000	2.608E-12	4.259E+9	   20.0296	   21.5810	    6.6290	  -16.3330	
 -200.0000	2.576E-12	4.364E+9	   20.0322	   21.5819	    6.6275	  -16.3351	
 -205.0000	2.541E-12	4.616E+9	   20.0322	   21.5819	    6.6265	  -16.3368	
 -210.0000	2.509E-12	4.776E+9	   20.0296	   21.5818	    6.6284	  -16.3334	
 -215.0000	2.484E-12	5.520E+9	   20.0322	   21.5818	    6.6154	  -16.3568	
 -220.0000	2.442E-12	4.226E+9	   20.0296	   21.5818	    6.6256	  -16.3386	
 -225.0000	2.413E-12	4.312E+9	   20.0296	   21.5818	    6.6256	  -16.3386	
 -230.0000	2.385E-12	4.793E+9	   20.0296	   21.5815	    6.6195	  -16.3497	
 -235.0000	2.354E-12	4.328E+9	   20.0322	   21.5815	    6.6189	  -16.3508	
 -240.0000	2.333E-12	4.753E+9	   20.0296	   21.5846	    6.6088	  -16.3668	
 -245.0000	2.301E-12	4.843E+9	   20.0296	   21.5805	    6.6192	  -16.3510	
 -250.0000	2.285E-12	4.508E+9	   20.0296	   21.5763	    6.6167	  -16.3586	
 -255.0000	2.264E-12	4.346E+9	   20.0296	   21.5763	    6.6189	  -16.3546	
 -260.0000	2.249E-12	3.907E+9	   20.0296	   21.5818	    6.6164	  -16.3552	
 -265.0000	2.241E-12	3.926E+9	   20.0296	   21.5866	    6.6059	  -16.3705	
 -270.0000	2.215E-12	3.200E+9	   20.0296	   21.5858	    6.6078	  -16.3676	
 -275.0000	2.191E-12	2.979E+9	   20.0296	   21.5857	    6.6028	  -16.3769	
 -280.0000	2.181E-12	3.956E+9	   20.0296	   21.5792	    6.6120	  -16.3650	
 -285.0000	2.164E-12	4.573E+9	   20.0296	   21.5792	    6.6120	  -16.3650	
 -290.0000	2.164E-12	6.124E+9	   20.0296	   21.5775	    6.6006	  -16.3868	
 -295.0000	2.157E-12	6.565E+9	   20.0296	   21.5790	    6.6072	  -16.3737	
 -300.0000	2.150E-12	5.312E+9	   20.0296	   21.5802	    6.6078	  -16.3717	
 -305.0000	2.148E-12	5.905E+9	   20.0296	   21.5802	    6.6012	  -16.3837	
 -310.0000	2.148E-12	5.957E+9	   20.0296	   21.5834	    6.6050	  -16.3745	
 -315.0000	2.145E-12	7.663E+9	   20.0296	   21.5795	    6.5993	  -16.3877	
 -320.0000	2.134E-12	5.793E+9	   20.0296	   21.5784	    6.6028	  -16.3822	
 -325.0000	2.133E-12	5.016E+9	   20.0296	   21.5784	    6.5977	  -16.3913	
 -330.0000	2.134E-12	6.142E+9	   20.0296	   21.5769	    6.5961	  -16.3953	
 -335.0000	2.132E-12	6.968E+9	   20.0296	   21.5769	    6.5961	  -16.3953	
 -340.0000	2.131E-12	8.180E+9	   20.0296	   21.5775	    6.6015	  -16.3851	
 -345.0000	2.127E-12	6.183E+9	   20.0296	   21.5775	    6.5923	  -16.4017	
 -350.0000	2.123E-12	5.198E+9	   20.0296	   21.5818	    6.5920	  -16.3991	
 -355.0000	2.127E-12	7.821E+9	   20.0296	   21.5845	    6.5971	  -16.3880	
 -360.0000	2.123E-12	7.504E+9	   20.0296	   21.5844	    6.5999	  -16.3829	
 -365.0000	2.120E-12	6.186E+9	   20.0296	   21.5822	    6.6003	  -16.3840	
 -370.0000	2.120E-12	5.762E+9	   20.0296	   21.5854	    6.5901	  -16.3999	
 -375.0000	2.119E-12	7.587E+9	   20.0270	   21.5854	    6.5980	  -16.3856	
 -380.0000	2.117E-12	6.690E+9	   20.0270	   21.5854	    6.5980	  -16.3856	
 -385.0000	2.118E-12	6.009E+9	   20.0296	   21.5850	    6.5939	  -16.3934	
 -390.0000	2.118E-12	6.054E+9	   20.0296	   21.5850	    6.5822	  -16.4146	
 -395.0000	2.113E-12	6.622E+9	   20.0296	   21.5830	    6.5933	  -16.3960	
 -400.0000	2.114E-12	6.050E+9	   20.0296	   21.5839	    6.5911	  -16.3993	
 -410.0000	2.111E-12	6.002E+9	   20.0296	   21.5839	    6.5873	  -16.4062	
