GCD Test
Bias: 5000.000000
IV_37399_049_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 11/3/2021 6:58:12 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.4200E-10	2.4200E-10	-5.573402E-11	-5.573402E-11	   19.9936	   21.3629	    7.9222	  -14.3473	
  -10.0000	3.0400E-10	3.0400E-10	-5.760656E-11	-5.760656E-11	   19.9961	   21.3663	    7.6720	  -14.7340	
  -15.0000	1.3500E-10	1.3500E-10	-6.271200E-11	-6.271200E-11	   20.0013	   21.3663	    7.5111	  -14.7340	
  -20.0000	1.0800E-10	1.0800E-10	-6.395282E-11	-6.395282E-11	   20.0039	   21.3663	    7.4133	  -14.9905	
  -25.0000	2.4000E-10	2.4000E-10	-6.552629E-11	-6.552629E-11	   20.0039	   21.3638	    7.3169	  -15.1505	
  -30.0000	1.2200E-10	1.2200E-10	-6.502577E-11	-6.502577E-11	   20.0090	   21.3623	    7.2328	  -15.3095	
  -35.0000	2.7000E-11	2.7000E-11	-6.711320E-11	-6.711320E-11	   20.0090	   21.3620	    7.2328	  -15.4489	
  -40.0000	8.6000E-11	8.6000E-11	-6.822546E-11	-6.822546E-11	   20.0064	   21.3643	    7.1486	  -15.5879	
  -45.0000	-1.9000E-11	-1.9000E-11	-7.048075E-11	-7.048075E-11	   20.0064	   21.3638	    7.0886	  -15.6897	
  -50.0000	-2.4000E-11	-2.4000E-11	-7.095990E-11	-7.095990E-11	   20.0064	   21.3640	    7.0408	  -15.7707	
  -55.0000	-1.1000E-11	-1.1000E-11	-7.311926E-11	-7.311926E-11	   20.0039	   21.3600	    6.9959	  -15.8504	
  -60.0000	7.1000E-11	7.1000E-11	-7.525904E-11	-7.525904E-11	   19.9987	   21.3646	    6.9681	  -15.8947	
  -65.0000	-7.1000E-11	-7.1000E-11	-7.964478E-11	-7.964478E-11	   19.9961	   21.3632	    6.9209	  -15.9771	
  -70.0000	-3.0000E-11	-3.0000E-11	-8.594115E-11	-8.594115E-11	   19.9910	   21.3657	    6.8896	  -16.0295	
  -75.0000	-1.2100E-10	-1.2100E-10	-9.077669E-11	-9.077669E-11	   19.9936	   21.3710	    6.8640	  -16.0702	
  -80.0000	-1.4200E-10	-1.4200E-10	-9.369222E-11	-9.369222E-11	   19.9910	   21.3659	    6.8412	  -16.1137	
  -85.0000	-2.1400E-10	-2.1400E-10	-9.501839E-11	-9.501839E-11	   19.9910	   21.3669	    6.8178	  -16.1540	
  -90.0000	-1.8000E-10	-1.8000E-10	-9.529380E-11	-9.529380E-11	   19.9961	   21.3665	    6.7995	  -16.1865	
  -95.0000	-2.3500E-10	-2.3500E-10	-9.577333E-11	-9.577333E-11	   19.9961	   21.3708	    6.7894	  -16.2011	
 -100.0000	-7.4000E-11	-7.4000E-11	-9.648712E-11	-9.648712E-11	   20.0013	   21.3676	    6.7625	  -16.2509	
 -105.0000	-8.5000E-11	-8.5000E-11	-9.699212E-11	-9.699212E-11	   20.0039	   21.3672	    6.7524	  -16.2691	
 -110.0000	-9.7000E-11	-9.7000E-11	-9.747188E-11	-9.747188E-11	   20.0064	   21.3643	    6.7369	  -16.2986	
 -115.0000	-2.0900E-10	-2.0900E-10	-9.793534E-11	-9.793534E-11	   20.0090	   21.3677	    6.7290	  -16.3102	
 -120.0000	-2.2000E-10	-2.2000E-10	-9.846622E-11	-9.846622E-11	   20.0090	   21.3670	    6.7195	  -16.3275	
 -125.0000	-2.2400E-10	-2.2400E-10	-9.902949E-11	-9.902949E-11	   20.0090	   21.3689	    6.7078	  -16.3469	
 -130.0000	-1.2500E-10	-1.2500E-10	-9.946240E-11	-9.946240E-11	   20.0090	   21.3711	    6.7024	  -16.3549	
 -135.0000	-1.5200E-10	-1.5200E-10	-9.963941E-11	-9.963941E-11	   20.0039	   21.3699	    6.6869	  -16.3834	
 -140.0000	-1.8700E-10	-1.8700E-10	-9.966607E-11	-9.966607E-11	   20.0013	   21.3674	    6.6828	  -16.3926	
 -145.0000	-1.4500E-10	-1.4500E-10	-1.004679E-10	-1.004679E-10	   19.9961	   21.3648	    6.6717	  -16.4142	
 -150.0000	-1.9400E-10	-1.9400E-10	-1.012512E-10	-1.012512E-10	   19.9961	   21.3648	    6.6717	  -16.4142	
 -155.0000	-2.6700E-10	-2.6700E-10	-1.011654E-10	-1.011654E-10	   19.9936	   21.3664	    6.6689	  -16.4181	
 -160.0000	-2.9800E-10	-2.9800E-10	-1.019165E-10	-1.019165E-10	   19.9910	   21.3649	    6.6654	  -16.4255	
 -165.0000	-2.2500E-10	-2.2500E-10	-1.016107E-10	-1.016107E-10	   19.9936	   21.3649	    6.6654	  -16.4255	
 -170.0000	-2.1600E-10	-2.1600E-10	-1.021671E-10	-1.021671E-10	   19.9961	   21.3674	    6.6543	  -16.4367	
 -175.0000	-2.0200E-10	-2.0200E-10	-1.026645E-10	-1.026645E-10	   20.0013	   21.3674	    6.6452	  -16.4435	
 -180.0000	-2.8100E-10	-2.8100E-10	-1.031194E-10	-1.031194E-10	   20.0039	   21.3706	    6.6505	  -16.4576	
 -185.0000	-3.5100E-10	-3.5100E-10	-1.030530E-10	-1.030530E-10	   20.0039	   21.3689	    6.6505	  -16.4492	
 -190.0000	-3.2400E-10	-3.2400E-10	-1.040424E-10	-1.040424E-10	   20.0090	   21.3702	    6.6429	  -16.4619	
 -195.0000	-3.4400E-10	-3.4400E-10	-1.044097E-10	-1.044097E-10	   20.0090	   21.3698	    6.6584	  -16.4343	
 -200.0000	-2.6600E-10	-2.6600E-10	-1.051782E-10	-1.051782E-10	   20.0116	   21.3696	    6.6363	  -16.4742	
 -205.0000	-3.1200E-10	-3.1200E-10	-1.052225E-10	-1.052225E-10	   20.0090	   21.3697	    6.6467	  -16.4554	
 -210.0000	-3.4900E-10	-3.4900E-10	-1.063898E-10	-1.063898E-10	   20.0064	   21.3697	    6.6363	  -16.4554	
 -215.0000	-3.0200E-10	-3.0200E-10	-1.070804E-10	-1.070804E-10	   20.0064	   21.3698	    6.6363	  -16.4740	
 -220.0000	-2.8000E-10	-2.8000E-10	-1.077808E-10	-1.077808E-10	   20.0039	   21.3702	    6.6414	  -16.4646	
