GCD Test
Bias: 5000.000000
IV_34252_009_PSS_HM_XX_DIODEQUARTER
Date/Time: 9/13/2021 4:14:16 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	4.4400E-10	4.4400E-10	-3.535449E-11	-3.535449E-11	   19.9987	   21.8669	    7.0041	  -15.4896	
  -10.0000	3.9000E-10	3.9000E-10	-3.647959E-11	-3.647959E-11	   19.9987	   21.8888	    7.0041	  -15.4480	
  -15.0000	2.8000E-10	2.8000E-10	-3.753358E-11	-3.753358E-11	   19.9987	   21.8740	    6.9959	  -15.4730	
  -20.0000	2.1400E-10	2.1400E-10	-3.880678E-11	-3.880678E-11	   20.0013	   21.8689	    6.9886	  -15.4892	
  -25.0000	2.3700E-10	2.3700E-10	-3.989664E-11	-3.989664E-11	   20.0039	   21.8614	    6.9817	  -15.5067	
  -30.0000	1.3500E-10	1.3500E-10	-4.192640E-11	-4.192640E-11	   20.0064	   21.8726	    6.9911	  -15.4821	
  -35.0000	2.1600E-10	2.1600E-10	-4.378852E-11	-4.378852E-11	   20.0090	   21.8580	    6.9905	  -15.4939	
  -40.0000	1.4400E-10	1.4400E-10	-4.680304E-11	-4.680304E-11	   20.0064	   21.8580	    6.9845	  -15.4939	
  -45.0000	1.2200E-10	1.2200E-10	-5.027735E-11	-5.027735E-11	   20.0064	   21.8393	    6.9896	  -15.5180	
  -50.0000	1.0000E-10	1.0000E-10	-5.487530E-11	-5.487530E-11	   20.0064	   21.8654	    6.9782	  -15.4902	
  -55.0000	2.0000E-12	2.0000E-12	-5.683723E-11	-5.683723E-11	   20.0039	   21.8697	    6.9915	  -15.5066	
  -60.0000	5.7000E-11	5.7000E-11	-5.800508E-11	-5.800508E-11	   20.0039	   21.8572	    6.9915	  -15.4929	
  -65.0000	-4.5000E-11	-4.5000E-11	-5.890451E-11	-5.890451E-11	   20.0064	   21.8396	    6.9924	  -15.5042	
  -70.0000	-5.4000E-11	-5.4000E-11	-6.154581E-11	-6.154581E-11	   20.0039	   21.8479	    6.9794	  -15.5204	
  -75.0000	-7.4000E-11	-7.4000E-11	-6.227899E-11	-6.227899E-11	   20.0013	   21.8535	    6.9700	  -15.5326	
