GCD Test
Bias: 5000.000000
IV_34341_012_PSS_HM_XX_DIODE
Date/Time: 6/30/2021 11:45:00 AM
Sensor Name: DIODE
Type: P
Annealing Status: Not irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.9000E-11	1.9000E-11	-1.349665E-10	-1.349665E-10	   20.0579	   22.4276	    7.8346	  -13.6912	
  -10.0000	-6.4000E-11	-6.4000E-11	-1.526216E-10	-1.526216E-10	   19.9807	   22.5514	    7.6369	  -13.9114	
  -15.0000	-9.0000E-11	-9.0000E-11	-1.348804E-10	-1.348804E-10	   19.9472	   22.4289	    7.5392	  -14.1590	
  -20.0000	-2.8800E-10	-2.8800E-10	-1.271386E-10	-1.271386E-10	   19.9241	   22.5384	    7.4010	  -14.3032	
  -25.0000	-4.5400E-10	-4.5400E-10	-1.294503E-10	-1.294503E-10	   19.9318	   22.5384	    7.2944	  -14.3032	
  -30.0000	-3.7600E-10	-3.7600E-10	-1.327236E-10	-1.327236E-10	   19.9318	   22.5384	    7.2944	  -14.4793	
  -35.0000	-1.6400E-10	-1.6400E-10	-1.356046E-10	-1.356046E-10	   19.9601	   22.5285	    7.2024	  -14.6406	
  -40.0000	-2.7700E-10	-2.7700E-10	-1.403330E-10	-1.403330E-10	   19.9961	   22.3893	    7.1423	  -14.8445	
  -45.0000	-5.4900E-10	-5.4900E-10	-1.460034E-10	-1.460034E-10	   20.0682	   22.3893	    7.0484	  -14.8445	
  -50.0000	-4.9200E-10	-4.9200E-10	-1.513411E-10	-1.513411E-10	   20.0682	   22.4515	    7.0484	  -14.9588	
  -55.0000	-5.2100E-10	-5.2100E-10	-1.586986E-10	-1.586986E-10	   20.1557	   22.4515	    6.9700	  -14.9588	
  -60.0000	-5.5200E-10	-5.5200E-10	-1.663870E-10	-1.663870E-10	   20.1557	   22.4195	    6.9700	  -15.1175	
  -65.0000	-5.5000E-10	-5.5000E-10	-1.728352E-10	-1.728352E-10	   20.2201	   22.3545	    6.8786	  -15.3242	
  -70.0000	-4.2900E-10	-4.2900E-10	-1.781222E-10	-1.781222E-10	   20.2201	   22.3545	    6.8786	  -15.3242	
  -75.0000	-3.7500E-10	-3.7500E-10	-1.840449E-10	-1.840449E-10	   20.2355	   22.4724	    6.8374	  -15.3101	
  -80.0000	-5.9100E-10	-5.9100E-10	-1.888633E-10	-1.888633E-10	   20.2124	   22.4724	    6.7897	  -15.3101	
  -85.0000	-5.5400E-10	-5.5400E-10	-1.895735E-10	-1.895735E-10	   20.2124	   22.4724	    6.7897	  -15.3945	
  -90.0000	-4.7400E-10	-4.7400E-10	-1.904559E-10	-1.904559E-10	   20.1660	   22.3469	    6.7521	  -15.5532	
  -95.0000	-6.6900E-10	-6.6900E-10	-1.913979E-10	-1.913979E-10	   20.1094	   22.3659	    6.7207	  -15.5952	
 -100.0000	-6.8800E-10	-6.8800E-10	-1.978376E-10	-1.978376E-10	   20.0090	   22.3659	    6.6850	  -15.5952	
 -105.0000	-7.1100E-10	-7.1100E-10	-1.984827E-10	-1.984827E-10	   20.0090	   22.3741	    6.6850	  -15.6532	
 -110.0000	-7.1700E-10	-7.1700E-10	-1.988461E-10	-1.988461E-10	   19.8906	   22.3741	    6.6445	  -15.6532	
 -115.0000	-4.6800E-10	-4.6800E-10	-1.989796E-10	-1.989796E-10	   19.8906	   22.3640	    6.6445	  -15.7335	
 -120.0000	-5.4800E-10	-5.4800E-10	-1.997164E-10	-1.997164E-10	   19.8263	   22.3381	    6.6338	  -15.7718	
 -125.0000	-5.1300E-10	-5.1300E-10	-2.010436E-10	-2.010436E-10	   19.7851	   22.3381	    6.6066	  -15.7718	
 -130.0000	-7.5000E-10	-7.5000E-10	-2.026689E-10	-2.026689E-10	   19.7851	   22.3231	    6.6066	  -15.8321	
 -135.0000	-8.6600E-10	-8.6600E-10	-2.020385E-10	-2.020385E-10	   19.8083	   22.3231	    6.5898	  -15.8321	
 -140.0000	-6.7000E-10	-6.7000E-10	-2.070432E-10	-2.070432E-10	   19.8083	   22.2544	    6.5898	  -15.9126	
 -145.0000	-8.4400E-10	-8.4400E-10	-2.108001E-10	-2.108001E-10	   19.8983	   22.2544	    6.5699	  -15.9126	
 -150.0000	-8.7000E-10	-8.7000E-10	-2.139020E-10	-2.139020E-10	   19.8983	   22.3243	    6.5699	  -15.8979	
 -155.0000	-9.0700E-10	-9.0700E-10	-2.274225E-10	-2.274225E-10	   20.0270	   22.3124	    6.5617	  -15.9216	
 -160.0000	-8.7400E-10	-8.7400E-10	-2.198984E-10	-2.198984E-10	   20.1223	   22.3124	    6.5576	  -15.9216	
 -165.0000	-8.8400E-10	-8.8400E-10	-2.221844E-10	-2.221844E-10	   20.1223	   22.2831	    6.5576	  -15.9505	
 -170.0000	-9.2600E-10	-9.2600E-10	-2.229582E-10	-2.229582E-10	   20.2072	   22.2509	    6.5481	  -15.9912	
 -175.0000	-6.9200E-10	-6.9200E-10	-2.242758E-10	-2.242758E-10	   20.2613	   22.3843	    6.5386	  -15.9115	
 -180.0000	-9.1100E-10	-9.1100E-10	-2.233638E-10	-2.233638E-10	   20.2947	   22.3843	    6.5183	  -15.9115	
 -185.0000	-9.3000E-10	-9.3000E-10	-2.243490E-10	-2.243490E-10	   20.2947	   22.2525	    6.5183	  -16.0446	
 -190.0000	-9.6500E-10	-9.6500E-10	-2.233321E-10	-2.233321E-10	   20.2484	   22.2525	    6.5155	  -16.0446	
 -195.0000	-9.4600E-10	-9.4600E-10	-2.210884E-10	-2.210884E-10	   20.2484	   22.3952	    6.5155	  -15.9459	
 -200.0000	-7.9400E-10	-7.9400E-10	-2.203288E-10	-2.203288E-10	   20.1403	   22.3952	    6.5054	  -15.9459	
 -205.0000	-8.7700E-10	-8.7700E-10	-2.198856E-10	-2.198856E-10	   20.1403	   22.3945	    6.5054	  -15.9650	
 -210.0000	-7.6700E-10	-7.6700E-10	-2.191915E-10	-2.191915E-10	   20.0553	   22.2500	    6.4940	  -16.0912	
 -215.0000	-9.8100E-10	-9.8100E-10	-2.195956E-10	-2.195956E-10	   19.9472	   22.2500	    6.4829	  -16.0912	
 -220.0000	-7.8100E-10	-7.8100E-10	-2.191767E-10	-2.191767E-10	   19.9472	   22.2500	    6.4829	  -16.1116	
 -225.0000	-1.1010E-9	-1.1010E-9	-2.199826E-10	-2.199826E-10	   19.8417	   22.2500	    6.4684	  -16.1116	
 -230.0000	-7.9900E-10	-7.9900E-10	-2.203094E-10	-2.203094E-10	   19.8417	   22.1666	    6.4684	  -16.1992	
 -235.0000	-9.1200E-10	-9.1200E-10	-2.211086E-10	-2.211086E-10	   19.7902	   22.1666	    6.4674	  -16.1992	
 -240.0000	-8.5700E-10	-8.5700E-10	-2.227075E-10	-2.227075E-10	   19.7902	   22.1612	    6.4674	  -16.2048	
 -245.0000	-8.9600E-10	-8.9600E-10	-2.246241E-10	-2.246241E-10	   19.7954	   22.2084	    6.4766	  -16.1535	
 -250.0000	-1.1810E-9	-1.1810E-9	-2.282884E-10	-2.282884E-10	   19.8469	   22.2084	    6.4538	  -16.1535	
 -255.0000	-1.1410E-9	-1.1410E-9	-2.262299E-10	-2.262299E-10	   19.8469	   22.2084	    6.4538	  -16.1957	
 -260.0000	-1.1800E-9	-1.1800E-9	-2.403656E-10	-2.403656E-10	   19.9344	   22.1132	    6.4662	  -16.2421	
 -265.0000	-8.9900E-10	-8.9900E-10	-2.397904E-10	-2.397904E-10	   20.0064	   22.2417	    6.4741	  -16.1340	
 -270.0000	-1.1880E-9	-1.1880E-9	-2.420406E-10	-2.420406E-10	   20.1506	   22.2417	    6.4671	  -16.1340	
 -275.0000	-1.1890E-9	-1.1890E-9	-2.454187E-10	-2.454187E-10	   20.1506	   22.2533	    6.4671	  -16.1384	
 -280.0000	-1.0980E-9	-1.0980E-9	-2.441132E-10	-2.441132E-10	   20.2819	   22.2533	    6.4646	  -16.1384	
 -285.0000	-1.0420E-9	-1.0420E-9	-2.451413E-10	-2.451413E-10	   20.2819	   22.2455	    6.4646	  -16.1487	
 -290.0000	-1.2160E-9	-1.2160E-9	-2.442330E-10	-2.442330E-10	   20.3539	   22.2268	    6.4633	  -16.1647	
 -295.0000	-9.8300E-10	-9.8300E-10	-2.435168E-10	-2.435168E-10	   20.3539	   22.2268	    6.4633	  -16.1647	
 -300.0000	-9.9700E-10	-9.9700E-10	-2.418585E-10	-2.418585E-10	   20.3514	   22.2892	    6.4583	  -16.1287	
 -305.0000	-1.3020E-9	-1.3020E-9	-2.393746E-10	-2.393746E-10	   20.2870	   22.2892	    6.4620	  -16.1287	
 -310.0000	-1.2170E-9	-1.2170E-9	-2.378626E-10	-2.378626E-10	   20.2870	   22.2892	    6.4620	  -16.1217	
 -315.0000	-9.8800E-10	-9.8800E-10	-2.356554E-10	-2.356554E-10	   20.2072	   22.1519	    6.4570	  -16.2309	
 -320.0000	-1.2150E-9	-1.2150E-9	-2.342255E-10	-2.342255E-10	   20.1429	   22.2819	    6.4620	  -16.1270	
 -325.0000	-1.0770E-9	-1.0770E-9	-2.332538E-10	-2.332538E-10	   20.0219	   22.2819	    6.4589	  -16.1270	
 -330.0000	-1.0030E-9	-1.0030E-9	-2.324535E-10	-2.324535E-10	   20.0219	   22.1341	    6.4589	  -16.2403	
 -335.0000	-9.3400E-10	-9.3400E-10	-2.313726E-10	-2.313726E-10	   19.9395	   22.1469	    6.4579	  -16.2328	
 -340.0000	-1.2750E-9	-1.2750E-9	-2.306135E-10	-2.306135E-10	   19.8597	   22.1469	    6.4620	  -16.2328	
 -345.0000	-1.2390E-9	-1.2390E-9	-2.314404E-10	-2.314404E-10	   19.8597	   22.1469	    6.4620	  -16.2252	
 -350.0000	-1.3110E-9	-1.3110E-9	-2.332246E-10	-2.332246E-10	   19.8288	   22.1469	    6.4617	  -16.2252	
 -355.0000	-1.3080E-9	-1.3080E-9	-2.348958E-10	-2.348958E-10	   19.8288	   22.0991	    6.4617	  -16.2605	
 -360.0000	-1.1540E-9	-1.1540E-9	-2.380801E-10	-2.380801E-10	   19.8649	   22.0903	    6.4538	  -16.2816	
 -365.0000	-1.3770E-9	-1.3770E-9	-2.408757E-10	-2.408757E-10	   19.9189	   22.0903	    6.4706	  -16.2816	
 -370.0000	-1.4120E-9	-1.4120E-9	-2.445144E-10	-2.445144E-10	   19.9189	   22.0757	    6.4706	  -16.2612	
 -375.0000	-1.4690E-9	-1.4690E-9	-2.458558E-10	-2.458558E-10	   20.0528	   22.0757	    6.4633	  -16.2612	
 -380.0000	-1.3290E-9	-1.3290E-9	-2.483297E-10	-2.483297E-10	   20.0528	   22.1520	    6.4633	  -16.2191	
 -385.0000	-1.4830E-9	-1.4830E-9	-2.504597E-10	-2.504597E-10	   20.1609	   22.0863	    6.4646	  -16.2646	
 -390.0000	-1.2180E-9	-1.2180E-9	-2.516747E-10	-2.516747E-10	   20.2561	   22.0863	    6.4756	  -16.2646	
 -395.0000	-1.4470E-9	-1.4470E-9	-2.518849E-10	-2.518849E-10	   20.2561	   22.0863	    6.4756	  -16.2441	
 -400.0000	-1.4950E-9	-1.4950E-9	-2.510010E-10	-2.510010E-10	   20.3076	   21.9944	    6.4715	  -16.3186	
 -410.0000	-1.5090E-9	-1.5090E-9	-2.492630E-10	-2.492630E-10	   20.3127	   22.0795	    6.4643	  -16.2701	
 -420.0000	-1.5780E-9	-1.5780E-9	-2.483513E-10	-2.483513E-10	   20.2870	   22.0552	    6.4614	  -16.2931	
 -430.0000	-1.3920E-9	-1.3920E-9	-2.461415E-10	-2.461415E-10	   20.1995	   22.0552	    6.4696	  -16.2931	
 -440.0000	-1.6620E-9	-1.6620E-9	-2.436731E-10	-2.436731E-10	   20.1995	   22.0204	    6.4696	  -16.3032	
 -450.0000	-1.4470E-9	-1.4470E-9	-2.429725E-10	-2.429725E-10	   20.0605	   22.0204	    6.4541	  -16.3032	
 -460.0000	-1.5950E-9	-1.5950E-9	-2.417826E-10	-2.417826E-10	   20.0605	   22.0404	    6.4541	  -16.3173	
 -470.0000	-1.7120E-9	-1.7120E-9	-2.405230E-10	-2.405230E-10	   19.9627	   22.0066	    6.4652	  -16.3214	
 -480.0000	-1.7590E-9	-1.7590E-9	-2.398616E-10	-2.398616E-10	   19.8572	   22.0066	    6.4605	  -16.3214	
 -490.0000	-1.7690E-9	-1.7690E-9	-2.399138E-10	-2.399138E-10	   19.8057	   22.0505	    6.4605	  -16.2982	
 -500.0000	-1.7730E-9	-1.7730E-9	-2.402557E-10	-2.402557E-10	   19.8057	   21.9972	    6.4564	  -16.3446	
 -510.0000	-1.8700E-9	-1.8700E-9	-2.417310E-10	-2.417310E-10	   19.7851	   21.9972	    6.4684	  -16.3224	
 -520.0000	-1.9280E-9	-1.9280E-9	-2.445088E-10	-2.445088E-10	   19.7980	   22.0820	    6.4643	  -16.2683	
 -530.0000	-2.0130E-9	-2.0130E-9	-2.478573E-10	-2.478573E-10	   19.8777	   22.0820	    6.4823	  -16.2683	
 -540.0000	-2.0360E-9	-2.0360E-9	-2.514879E-10	-2.514879E-10	   19.8777	   21.8886	    6.4823	  -16.3758	
 -550.0000	-1.9260E-9	-1.9260E-9	-2.550395E-10	-2.550395E-10	   19.9833	   22.0100	    6.4791	  -16.2933	
 -560.0000	-1.8750E-9	-1.8750E-9	-2.576354E-10	-2.576354E-10	   20.1042	   22.0100	    6.4725	  -16.2933	
 -570.0000	-2.5270E-9	-2.5270E-9	-2.601006E-10	-2.601006E-10	   20.1042	   22.0100	    6.4725	  -16.3056	
 -580.0000	-2.2580E-9	-2.2580E-9	-2.613240E-10	-2.613240E-10	   20.1995	   21.9824	    6.4763	  -16.3186	
 -590.0000	-2.1960E-9	-2.1960E-9	-2.612557E-10	-2.612557E-10	   20.2638	   22.0390	    6.4810	  -16.2687	
 -600.0000	-2.4200E-9	-2.4200E-9	-2.610739E-10	-2.610739E-10	   20.3076	   22.0390	    6.4782	  -16.2687	
 -610.0000	-2.4230E-9	-2.4230E-9	-2.594617E-10	-2.594617E-10	   20.3076	   22.0288	    6.4782	  -16.2814	
 -620.0000	-2.4190E-9	-2.4190E-9	-2.574691E-10	-2.574691E-10	   20.2896	   22.0443	    6.4687	  -16.2875	
 -630.0000	-2.4390E-9	-2.4390E-9	-2.548509E-10	-2.548509E-10	   20.2021	   22.0443	    6.4741	  -16.2875	
 -640.0000	-2.2310E-9	-2.2310E-9	-2.523334E-10	-2.523334E-10	   20.2021	   22.0026	    6.4741	  -16.3080	
 -650.0000	-2.2320E-9	-2.2320E-9	-2.506246E-10	-2.506246E-10	   20.1120	   22.0443	    6.4738	  -16.2783	
 -660.0000	-2.3130E-9	-2.3130E-9	-2.486525E-10	-2.486525E-10	   19.9910	   22.0443	    6.4709	  -16.2783	
