GCD Test
Bias: 5000.000000
IV_37398_012_PSS_HM_XX_DIODE
Date/Time: 11/8/2021 2:04:28 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	3.0000E-12	3.0000E-12	-1.422436E-10	-1.422436E-10	   20.0965	   21.7620	    6.5642	  -16.3182	
  -10.0000	-1.6600E-10	-1.6600E-10	-1.468620E-10	-1.468620E-10	   20.0965	   21.7578	    6.5614	  -16.3264	
  -15.0000	-1.0900E-10	-1.0900E-10	-1.513994E-10	-1.513994E-10	   20.0965	   21.7607	    6.5693	  -16.3220	
  -20.0000	-1.0900E-10	-1.0900E-10	-1.568441E-10	-1.568441E-10	   20.0965	   21.7607	    6.5667	  -16.3099	
  -25.0000	-1.6700E-10	-1.6700E-10	-1.623255E-10	-1.623255E-10	   20.0965	   21.7614	    6.5664	  -16.3140	
  -30.0000	-1.3700E-10	-1.3700E-10	-1.699778E-10	-1.699778E-10	   20.0939	   21.7612	    6.5708	  -16.3147	
  -35.0000	-1.7100E-10	-1.7100E-10	-1.830348E-10	-1.830348E-10	   20.0939	   21.7579	    6.5708	  -16.3091	
  -40.0000	-2.0400E-10	-2.0400E-10	-1.971468E-10	-1.971468E-10	   20.0939	   21.7573	    6.5626	  -16.3245	
  -45.0000	-3.0600E-10	-3.0600E-10	-2.037885E-10	-2.037885E-10	   20.0939	   21.7527	    6.5724	  -16.3100	
  -50.0000	-3.6700E-10	-3.6700E-10	-2.127897E-10	-2.127897E-10	   20.0939	   21.7562	    6.5825	  -16.2891	
  -55.0000	-3.3700E-10	-3.3700E-10	-2.180311E-10	-2.180311E-10	   20.0939	   21.7570	    6.5727	  -16.3063	
  -60.0000	-4.1400E-10	-4.1400E-10	-2.200451E-10	-2.200451E-10	   20.0939	   21.7578	    6.5743	  -16.3028	
  -65.0000	-3.5700E-10	-3.5700E-10	-2.228239E-10	-2.228239E-10	   20.0939	   21.7486	    6.5721	  -16.3136	
  -70.0000	-4.2600E-10	-4.2600E-10	-2.241392E-10	-2.241392E-10	   20.0939	   21.7487	    6.5810	  -16.2974	
  -75.0000	-3.3700E-10	-3.3700E-10	-2.257045E-10	-2.257045E-10	   20.0939	   21.7508	    6.5743	  -16.3079	
  -80.0000	-3.2600E-10	-3.2600E-10	-2.271072E-10	-2.271072E-10	   20.0939	   21.7515	    6.5731	  -16.3098	
  -85.0000	-3.3200E-10	-3.3200E-10	-2.287933E-10	-2.287933E-10	   20.0939	   21.7503	    6.5769	  -16.3037	
  -90.0000	-4.0900E-10	-4.0900E-10	-2.302666E-10	-2.302666E-10	   20.0939	   21.7550	    6.5664	  -16.3192	
  -95.0000	-4.0700E-10	-4.0700E-10	-2.315046E-10	-2.315046E-10	   20.0939	   21.7516	    6.5765	  -16.3034	
 -100.0000	-3.7100E-10	-3.7100E-10	-2.322912E-10	-2.322912E-10	   20.0939	   21.7508	    6.5674	  -16.3206	
 -105.0000	-4.2300E-10	-4.2300E-10	-2.333358E-10	-2.333358E-10	   20.0914	   21.7561	    6.5781	  -16.2972	
 -110.0000	-3.9100E-10	-3.9100E-10	-2.344054E-10	-2.344054E-10	   20.0914	   21.7489	    6.5718	  -16.3140	
 -115.0000	-3.8300E-10	-3.8300E-10	-2.355641E-10	-2.355641E-10	   20.0914	   21.7507	    6.5746	  -16.3075	
 -120.0000	-4.0600E-10	-4.0600E-10	-2.361226E-10	-2.361226E-10	   20.0914	   21.7485	    6.5806	  -16.2981	
 -125.0000	-3.7700E-10	-3.7700E-10	-2.372985E-10	-2.372985E-10	   20.0914	   21.7516	    6.5838	  -16.2901	
 -130.0000	-3.9700E-10	-3.9700E-10	-2.380436E-10	-2.380436E-10	   20.0914	   21.7426	    6.5715	  -16.3191	
 -135.0000	-3.9500E-10	-3.9500E-10	-2.392156E-10	-2.392156E-10	   20.0914	   21.7508	    6.5753	  -16.3063	
 -140.0000	-3.9800E-10	-3.9800E-10	-2.396119E-10	-2.396119E-10	   20.0888	   21.7454	    6.5800	  -16.3016	
 -145.0000	-4.3100E-10	-4.3100E-10	-2.406516E-10	-2.406516E-10	   20.0914	   21.7455	    6.5863	  -16.2900	
 -150.0000	-4.2200E-10	-4.2200E-10	-2.418299E-10	-2.418299E-10	   20.0888	   21.7441	    6.5762	  -16.3094	
 -155.0000	-4.4300E-10	-4.4300E-10	-2.426261E-10	-2.426261E-10	   20.0914	   21.7474	    6.5724	  -16.3139	
 -160.0000	-4.4900E-10	-4.4900E-10	-2.437376E-10	-2.437376E-10	   20.0914	   21.7441	    6.5765	  -16.3088	
 -165.0000	-4.4300E-10	-4.4300E-10	-2.444448E-10	-2.444448E-10	   20.0914	   21.7403	    6.5708	  -16.3219	
 -170.0000	-4.7200E-10	-4.7200E-10	-2.455840E-10	-2.455840E-10	   20.0888	   21.7400	    6.5724	  -16.3193	
