GCD Test
Bias: 5000.000000
CV_37399_049_PSS_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 11/3/2021 7:34:35 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.463E-11	4.001E+9	   20.0090	   21.4672	    6.6762	  -16.3315	
  -10.0000	1.085E-11	4.423E+9	   20.0064	   21.4696	    6.6692	  -16.3422	
  -15.0000	8.760E-12	5.834E+9	   20.0013	   21.4680	    6.6686	  -16.3445	
  -20.0000	7.490E-12	5.196E+9	   20.0013	   21.4680	    6.6686	  -16.3445	
  -25.0000	6.628E-12	6.113E+9	   19.9936	   21.4677	    6.6679	  -16.3459	
  -30.0000	6.006E-12	4.604E+9	   19.9936	   21.4677	    6.6679	  -16.3459	
  -35.0000	5.511E-12	4.959E+9	   19.9936	   21.4658	    6.6746	  -16.3353	
  -40.0000	5.113E-12	4.477E+9	   19.9961	   21.4682	    6.6682	  -16.3449	
  -45.0000	4.784E-12	5.895E+9	   19.9961	   21.4649	    6.6705	  -16.3434	
  -50.0000	4.505E-12	5.540E+9	   19.9987	   21.4682	    6.6695	  -16.3427	
  -55.0000	4.255E-12	5.904E+9	   20.0039	   21.4648	    6.6695	  -16.3451	
  -60.0000	4.049E-12	6.601E+9	   20.0039	   21.4679	    6.6698	  -16.3423	
  -65.0000	3.861E-12	5.196E+9	   20.0090	   21.4686	    6.6743	  -16.3339	
  -70.0000	3.698E-12	5.268E+9	   20.0116	   21.4717	    6.6752	  -16.3299	
  -75.0000	3.549E-12	6.132E+9	   20.0116	   21.4661	    6.6733	  -16.3373	
  -80.0000	3.409E-12	6.265E+9	   20.0090	   21.4673	    6.6847	  -16.3162	
  -85.0000	3.287E-12	5.484E+9	   20.0090	   21.4678	    6.6749	  -16.3333	
  -90.0000	3.181E-12	7.229E+9	   20.0039	   21.4671	    6.6749	  -16.3338	
  -95.0000	3.075E-12	5.753E+9	   20.0013	   21.4645	    6.6556	  -16.3703	
 -100.0000	2.976E-12	5.257E+9	   19.9987	   21.4690	    6.6698	  -16.3415	
 -105.0000	2.890E-12	6.912E+9	   19.9961	   21.4645	    6.6673	  -16.3493	
 -110.0000	2.809E-12	8.170E+9	   19.9936	   21.4687	    6.6727	  -16.3366	
 -115.0000	2.726E-12	8.434E+9	   19.9936	   21.4678	    6.6698	  -16.3423	
 -120.0000	2.664E-12	7.729E+9	   19.9961	   21.4712	    6.6711	  -16.3376	
 -125.0000	2.588E-12	8.398E+9	   20.0013	   21.4712	    6.6717	  -16.3365	
 -130.0000	2.528E-12	6.782E+9	   20.0039	   21.4734	    6.6720	  -16.3343	
 -135.0000	2.468E-12	7.784E+9	   20.0090	   21.4734	    6.6762	  -16.3269	
 -140.0000	2.411E-12	8.301E+9	   20.0090	   21.4654	    6.6645	  -16.3537	
 -145.0000	2.356E-12	7.326E+9	   20.0116	   21.4692	    6.6790	  -16.3249	
 -150.0000	2.302E-12	7.298E+9	   20.0090	   21.4692	    6.6720	  -16.3374	
 -155.0000	2.253E-12	5.629E+9	   20.0064	   21.4654	    6.6670	  -16.3492	
 -160.0000	2.205E-12	8.405E+9	   20.0013	   21.4653	    6.6698	  -16.3441	
 -165.0000	2.162E-12	7.926E+9	   19.9987	   21.4630	    6.6657	  -16.3532	
 -170.0000	2.125E-12	7.924E+9	   19.9987	   21.4630	    6.6657	  -16.3532	
 -175.0000	2.083E-12	8.739E+9	   19.9961	   21.4637	    6.6749	  -16.3363	
 -180.0000	2.036E-12	7.647E+9	   19.9936	   21.4691	    6.6629	  -16.3538	
 -185.0000	2.006E-12	8.406E+9	   19.9936	   21.4675	    6.6698	  -16.3426	
 -190.0000	1.969E-12	8.783E+9	   19.9961	   21.4689	    6.6743	  -16.3337	
 -195.0000	1.932E-12	7.631E+9	   20.0013	   21.4689	    6.6762	  -16.3303	
 -200.0000	1.900E-12	1.002E+10	   20.0039	   21.4695	    6.6755	  -16.3309	
 -205.0000	1.868E-12	9.282E+9	   20.0064	   21.4671	    6.6667	  -16.3485	
 -210.0000	1.835E-12	7.082E+9	   20.0090	   21.4659	    6.6648	  -16.3528	
 -215.0000	1.807E-12	8.461E+9	   20.0116	   21.4690	    6.6834	  -16.3171	
 -220.0000	1.771E-12	7.393E+9	   20.0116	   21.4655	    6.6727	  -16.3390	
 -225.0000	1.746E-12	6.872E+9	   20.0090	   21.4669	    6.6758	  -16.3322	
 -230.0000	1.713E-12	7.758E+9	   20.0090	   21.4669	    6.6758	  -16.3322	
 -235.0000	1.689E-12	7.038E+9	   20.0064	   21.4666	    6.6575	  -16.3653	
 -240.0000	1.660E-12	1.004E+10	   20.0039	   21.4666	    6.6629	  -16.3557	
 -245.0000	1.635E-12	7.689E+9	   19.9987	   21.4652	    6.6626	  -16.3573	
 -250.0000	1.615E-12	1.015E+10	   19.9961	   21.4669	    6.6657	  -16.3504	
 -255.0000	1.599E-12	6.827E+9	   19.9961	   21.4669	    6.6657	  -16.3504	
 -260.0000	1.588E-12	5.822E+9	   19.9936	   21.4616	    6.6594	  -16.3655	
 -265.0000	1.585E-12	1.217E+10	   19.9936	   21.4632	    6.6594	  -16.3644	
 -270.0000	1.581E-12	7.376E+9	   19.9987	   21.4596	    6.6638	  -16.3591	
 -275.0000	1.569E-12	7.967E+9	   20.0013	   21.4662	    6.6553	  -16.3696	
 -280.0000	1.569E-12	8.701E+9	   20.0039	   21.4622	    6.6613	  -16.3617	
 -285.0000	1.564E-12	8.703E+9	   20.0064	   21.4622	    6.6619	  -16.3606	
 -290.0000	1.562E-12	8.949E+9	   20.0090	   21.4626	    6.6565	  -16.3700	
 -295.0000	1.561E-12	6.026E+9	   20.0090	   21.4659	    6.6638	  -16.3545	
 -300.0000	1.559E-12	6.510E+9	   20.0064	   21.4637	    6.6610	  -16.3612	
 -305.0000	1.559E-12	5.926E+9	   20.0039	   21.4654	    6.6559	  -16.3690	
 -310.0000	1.554E-12	7.681E+9	   20.0039	   21.4589	    6.6540	  -16.3772	
 -315.0000	1.554E-12	6.536E+9	   20.0013	   21.4657	    6.6575	  -16.3660	
 -320.0000	1.557E-12	1.240E+10	   19.9961	   21.4657	    6.6502	  -16.3790	
 -325.0000	1.557E-12	7.031E+9	   19.9961	   21.4646	    6.6600	  -16.3623	
 -330.0000	1.558E-12	8.797E+9	   19.9961	   21.4646	    6.6613	  -16.3600	
 -335.0000	1.554E-12	6.424E+9	   19.9961	   21.4606	    6.6562	  -16.3719	
 -340.0000	1.557E-12	1.009E+10	   19.9961	   21.4649	    6.6543	  -16.3723	
 -345.0000	1.553E-12	6.804E+9	   19.9961	   21.4643	    6.6565	  -16.3687	
 -350.0000	1.553E-12	6.674E+9	   19.9987	   21.4608	    6.6509	  -16.3814	
 -355.0000	1.552E-12	8.283E+9	   20.0013	   21.4693	    6.6417	  -16.3917	
 -360.0000	1.550E-12	6.756E+9	   20.0013	   21.4646	    6.6420	  -16.3946	
 -365.0000	1.548E-12	7.187E+9	   20.0039	   21.4669	    6.6458	  -16.3861	
 -370.0000	1.547E-12	6.697E+9	   20.0039	   21.4709	    6.6490	  -16.3775	
 -375.0000	1.550E-12	1.106E+10	   20.0064	   21.4636	    6.6512	  -16.3788	
 -380.0000	1.551E-12	8.069E+9	   20.0064	   21.4668	    6.6395	  -16.3975	
 -385.0000	1.547E-12	8.651E+9	   20.0064	   21.4629	    6.6404	  -16.3987	
 -390.0000	1.546E-12	9.565E+9	   20.0039	   21.4664	    6.6423	  -16.3927	
 -395.0000	1.550E-12	8.588E+9	   20.0013	   21.4640	    6.6458	  -16.3882	
 -400.0000	1.546E-12	6.817E+9	   19.9987	   21.4638	    6.6452	  -16.3895	
 -410.0000	1.549E-12	7.951E+9	   19.9961	   21.4677	    6.6452	  -16.3866	
 -420.0000	1.546E-12	1.089E+10	   19.9936	   21.4648	    6.6471	  -16.3854	
 -430.0000	1.546E-12	9.603E+9	   19.9910	   21.4638	    6.6442	  -16.3912	
 -440.0000	1.544E-12	6.934E+9	   19.9910	   21.4664	    6.6429	  -16.3916	
