GCD Test
Bias: 5000.000000
CV_37896_044_PSS_HM_XX_DIODE
Date/Time: 12/17/2021 2:43:42 PM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	8.364E-11	9.984E+8	   19.9987	   21.4739	   22.5693	   -0.7688	
  -15.1282	4.769E-11	1.111E+9	   19.9987	   21.4691	   22.5886	   -0.7611	
  -25.2564	3.286E-11	1.733E+9	   19.9987	   21.4739	   22.5810	   -0.7616	
  -35.3846	2.753E-11	8.042E+8	   20.0013	   21.4738	   22.5819	   -0.7612	
  -45.5128	2.218E-11	9.877E+7	   20.0013	   21.4701	   22.5762	   -0.7677	
  -55.6410	1.879E-11	1.948E+9	   20.0013	   21.4678	   22.5740	   -0.7710	
  -65.7692	1.735E-11	2.354E+9	   20.0013	   21.4678	   22.5708	   -0.7729	
  -75.8974	1.620E-11	2.543E+9	   20.0039	   21.4674	   22.5734	   -0.7717	
  -86.0256	1.527E-11	2.714E+9	   20.0039	   21.4700	   22.5718	   -0.7705	
  -96.1538	1.448E-11	2.744E+9	   20.0039	   21.4710	   22.5756	   -0.7674	
 -106.2821	1.381E-11	2.748E+9	   20.0039	   21.4705	   22.5661	   -0.7736	
 -116.4103	1.322E-11	3.220E+9	   20.0039	   21.4685	   22.5762	   -0.7691	
 -126.5385	1.271E-11	3.441E+9	   20.0039	   21.4715	   22.5775	   -0.7658	
 -136.6667	1.226E-11	3.995E+9	   20.0039	   21.4685	   22.5879	   -0.7620	
 -146.7949	1.185E-11	3.665E+9	   20.0013	   21.4694	   22.5699	   -0.7722	
 -156.9231	1.148E-11	3.367E+9	   20.0013	   21.4729	   22.5667	   -0.7712	
 -167.0513	1.114E-11	3.696E+9	   20.0013	   21.4718	   22.5658	   -0.7726	
 -177.1795	1.082E-11	3.523E+9	   20.0013	   21.4682	   22.5582	   -0.7803	
 -187.3077	1.052E-11	4.433E+9	   19.9987	   21.4694	   22.5525	   -0.7827	
 -197.4359	1.023E-11	4.031E+9	   20.0013	   21.4694	   22.5591	   -0.7787	
 -207.5641	9.975E-12	4.295E+9	   20.0013	   21.4694	   22.5591	   -0.7787	
 -217.6923	9.794E-12	3.982E+9	   20.0013	   21.4722	   22.5604	   -0.7756	
 -227.8205	9.705E-12	4.283E+9	   20.0013	   21.4736	   22.5544	   -0.7780	
 -237.9487	9.655E-12	4.524E+9	   20.0013	   21.4707	   22.5484	   -0.7841	
 -248.0769	9.627E-12	4.205E+9	   20.0013	   21.4669	   22.5487	   -0.7871	
 -258.2051	9.607E-12	4.624E+9	   20.0013	   21.4669	   22.5487	   -0.7871	
 -268.3333	9.587E-12	4.431E+9	   20.0013	   21.4671	   22.5421	   -0.7910	
 -278.4615	9.583E-12	4.383E+9	   20.0013	   21.4708	   22.5262	   -0.7974	
 -288.5898	9.572E-12	4.375E+9	   20.0013	   21.4708	   22.5262	   -0.7974	
 -298.7180	9.565E-12	4.599E+9	   20.0013	   21.4676	   22.5459	   -0.7882	
 -308.8462	9.556E-12	4.828E+9	   19.9987	   21.4646	   22.5367	   -0.7963	
 -318.9744	9.548E-12	4.992E+9	   19.9987	   21.4637	   22.5395	   -0.7954	
 -329.1026	9.542E-12	4.368E+9	   19.9987	   21.4654	   22.5414	   -0.7928	
 -339.2308	9.537E-12	4.678E+9	   19.9987	   21.4632	   22.5455	   -0.7920	
 -349.3590	9.532E-12	4.574E+9	   19.9987	   21.4632	   22.5455	   -0.7920	
 -359.4872	9.533E-12	4.305E+9	   20.0013	   21.4649	   22.5601	   -0.7818	
 -369.6154	9.527E-12	4.253E+9	   20.0013	   21.4649	   22.5601	   -0.7818	
 -379.7436	9.522E-12	4.854E+9	   19.9987	   21.4668	   22.5626	   -0.7787	
 -389.8718	9.520E-12	4.620E+9	   20.0013	   21.4669	   22.5569	   -0.7821	
 -400.0000	9.520E-12	4.695E+9	   19.9987	   21.4685	   22.5670	   -0.7746	
 -410.0000	9.515E-12	4.339E+9	   19.9987	   21.4685	   22.5813	   -0.7660	
 -431.1111	9.512E-12	4.752E+9	   19.9987	   21.4664	   22.5816	   -0.7676	
 -452.2222	9.504E-12	4.760E+9	   20.0013	   21.4676	   22.5819	   -0.7664	
 -473.3333	9.507E-12	5.308E+9	   20.0013	   21.4634	   22.5756	   -0.7737	
 -494.4445	9.502E-12	4.339E+9	   20.0039	   21.4668	   22.5860	   -0.7646	
 -515.5555	9.497E-12	5.108E+9	   20.0039	   21.4668	   22.5860	   -0.7646	
 -536.6666	9.496E-12	4.625E+9	   20.0013	   21.4708	   22.5756	   -0.7675	
 -557.7777	9.493E-12	4.846E+9	   20.0039	   21.4678	   22.5848	   -0.7645	
 -578.8888	9.489E-12	4.952E+9	   20.0013	   21.4659	   22.5832	   -0.7670	
 -599.9999	9.488E-12	4.693E+9	   20.0013	   21.4679	   22.5860	   -0.7636	
