GCD Test
Bias: 5000.000000
IV_38212_001_PSS_HM_XX_DIODE
Date/Time: 12/21/2021 2:28:07 PM
Sensor Name: 38212_001_DIODE
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.2300E-10	-2.2300E-10	-1.805682E-10	-1.805682E-10	   20.0013	   21.6951	   22.1287	   -0.8533	
  -20.0000	-2.6300E-10	-2.6300E-10	-1.931413E-10	-1.931413E-10	   20.0013	   21.6891	   22.1467	   -0.8471	
  -30.0000	-1.9700E-10	-1.9700E-10	-2.086080E-10	-2.086080E-10	   20.0013	   21.6858	   22.1512	   -0.8472	
  -40.0000	-3.5900E-10	-3.5900E-10	-2.299804E-10	-2.299804E-10	   20.0013	   21.6858	   22.1645	   -0.8472	
  -50.0000	-4.3600E-10	-4.3600E-10	-2.511876E-10	-2.511876E-10	   20.0039	   21.6907	   22.1629	   -0.8349	
  -60.0000	-4.9300E-10	-4.9300E-10	-2.614945E-10	-2.614945E-10	   20.0013	   21.6944	   22.1705	   -0.8328	
  -70.0000	-3.8700E-10	-3.8700E-10	-2.727836E-10	-2.727836E-10	   20.0013	   21.6933	   22.1790	   -0.8290	
  -80.0000	-5.4200E-10	-5.4200E-10	-2.775985E-10	-2.775985E-10	   20.0013	   21.6921	   22.1790	   -0.8248	
  -90.0000	-4.8600E-10	-4.8600E-10	-2.814979E-10	-2.814979E-10	   20.0013	   21.6897	   22.1730	   -0.8304	
 -100.0000	-5.1600E-10	-5.1600E-10	-2.850840E-10	-2.850840E-10	   20.0013	   21.6936	   22.1831	   -0.8209	
 -110.0000	-5.4500E-10	-5.4500E-10	-2.881819E-10	-2.881819E-10	   20.0013	   21.6963	   22.1888	   -0.8152	
 -120.0000	-5.5700E-10	-5.5700E-10	-2.919126E-10	-2.919126E-10	   20.0039	   21.6951	   22.1898	   -0.8156	
 -130.0000	-5.6900E-10	-5.6900E-10	-2.947616E-10	-2.947616E-10	   20.0039	   21.6963	   22.1977	   -0.8098	
 -140.0000	-7.0400E-10	-7.0400E-10	-2.983906E-10	-2.983906E-10	   20.0039	   21.6879	   22.2021	   -0.8141	
