GCD Test
Bias: 5000.000000
CV_38212_044_PSS_HM_XX_DIODEHALF
Date/Time: 12/21/2021 4:21:53 PM
Sensor Name: 38212_044_DIODEHALF
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.917E-11	3.471E+9	   20.0013	   21.4845	   20.0275	   -2.3817	
  -20.0000	1.311E-11	4.163E+9	   20.0013	   21.4845	   20.0199	   -2.3868	
  -30.0000	9.687E-12	3.807E+9	   20.0013	   21.4846	   20.0092	   -2.3940	
  -40.0000	7.254E-12	5.410E+9	   20.0013	   21.4894	   20.0123	   -2.3879	
  -50.0000	6.392E-12	5.559E+9	   20.0013	   21.4882	   20.0101	   -2.3904	
  -60.0000	4.196E-12	1.371E+9	   19.9987	   21.4889	   20.0006	   -2.3962	
  -70.0000	3.859E-12	3.587E+9	   19.9987	   21.4921	   19.9981	   -2.3952	
  -80.0000	3.605E-12	3.661E+9	   19.9987	   21.4889	   19.9949	   -2.4000	
  -90.0000	3.395E-12	4.218E+9	   20.0013	   21.4904	   19.9889	   -2.4028	
 -100.0000	3.223E-12	4.658E+9	   20.0013	   21.4932	   19.9975	   -2.3947	
 -110.0000	3.068E-12	4.434E+9	   20.0013	   21.4898	   19.9734	   -2.4138	
 -120.0000	2.935E-12	5.606E+9	   20.0013	   21.4891	   19.9883	   -2.4044	
 -130.0000	2.821E-12	5.910E+9	   20.0013	   21.4930	   19.9791	   -2.4073	
 -140.0000	2.717E-12	6.225E+9	   19.9987	   21.4874	   19.9775	   -2.4130	
 -150.0000	2.623E-12	5.430E+9	   19.9987	   21.4864	   19.9877	   -2.4070	
 -160.0000	2.534E-12	4.997E+9	   19.9987	   21.4878	   19.9994	   -2.3980	
 -170.0000	2.456E-12	6.480E+9	   19.9987	   21.4895	   19.9864	   -2.4053	
 -180.0000	2.383E-12	5.583E+9	   20.0013	   21.4927	   19.9855	   -2.4033	
 -190.0000	2.309E-12	5.741E+9	   20.0013	   21.4927	   19.9902	   -2.4001	
 -200.0000	2.242E-12	6.220E+9	   20.0013	   21.4916	   19.9934	   -2.3988	
 -210.0000	2.181E-12	6.219E+9	   20.0013	   21.4904	   19.9943	   -2.3992	
 -220.0000	2.146E-12	6.379E+9	   20.0013	   21.4882	   19.9902	   -2.4038	
 -230.0000	2.130E-12	6.368E+9	   20.0013	   21.4885	   20.0013	   -2.3961	
 -240.0000	2.116E-12	6.911E+9	   20.0013	   21.4885	   20.0013	   -2.3961	
 -250.0000	2.104E-12	7.090E+9	   19.9987	   21.4870	   19.9965	   -2.4005	
 -260.0000	2.101E-12	7.466E+9	   19.9987	   21.4861	   19.9965	   -2.4013	
 -270.0000	2.096E-12	6.538E+9	   19.9961	   21.4835	   20.0022	   -2.3995	
 -280.0000	2.092E-12	7.379E+9	   19.9961	   21.4908	   19.9918	   -2.4006	
 -290.0000	2.090E-12	8.719E+9	   19.9987	   21.4916	   20.0019	   -2.3931	
 -300.0000	2.088E-12	8.698E+9	   20.0013	   21.4876	   19.9937	   -2.4019	
 -310.0000	2.086E-12	8.962E+9	   20.0013	   21.4924	   19.9959	   -2.3965	
 -320.0000	2.085E-12	8.074E+9	   20.0039	   21.4924	   19.9965	   -2.3961	
 -330.0000	2.083E-12	7.584E+9	   20.0039	   21.4883	   19.9991	   -2.3977	
 -340.0000	2.081E-12	8.899E+9	   20.0039	   21.4853	   19.9953	   -2.4028	
 -350.0000	2.079E-12	8.410E+9	   20.0039	   21.4853	   20.0044	   -2.3966	
 -360.0000	2.079E-12	8.416E+9	   20.0013	   21.4886	   19.9946	   -2.4005	
 -370.0000	2.079E-12	8.170E+9	   20.0013	   21.4886	   19.9934	   -2.4013	
 -380.0000	2.076E-12	8.269E+9	   20.0013	   21.4908	   19.9994	   -2.3954	
 -390.0000	2.074E-12	8.091E+9	   20.0013	   21.4916	   20.0082	   -2.3888	
 -400.0000	2.076E-12	9.778E+9	   20.0013	   21.4912	   20.0028	   -2.3928	
 -420.0000	2.074E-12	7.701E+9	   20.0013	   21.4903	   19.9965	   -2.3978	
 -440.0000	2.069E-12	8.362E+9	   20.0013	   21.4878	   20.0089	   -2.3916	
 -460.0000	2.070E-12	8.013E+9	   20.0013	   21.4891	   19.9994	   -2.3968	
 -480.0000	2.071E-12	8.526E+9	   20.0013	   21.4910	   19.9921	   -2.4002	
 -500.0000	2.070E-12	8.669E+9	   19.9987	   21.4844	   20.0044	   -2.3974	
 -520.0000	2.069E-12	8.266E+9	   19.9987	   21.4905	   20.0009	   -2.3946	
 -540.0000	2.067E-12	7.852E+9	   19.9987	   21.4906	   20.0013	   -2.3944	
 -560.0000	2.069E-12	9.721E+9	   19.9987	   21.4865	   19.9991	   -2.3993	
 -580.0000	2.065E-12	8.020E+9	   20.0013	   21.4865	   20.0082	   -2.3931	
 -600.0000	2.065E-12	8.773E+9	   20.0039	   21.4882	   20.0060	   -2.3931	
