GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_200min
Date/Time: 8/24/2021 2:52:55 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed at 60C for 400 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	6.020E-11	1.905E-11	3.110E+6	1.677E+6	  -19.9931	   10.4776	    3.0345	  -32.8107	
    2.0000	6.052E-11	1.907E-11	3.104E+6	1.667E+6	  -19.9855	   10.4273	    3.0297	  -32.8610	
    3.0000	6.043E-11	1.906E-11	3.106E+6	1.670E+6	  -19.9677	   10.4681	    3.0364	  -32.8108	
    4.0000	6.010E-11	1.907E-11	3.112E+6	1.664E+6	  -19.9550	   10.3998	    3.0272	  -32.8883	
    5.0000	6.015E-11	1.906E-11	3.111E+6	1.673E+6	  -19.9855	   10.4325	    3.0361	  -32.8361	
    6.0000	5.987E-11	1.906E-11	3.116E+6	1.672E+6	  -19.9804	   10.4316	    3.0316	  -32.8516	
    7.0000	6.002E-11	1.906E-11	3.114E+6	1.669E+6	  -20.0008	   10.4200	    3.0291	  -32.8681	
    8.0000	5.993E-11	1.905E-11	3.116E+6	1.683E+6	  -20.0084	   10.3253	    3.0202	  -32.9627	
    9.0000	6.007E-11	1.904E-11	3.113E+6	1.688E+6	  -20.0109	   10.3624	    3.0215	  -32.9331	
   10.0000	5.996E-11	1.905E-11	3.115E+6	1.678E+6	  -20.0211	   10.4362	    3.0262	  -32.8667	
   20.0000	6.028E-11	1.906E-11	3.109E+6	1.673E+6	  -20.0465	   10.3772	    3.0225	  -32.9198	
   30.0000	6.025E-11	1.905E-11	3.109E+6	1.679E+6	  -20.0338	   10.2985	    3.0035	  -33.0378	
   40.0000	6.042E-11	1.907E-11	3.105E+6	1.668E+6	  -20.0084	   10.3731	    3.0082	  -32.9708	
   50.0000	6.031E-11	1.905E-11	3.107E+6	1.679E+6	  -19.9982	   10.3484	    2.9987	  -33.0200	
   60.0000	5.979E-11	1.907E-11	3.131E+6	1.669E+6	  -19.9855	   10.2833	    3.0019	  -33.0536	
   70.0000	5.872E-11	1.906E-11	3.223E+6	1.697E+6	  -19.9652	   10.2579	    3.0041	  -33.0634	
   80.0000	5.840E-11	1.906E-11	3.276E+6	1.706E+6	  -19.9524	   10.3045	    2.9896	  -33.0812	
   90.0000	5.353E-11	1.898E-11	4.297E+6	1.921E+6	  -19.9626	   10.3304	    2.9896	  -33.0635	
  100.0000	4.837E-11	1.919E-11	5.162E+6	1.861E+6	  -19.9652	   10.2983	    3.0035	  -33.0380	
  120.0000	5.011E-11	1.907E-11	4.835E+6	2.051E+6	  -19.9957	   10.3585	    3.0003	  -33.0077	
  140.0000	3.659E-11	1.881E-11	6.401E+6	2.959E+6	  -19.9982	   10.3155	    2.9902	  -33.0715	
  160.0000	3.548E-11	1.868E-11	9.045E+6	3.278E+6	  -20.0160	   10.3535	    2.9965	  -33.0241	
  180.0000	3.276E-11	1.864E-11	9.957E+6	3.463E+6	  -20.0160	   10.3491	    2.9981	  -33.0217	
  200.0000	3.381E-11	1.861E-11	1.117E+7	3.594E+6	  -20.0262	   10.3061	    2.9915	  -33.0737	
  220.0000	3.134E-11	1.854E-11	1.099E+7	3.932E+6	  -20.0364	   10.3112	    3.0051	  -33.0238	
  240.0000	3.072E-11	1.850E-11	1.127E+7	4.195E+6	  -20.0389	   10.2817	    3.0073	  -33.0364	
  260.0000	2.933E-11	1.846E-11	1.171E+7	4.424E+6	  -20.0415	   10.2668	    3.0095	  -33.0391	
  280.0000	2.788E-11	1.844E-11	1.383E+7	4.622E+6	  -20.0313	   10.3388	    3.0035	  -33.0104	
  300.0000	2.883E-11	1.840E-11	1.239E+7	4.875E+6	  -20.0033	   10.2758	    3.0092	  -33.0340	
  320.0000	2.812E-11	1.838E-11	1.501E+7	5.102E+6	  -19.9931	   10.2606	    3.0133	  -33.0305	
  340.0000	2.735E-11	1.835E-11	1.437E+7	5.322E+6	  -19.9830	   10.2424	    3.0082	  -33.0600	
  360.0000	2.659E-11	1.832E-11	1.458E+7	5.579E+6	  -19.9575	   10.2648	    3.0035	  -33.0609	
  380.0000	2.610E-11	1.830E-11	1.512E+7	5.831E+6	  -19.9550	   10.2787	    2.9984	  -33.0686	
  400.0000	2.620E-11	1.827E-11	1.590E+7	6.129E+6	  -19.9550	   10.2523	    2.9975	  -33.0899	
  420.0000	2.606E-11	1.824E-11	1.651E+7	6.412E+6	  -19.9702	   10.2705	    2.9934	  -33.0914	
  440.0000	2.591E-11	1.821E-11	1.885E+7	6.772E+6	  -19.9830	   10.2317	    2.9842	  -33.1492	
  460.0000	2.507E-11	1.817E-11	1.791E+7	7.147E+6	  -20.0059	   10.2693	    2.9823	  -33.1301	
  480.0000	2.453E-11	1.816E-11	1.807E+7	7.540E+6	  -20.0059	   10.1542	    2.9807	  -33.2140	
  500.0000	2.395E-11	1.814E-11	1.968E+7	7.915E+6	  -20.0364	   10.1883	    2.9731	  -33.2167	
  520.0000	2.365E-11	1.811E-11	2.068E+7	8.399E+6	  -20.0338	   10.2240	    2.9769	  -33.1793	
  540.0000	2.358E-11	1.810E-11	2.197E+7	8.857E+6	  -20.0364	   10.2744	    2.9766	  -33.1461	
  560.0000	2.315E-11	1.807E-11	2.283E+7	9.421E+6	  -20.0262	   10.2862	    2.9738	  -33.1478	
  580.0000	2.260E-11	1.805E-11	2.322E+7	1.002E+7	  -20.0033	   10.2911	    2.9880	  -33.0958	
  600.0000	2.297E-11	1.804E-11	2.484E+7	1.068E+7	  -19.9906	   10.2909	    2.9870	  -33.0991	
  620.0000	2.198E-11	1.802E-11	2.616E+7	1.134E+7	  -19.9524	   10.2461	    2.9873	  -33.1286	
  640.0000	2.182E-11	1.801E-11	2.669E+7	1.228E+7	  -19.9499	   10.2015	    2.9801	  -33.1839	
  660.0000	2.165E-11	1.799E-11	2.833E+7	1.312E+7	  -19.9575	   10.1072	    2.9709	  -33.2796	
  680.0000	2.137E-11	1.799E-11	3.275E+7	1.408E+7	  -19.9855	   10.1548	    2.9763	  -33.2287	
  700.0000	2.102E-11	1.797E-11	3.637E+7	1.514E+7	  -19.9906	   10.1534	    2.9687	  -33.2557	
  720.0000	2.080E-11	1.797E-11	3.219E+7	1.616E+7	  -20.0109	   10.1720	    2.9681	  -33.2452	
  740.0000	2.053E-11	1.796E-11	3.606E+7	1.742E+7	  -20.0465	   10.1621	    2.9611	  -33.2759	
  760.0000	2.019E-11	1.795E-11	3.868E+7	1.901E+7	  -20.0389	   10.0652	    2.9589	  -33.3495	
  780.0000	2.107E-11	1.795E-11	4.667E+7	1.968E+7	  -20.0440	   10.0652	    2.9503	  -33.3789	
  800.0000	1.976E-11	1.794E-11	4.715E+7	2.110E+7	  -20.0415	   10.1215	    2.9513	  -33.3373	
  820.0000	1.946E-11	1.796E-11	5.286E+7	2.227E+7	  -20.0313	   10.1201	    2.9567	  -33.3198	
  840.0000	1.988E-11	1.795E-11	5.192E+7	2.365E+7	  -20.0135	   10.1201	    2.9472	  -33.3525	
  860.0000	1.918E-11	1.794E-11	5.645E+7	2.453E+7	  -19.9855	   10.0849	    2.9491	  -33.3699	
  880.0000	1.918E-11	1.796E-11	5.006E+7	2.514E+7	  -19.9728	   10.0704	    2.9418	  -33.4049	
  900.0000	1.932E-11	1.798E-11	6.219E+7	2.617E+7	  -19.9524	   10.0984	    2.9390	  -33.3957	
  920.0000	1.934E-11	1.799E-11	5.074E+7	2.616E+7	  -19.9473	   10.0754	    2.9311	  -33.4387	
  940.0000	1.911E-11	1.802E-11	5.695E+7	2.616E+7	  -19.9702	   10.0064	    2.9295	  -33.4912	
  960.0000	1.939E-11	1.804E-11	5.919E+7	2.617E+7	  -19.9677	   10.0581	    2.9273	  -33.4637	
  980.0000	1.909E-11	1.806E-11	5.747E+7	2.564E+7	  -20.0033	   10.0864	    2.9257	  -33.4499	
 1000.0000	1.930E-11	1.810E-11	5.096E+7	2.457E+7	  -20.0211	   10.1253	    2.9175	  -33.4521	
 1020.0000	1.943E-11	1.813E-11	5.010E+7	2.316E+7	  -20.0389	   10.1659	    2.9175	  -33.4245	
 1040.0000	1.942E-11	1.816E-11	4.492E+7	2.145E+7	  -20.0389	   10.1111	    2.9159	  -33.4673	
 1060.0000	1.961E-11	1.821E-11	4.154E+7	1.996E+7	  -20.0516	   10.0628	    2.9102	  -33.5200	
 1080.0000	1.978E-11	1.827E-11	4.050E+7	1.797E+7	  -20.0440	   10.0861	    2.9111	  -33.5008	
