GCD Test
Bias: 5000.000000
CV_D0_CO140_LargeDiode_GRConnected_Irradiated_70min
Date/Time: 9/17/2021 1:10:47 PM
Sensor Name: CO140
Type: N
Annealing Status: Irradiated and Annealed at 60C for 70 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	2.447E-11	1.828E-11	1.891E+6	1.799E+6	  -19.8456	    9.1487	    7.1433	  -24.6495	
    2.0000	2.836E-11	1.834E-11	1.959E+6	1.824E+6	  -19.9423	    9.0888	    7.0753	  -24.7998	
    3.0000	3.078E-11	1.838E-11	2.019E+6	1.841E+6	  -19.9753	    9.0712	    6.9554	  -25.0015	
    4.0000	3.257E-11	1.841E-11	2.065E+6	1.853E+6	  -19.9880	    9.1439	    6.9073	  -25.0239	
    5.0000	3.398E-11	1.844E-11	2.114E+6	1.847E+6	  -19.9982	    9.1577	    6.8112	  -25.1681	
    6.0000	3.524E-11	1.846E-11	2.143E+6	1.862E+6	  -19.9880	    9.1185	    6.7676	  -25.2679	
    7.0000	3.627E-11	1.848E-11	2.175E+6	1.874E+6	  -19.9702	    9.1160	    6.7182	  -25.3502	
    8.0000	3.695E-11	1.850E-11	2.221E+6	1.871E+6	  -19.9499	    9.1548	    6.6309	  -25.4651	
    9.0000	3.776E-11	1.852E-11	2.251E+6	1.874E+6	  -19.9423	    9.1154	    6.5765	  -25.5846	
   10.0000	3.829E-11	1.854E-11	2.291E+6	1.892E+6	  -19.9372	    9.0747	    6.5206	  -25.7084	
   20.0000	4.137E-11	1.865E-11	2.651E+6	1.988E+6	  -19.9473	    9.0780	    6.4807	  -25.7731	
   30.0000	4.212E-11	1.873E-11	2.964E+6	2.058E+6	  -19.9550	    9.0991	    6.3751	  -25.9373	
   40.0000	4.208E-11	1.879E-11	3.249E+6	2.144E+6	  -19.9702	    9.0976	    6.3280	  -26.0194	
   50.0000	4.185E-11	1.883E-11	3.506E+6	2.206E+6	  -19.9804	    9.0292	    6.2903	  -26.1349	
   60.0000	4.130E-11	1.885E-11	3.763E+6	2.293E+6	  -20.0135	    9.0133	    6.2065	  -26.2928	
   70.0000	4.074E-11	1.887E-11	4.005E+6	2.362E+6	  -20.0186	    9.0548	    6.1834	  -26.3029	
   80.0000	4.017E-11	1.890E-11	4.234E+6	2.418E+6	  -20.0262	    9.0497	    6.1297	  -26.4017	
   90.0000	3.960E-11	1.892E-11	4.457E+6	2.479E+6	  -20.0237	    8.9929	    6.0579	  -26.5715	
  100.0000	3.895E-11	1.892E-11	4.683E+6	2.556E+6	  -20.0237	    8.9800	    6.0417	  -26.6099	
  120.0000	3.790E-11	1.895E-11	5.104E+6	2.672E+6	  -20.0211	    8.9613	    6.0054	  -26.6892	
  140.0000	3.684E-11	1.894E-11	5.504E+6	2.817E+6	  -20.0135	    8.9631	    5.9579	  -26.7739	
  160.0000	3.598E-11	1.892E-11	5.869E+6	2.955E+6	  -20.0033	    9.0089	    5.9273	  -26.7963	
  180.0000	3.502E-11	1.891E-11	6.255E+6	3.092E+6	  -19.9702	    9.0089	    5.8994	  -26.8473	
  200.0000	3.416E-11	1.888E-11	6.625E+6	3.256E+6	  -19.9702	    8.9672	    5.8707	  -26.9309	
  220.0000	3.338E-11	1.885E-11	6.986E+6	3.409E+6	  -19.9728	    8.9688	    5.8387	  -26.9887	
  240.0000	3.264E-11	1.881E-11	7.352E+6	3.594E+6	  -19.9880	    8.9688	    5.8172	  -27.0286	
  260.0000	3.186E-11	1.876E-11	7.703E+6	3.781E+6	  -19.9931	    8.9317	    5.8017	  -27.0846	
  280.0000	3.115E-11	1.872E-11	8.089E+6	3.985E+6	  -19.9982	    8.9317	    5.7600	  -27.1626	
  300.0000	3.050E-11	1.868E-11	8.487E+6	4.185E+6	  -20.0059	    8.9053	    5.7688	  -27.1653	
  320.0000	2.988E-11	1.864E-11	8.879E+6	4.423E+6	  -20.0237	    8.9022	    5.7460	  -27.2103	
  340.0000	2.932E-11	1.860E-11	9.286E+6	4.661E+6	  -20.0389	    8.9386	    5.7264	  -27.2207	
  360.0000	2.877E-11	1.856E-11	9.710E+6	4.927E+6	  -20.0415	    8.9360	    5.7151	  -27.2441	
  380.0000	2.821E-11	1.853E-11	1.017E+7	5.221E+6	  -20.0338	    8.9809	    5.6803	  -27.2772	
  400.0000	2.762E-11	1.849E-11	1.069E+7	5.551E+6	  -20.0262	    8.9877	    5.6499	  -27.3301	
  420.0000	2.711E-11	1.846E-11	1.122E+7	5.909E+6	  -20.0084	    9.0513	    5.6094	  -27.3613	
  440.0000	2.656E-11	1.843E-11	1.184E+7	6.283E+6	  -19.9804	    8.9238	    5.5778	  -27.5151	
  460.0000	2.593E-11	1.839E-11	1.261E+7	6.806E+6	  -19.9779	    8.9060	    5.5440	  -27.5935	
  480.0000	2.537E-11	1.836E-11	1.340E+7	7.373E+6	  -19.9830	    8.8839	    5.5285	  -27.6396	
  500.0000	2.485E-11	1.832E-11	1.423E+7	7.974E+6	  -19.9880	    8.9531	    5.4981	  -27.6486	
  520.0000	2.427E-11	1.828E-11	1.527E+7	8.661E+6	  -19.9702	    8.9406	    5.4791	  -27.6948	
