GCD Test
Bias: 5000.000000
CV_D0_CO142_LargeDiode_GRConnected_Irradiated_60min
Date/Time: 9/2/2021 1:05:41 PM
Sensor Name: CO142
Type: N
Annealing Status: Irradiated and Annealed at 60C for 60 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	1.994E-11	1.827E-11	1.803E+6	1.762E+6	  -20.0186	    9.8904	    3.7230	  -31.1057	
    2.0000	2.455E-11	1.834E-11	1.892E+6	1.791E+6	  -20.0287	    9.8268	    3.7236	  -31.1483	
    3.0000	2.715E-11	1.837E-11	1.930E+6	1.812E+6	  -20.0262	    9.8449	    3.7185	  -31.1498	
    4.0000	2.888E-11	1.841E-11	1.966E+6	1.811E+6	  -20.0211	    9.8735	    3.7087	  -31.1574	
    5.0000	3.009E-11	1.842E-11	2.015E+6	1.837E+6	  -20.0338	    9.9128	    3.6939	  -31.1717	
    6.0000	3.119E-11	1.845E-11	2.046E+6	1.838E+6	  -20.0389	    9.9306	    3.6863	  -31.1807	
    7.0000	3.213E-11	1.846E-11	2.076E+6	1.854E+6	  -20.0415	    9.9556	    3.6904	  -31.1517	
    8.0000	3.307E-11	1.848E-11	2.094E+6	1.865E+6	  -20.0313	   10.0449	    3.7040	  -31.0511	
    9.0000	3.379E-11	1.849E-11	2.122E+6	1.881E+6	  -20.0160	    9.9556	    3.7062	  -31.1072	
   10.0000	3.418E-11	1.852E-11	2.171E+6	1.864E+6	  -20.0084	   10.0189	    3.7223	  -31.0179	
   20.0000	3.837E-11	1.863E-11	2.421E+6	1.937E+6	  -19.9906	   10.0599	    3.7394	  -30.9416	
   30.0000	4.002E-11	1.871E-11	2.656E+6	1.990E+6	  -19.9779	   10.0273	    3.7653	  -30.8922	
   40.0000	4.060E-11	1.875E-11	2.872E+6	2.066E+6	  -19.9804	   10.0273	    3.7704	  -30.8782	
   50.0000	4.084E-11	1.879E-11	3.067E+6	2.130E+6	  -19.9830	   10.1310	    3.7783	  -30.7840	
   60.0000	4.076E-11	1.883E-11	3.262E+6	2.180E+6	  -19.9855	   10.1241	    3.7748	  -30.7984	
   70.0000	4.059E-11	1.886E-11	3.444E+6	2.238E+6	  -19.9931	   10.1726	    3.7887	  -30.7262	
   80.0000	4.034E-11	1.889E-11	3.619E+6	2.279E+6	  -19.9855	   10.2008	    3.7944	  -30.6908	
   90.0000	3.987E-11	1.889E-11	3.804E+6	2.365E+6	  -19.9880	   10.1984	    3.8121	  -30.6438	
  100.0000	3.949E-11	1.890E-11	3.973E+6	2.416E+6	  -19.9957	   10.1436	    3.8178	  -30.6665	
  120.0000	3.832E-11	1.894E-11	4.356E+6	2.513E+6	  -19.9931	   10.1482	    3.8261	  -30.6408	
  140.0000	3.772E-11	1.892E-11	4.642E+6	2.658E+6	  -20.0211	   10.2668	    3.8276	  -30.5535	
  160.0000	3.676E-11	1.893E-11	4.959E+6	2.747E+6	  -20.0237	   10.2668	    3.8378	  -30.5259	
  180.0000	3.620E-11	1.891E-11	5.223E+6	2.866E+6	  -20.0262	   10.3006	    3.8466	  -30.4782	
  200.0000	3.567E-11	1.892E-11	5.476E+6	2.942E+6	  -20.0313	   10.3006	    3.8469	  -30.4773	
  220.0000	3.502E-11	1.891E-11	5.749E+6	3.039E+6	  -20.0313	   10.3379	    3.8738	  -30.3783	
  240.0000	3.445E-11	1.889E-11	6.002E+6	3.161E+6	  -20.0364	   10.2895	    3.8922	  -30.3627	
  260.0000	3.380E-11	1.888E-11	6.276E+6	3.246E+6	  -20.0338	   10.2711	    3.9039	  -30.3441	
  280.0000	3.343E-11	1.887E-11	6.485E+6	3.350E+6	  -20.0262	   10.2757	    3.9102	  -30.3239	
