GCD Test
Bias: 5000.000000
IV_D0_CO143_LargeDiode_GRConnected_Irradiated_90min
Date/Time: 9/30/2021 12:19:10 PM
Sensor Name: CO143
Type: N
Annealing Status: Irradiated and Annealed at 60C for 90 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 5.4065E-7	 5.4090E-7	 5.3950E-7	 5.4140E-7	 5.4080E-7	5.045566E-7	5.031207E-7	5.056736E-7	5.043296E-7	5.051025E-7	  -20.0389	   14.2100	    3.3884	  -29.1047	
    2.0000	 8.5920E-7	 8.6010E-7	 8.6200E-7	 8.5810E-7	 8.5660E-7	7.906356E-7	7.875659E-7	7.914463E-7	7.926864E-7	7.908438E-7	  -20.0211	   14.1938	    3.3719	  -29.1675	
    3.0000	 1.0552E-6	 1.0540E-6	 1.0580E-6	 1.0560E-6	 1.0530E-6	9.683839E-7	9.670997E-7	9.659658E-7	9.685168E-7	9.719533E-7	  -20.0033	   14.2080	    3.3801	  -29.1319	
    4.0000	 1.2193E-6	 1.2210E-6	 1.2160E-6	 1.2200E-6	 1.2200E-6	1.115462E-6	1.113680E-6	1.114605E-6	1.115391E-6	1.118171E-6	  -20.0033	   14.2384	    3.3811	  -29.1080	
    5.0000	 1.3665E-6	 1.3640E-6	 1.3670E-6	 1.3650E-6	 1.3700E-6	1.247839E-6	1.247828E-6	1.245429E-6	1.248037E-6	1.250062E-6	  -20.0008	   14.2962	    3.3839	  -29.0594	
    6.0000	 1.5030E-6	 1.5010E-6	 1.5020E-6	 1.5050E-6	 1.5040E-6	1.372373E-6	1.370304E-6	1.375029E-6	1.371107E-6	1.373053E-6	  -19.9830	   14.2788	    3.3795	  -29.0852	
    7.0000	 1.6268E-6	 1.6250E-6	 1.6300E-6	 1.6290E-6	 1.6230E-6	1.478673E-6	1.479533E-6	1.475175E-6	1.475163E-6	1.484821E-6	  -19.9931	   14.1955	    3.3586	  -29.2081	
    8.0000	 1.7408E-6	 1.7420E-6	 1.7410E-6	 1.7400E-6	 1.7400E-6	1.587790E-6	1.591548E-6	1.586278E-6	1.587327E-6	1.586007E-6	  -19.9906	   14.2129	    3.3779	  -29.1354	
    9.0000	 1.8468E-6	 1.8460E-6	 1.8460E-6	 1.8430E-6	 1.8520E-6	1.685904E-6	1.692299E-6	1.688486E-6	1.684346E-6	1.678485E-6	  -20.0033	   14.3486	    3.3650	  -29.0831	
   10.0000	 1.9517E-6	 1.9550E-6	 1.9440E-6	 1.9530E-6	 1.9550E-6	1.777432E-6	1.786262E-6	1.777063E-6	1.776114E-6	1.770288E-6	  -19.9906	   14.3837	    3.3738	  -29.0311	
   20.0000	 2.8430E-6	 2.8390E-6	 2.8450E-6	 2.8490E-6	 2.8390E-6	2.567072E-6	2.562888E-6	2.566618E-6	2.572139E-6	2.566644E-6	  -19.9906	   14.3475	    3.3836	  -29.0252	
   30.0000	 3.5745E-6	 3.5800E-6	 3.5770E-6	 3.5790E-6	 3.5620E-6	3.220568E-6	3.201867E-6	3.219179E-6	3.227954E-6	3.233273E-6	  -19.9880	   14.2874	    3.3621	  -29.1341	
   40.0000	 4.2215E-6	 4.2380E-6	 4.2160E-6	 4.2280E-6	 4.2040E-6	3.772344E-6	3.774067E-6	3.779021E-6	3.764303E-6	3.771985E-6	  -19.9982	   14.2381	    3.3624	  -29.1669	
   50.0000	 4.8358E-6	 4.8240E-6	 4.8310E-6	 4.8450E-6	 4.8430E-6	4.301199E-6	4.301332E-6	4.302835E-6	4.298362E-6	4.302266E-6	  -20.0491	   14.1934	    3.3602	  -29.2045	
   60.0000	 5.3915E-6	 5.3850E-6	 5.3840E-6	 5.3910E-6	 5.4060E-6	4.766761E-6	4.764595E-6	4.762108E-6	4.773886E-6	4.766453E-6	  -20.0440	   14.1385	    3.3871	  -29.1578	
   70.0000	 5.9330E-6	 5.9170E-6	 5.9320E-6	 5.9480E-6	 5.9350E-6	5.212956E-6	5.222216E-6	5.206070E-6	5.220297E-6	5.203243E-6	  -20.0567	   14.1483	    3.4026	  -29.1027	
   80.0000	 6.3970E-6	 6.4030E-6	 6.3860E-6	 6.3850E-6	 6.4140E-6	5.596095E-6	5.615396E-6	5.596887E-6	5.592107E-6	5.579990E-6	  -20.0491	   14.0562	    3.4453	  -29.0337	
   90.0000	 6.8893E-6	 6.8920E-6	 6.8770E-6	 6.8940E-6	 6.8940E-6	6.028680E-6	6.039308E-6	6.022555E-6	6.034670E-6	6.018186E-6	  -20.0516	   14.1223	    3.4548	  -28.9590	
  100.0000	 7.3412E-6	 7.3250E-6	 7.3490E-6	 7.3410E-6	 7.3500E-6	6.450813E-6	6.471933E-6	6.455213E-6	6.435661E-6	6.440447E-6	  -20.0593	   14.1589	    3.4396	  -28.9806	
  120.0000	 8.2095E-6	 8.1960E-6	 8.2170E-6	 8.2120E-6	 8.2130E-6	7.189718E-6	7.165481E-6	7.169558E-6	7.183724E-6	7.240107E-6	  -20.0542	   14.1197	    3.4355	  -29.0203	
  140.0000	 9.0667E-6	 9.0250E-6	 9.0530E-6	 9.1000E-6	 9.0890E-6	7.885044E-6	7.897028E-6	7.865036E-6	7.875369E-6	7.902742E-6	  -20.0415	   14.0741	    3.4026	  -29.1537	
  160.0000	 1.0860E-5	 1.0520E-5	 1.0730E-5	 1.0980E-5	 1.1210E-5	8.498734E-6	8.505571E-6	8.487003E-6	8.497009E-6	8.505354E-6	  -20.0287	   14.0741	    3.3843	  -29.2110	
