GCD Test
Bias: 5000.000000
IV_D0_CO144_LargeDiode_GRConnected_Irradiated
Date/Time: 7/29/2021 3:23:24 PM
Sensor Name: CO144
Type: N
Annealing Status: Irradiated not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 5.4532E-7	 5.4510E-7	 5.4670E-7	 5.4560E-7	 5.4390E-7	5.642641E-7	5.627097E-7	5.654924E-7	5.641940E-7	5.646604E-7	  -19.9906	    6.6894	    8.9298	  -24.0315	
    2.0000	 1.0357E-6	 1.0360E-6	 1.0390E-6	 1.0360E-6	 1.0320E-6	1.033480E-6	1.032542E-6	1.031269E-6	1.036324E-6	1.033786E-6	  -20.0109	    6.6367	    8.9247	  -24.0782	
    3.0000	 1.3468E-6	 1.3460E-6	 1.3430E-6	 1.3480E-6	 1.3500E-6	1.351809E-6	1.349326E-6	1.349940E-6	1.353598E-6	1.354372E-6	  -20.0618	    6.7195	    8.9507	  -23.9825	
    4.0000	 1.5780E-6	 1.5800E-6	 1.5820E-6	 1.5750E-6	 1.5750E-6	1.573741E-6	1.570948E-6	1.570989E-6	1.575012E-6	1.578015E-6	  -20.1432	    6.7765	    9.0639	  -23.7988	
    5.0000	 1.7782E-6	 1.7790E-6	 1.7740E-6	 1.7790E-6	 1.7810E-6	1.776365E-6	1.774748E-6	1.778039E-6	1.775786E-6	1.776886E-6	  -20.1814	    6.8624	    9.0980	  -23.6910	
    6.0000	 1.9518E-6	 1.9520E-6	 1.9590E-6	 1.9510E-6	 1.9450E-6	1.949980E-6	1.950626E-6	1.957384E-6	1.944921E-6	1.946991E-6	  -20.2322	    6.9050	    9.2008	  -23.5328	
    7.0000	 2.1143E-6	 2.1070E-6	 2.1120E-6	 2.1250E-6	 2.1130E-6	2.126956E-6	2.122300E-6	2.127383E-6	2.125347E-6	2.132796E-6	  -20.2755	    6.9523	    9.2644	  -23.4194	
    8.0000	 2.2795E-6	 2.2800E-6	 2.2880E-6	 2.2800E-6	 2.2700E-6	2.278956E-6	2.274033E-6	2.275532E-6	2.284981E-6	2.281278E-6	  -20.3085	    6.9470	    9.3340	  -23.3398	
    9.0000	 2.4382E-6	 2.4350E-6	 2.4470E-6	 2.4390E-6	 2.4320E-6	2.419672E-6	2.423352E-6	2.428315E-6	2.415559E-6	2.411462E-6	  -20.3238	    6.9035	    9.3855	  -23.3115	
   10.0000	 2.5720E-6	 2.5640E-6	 2.5700E-6	 2.5750E-6	 2.5790E-6	2.572944E-6	2.581252E-6	2.583326E-6	2.571781E-6	2.555415E-6	  -20.3492	    6.9725	    9.4273	  -23.2087	
   20.0000	 3.8447E-6	 3.8560E-6	 3.8500E-6	 3.8330E-6	 3.8400E-6	3.837435E-6	3.855364E-6	3.826558E-6	3.830154E-6	3.837662E-6	  -20.3619	    6.9529	    9.5104	  -23.1253	
   30.0000	 4.8927E-6	 4.8870E-6	 4.8800E-6	 4.8930E-6	 4.9110E-6	4.887973E-6	4.897370E-6	4.891523E-6	4.879128E-6	4.883870E-6	  -20.3441	    6.9529	    9.5569	  -23.0706	
   40.0000	 5.8295E-6	 5.8540E-6	 5.8240E-6	 5.8230E-6	 5.8170E-6	5.839899E-6	5.842594E-6	5.865140E-6	5.848182E-6	5.803681E-6	  -20.3390	    6.9838	    9.5775	  -23.0227	
   50.0000	 6.7080E-6	 6.6990E-6	 6.7000E-6	 6.7380E-6	 6.6950E-6	6.710364E-6	6.698416E-6	6.686397E-6	6.720771E-6	6.735873E-6	  -20.3136	    6.9822	    9.6240	  -22.9695	
   60.0000	 7.5383E-6	 7.5270E-6	 7.5240E-6	 7.5640E-6	 7.5380E-6	7.542811E-6	7.511852E-6	7.529994E-6	7.578660E-6	7.550739E-6	  -20.2856	    7.0058	    9.6619	  -22.9070	
   70.0000	 8.3235E-6	 8.3570E-6	 8.3430E-6	 8.3070E-6	 8.2870E-6	8.306733E-6	8.246542E-6	8.295428E-6	8.345477E-6	8.339483E-6	  -20.2551	    6.9955	    9.6746	  -22.9003	
   80.0000	 9.0998E-6	 9.0890E-6	 9.0910E-6	 9.1110E-6	 9.1080E-6	9.056094E-6	9.082602E-6	9.062467E-6	9.046145E-6	9.033164E-6	  -20.2221	    7.0359	    9.7024	  -22.8368	
   90.0000	 9.7990E-6	 9.8060E-6	 9.8040E-6	 9.8010E-6	 9.7850E-6	9.842812E-6	9.862612E-6	9.850923E-6	9.827420E-6	9.830293E-6	  -20.2042	    7.0002	    9.7075	  -22.8585	
  100.0000	 1.0522E-5	 1.0500E-5	 1.0520E-5	 1.0520E-5	 1.0550E-5	1.056049E-5	1.051160E-5	1.055299E-5	1.058853E-5	1.058886E-5	  -20.1534	    7.0079	    9.7170	  -22.8416	
  120.0000	 1.1883E-5	 1.1830E-5	 1.1880E-5	 1.1920E-5	 1.1900E-5	1.192614E-5	1.195653E-5	1.192126E-5	1.192319E-5	1.190358E-5	  -20.1152	    7.0342	    9.7460	  -22.7876	
  140.0000	 1.3135E-5	 1.3070E-5	 1.3140E-5	 1.3140E-5	 1.3190E-5	1.322607E-5	1.320093E-5	1.324201E-5	1.324776E-5	1.321357E-5	  -20.0847	    7.0486	    9.7590	  -22.7615	
  160.0000	 1.4380E-5	 1.4350E-5	 1.4340E-5	 1.4400E-5	 1.4430E-5	1.438060E-5	1.437427E-5	1.433597E-5	1.440011E-5	1.441204E-5	  -20.0567	    6.9721	    9.7701	  -22.8078	
  180.0000	 1.5580E-5	 1.5610E-5	 1.5500E-5	 1.5570E-5	 1.5640E-5	1.563543E-5	1.568163E-5	1.560130E-5	1.561772E-5	1.564107E-5	  -20.0135	    7.0174	    9.7764	  -22.7656	
  200.0000	 1.6800E-5	 1.6820E-5	 1.6830E-5	 1.6770E-5	 1.6780E-5	1.678640E-5	1.678276E-5	1.675627E-5	1.682845E-5	1.677814E-5	  -19.9880	    6.9899	    9.7916	  -22.7694	
  220.0000	 1.7890E-5	 1.7920E-5	 1.7880E-5	 1.7870E-5	 1.7890E-5	1.789026E-5	1.786456E-5	1.787365E-5	1.788151E-5	1.794133E-5	  -19.9321	    6.9794	    9.7935	  -22.7753	
  240.0000	 1.9085E-5	 1.9080E-5	 1.9100E-5	 1.9090E-5	 1.9070E-5	1.908644E-5	1.902499E-5	1.903737E-5	1.910584E-5	1.917757E-5	  -19.9194	    6.9668	    9.8112	  -22.7647	
  260.0000	 2.0003E-5	 1.9980E-5	 1.9940E-5	 2.0060E-5	 2.0030E-5	2.007042E-5	1.999219E-5	2.010966E-5	2.008238E-5	2.009745E-5	  -19.8914	    6.9806	    9.8065	  -22.7595	
  280.0000	 2.1097E-5	 2.1090E-5	 2.1110E-5	 2.1130E-5	 2.1060E-5	2.108727E-5	2.105069E-5	2.113591E-5	2.110653E-5	2.105593E-5	  -19.8659	    6.9832	    9.8128	  -22.7502	
  300.0000	 2.2180E-5	 2.2300E-5	 2.2110E-5	 2.2110E-5	 2.2200E-5	2.220603E-5	2.210697E-5	2.229280E-5	2.219978E-5	2.222457E-5	  -19.8532	    7.0011	    9.8280	  -22.7190	
  320.0000	 2.3225E-5	 2.3160E-5	 2.3210E-5	 2.3260E-5	 2.3270E-5	2.324521E-5	2.325702E-5	2.319570E-5	2.328825E-5	2.323988E-5	  -19.8456	    6.9793	    9.8311	  -22.7322	
  340.0000	 2.4108E-5	 2.4140E-5	 2.4090E-5	 2.4070E-5	 2.4130E-5	2.418369E-5	2.416630E-5	2.427779E-5	2.417698E-5	2.411371E-5	  -19.8456	    7.0017	    9.8397	  -22.7051	
  360.0000	 2.5110E-5	 2.5100E-5	 2.5070E-5	 2.5170E-5	 2.5100E-5	2.497225E-5	2.502131E-5	2.507519E-5	2.494876E-5	2.484374E-5	  -19.8456	    7.0434	    9.8428	  -22.6692	
  380.0000	 2.6095E-5	 2.6050E-5	 2.6020E-5	 2.6130E-5	 2.6180E-5	2.612880E-5	2.617517E-5	2.609886E-5	2.619435E-5	2.604682E-5	  -19.8507	    7.0142	    9.8561	  -22.6766	
  400.0000	 2.7025E-5	 2.7050E-5	 2.6980E-5	 2.7010E-5	 2.7060E-5	2.696138E-5	2.693244E-5	2.694731E-5	2.698772E-5	2.697804E-5	  -19.8507	    6.9796	    9.8599	  -22.6990	
