GCD Test
Bias: 5000.000000
CV_D0_CO138_LargeDiode_GRConnected_Irradiated_10min_at_60C
Date/Time: 7/29/2021 5:25:17 PM
Sensor Name: CO138
Type: N
Annealing Status: Irradiated, Annealed for 10 Minutes at 60C
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.040E-11	1.824E-11	1.977E+6	1.692E+6	  -20.0059	    9.6766	    6.2154	  -25.7896	
    2.0000	3.411E-11	1.827E-11	2.044E+6	1.715E+6	  -20.0109	    9.6857	    6.2492	  -25.7234	
    3.0000	3.646E-11	1.828E-11	2.098E+6	1.733E+6	  -20.0211	    9.7084	    6.2426	  -25.7184	
    4.0000	3.788E-11	1.829E-11	2.170E+6	1.752E+6	  -20.0211	    9.7220	    6.2460	  -25.7023	
    5.0000	3.917E-11	1.830E-11	2.218E+6	1.766E+6	  -20.0135	    9.7044	    6.2441	  -25.7186	
    6.0000	3.999E-11	1.832E-11	2.273E+6	1.783E+6	  -20.0033	    9.7396	    6.2441	  -25.6927	
    7.0000	4.069E-11	1.832E-11	2.322E+6	1.809E+6	  -20.0033	    9.7397	    6.2451	  -25.6910	
    8.0000	4.115E-11	1.835E-11	2.373E+6	1.820E+6	  -19.9982	    9.7279	    6.2593	  -25.6747	
    9.0000	4.138E-11	1.837E-11	2.435E+6	1.842E+6	  -19.9906	    9.7542	    6.2584	  -25.6570	
   10.0000	4.148E-11	1.839E-11	2.498E+6	1.867E+6	  -19.9906	    9.7689	    6.2644	  -25.6357	
   20.0000	4.249E-11	1.857E-11	3.087E+6	2.018E+6	  -19.9906	    9.7689	    6.2691	  -25.6274	
   30.0000	4.232E-11	1.862E-11	3.532E+6	2.131E+6	  -19.9982	    9.7854	    6.2717	  -25.6108	
   40.0000	4.197E-11	1.866E-11	3.911E+6	2.212E+6	  -20.0008	    9.8160	    6.2720	  -25.5878	
   50.0000	4.149E-11	1.869E-11	4.250E+6	2.277E+6	  -19.9982	    9.8247	    6.2574	  -25.6069	
   60.0000	4.063E-11	1.870E-11	4.597E+6	2.359E+6	  -20.0033	    9.8757	    6.2698	  -25.5477	
   70.0000	3.996E-11	1.874E-11	4.912E+6	2.413E+6	  -20.0059	    9.8642	    6.2985	  -25.5059	
   80.0000	3.937E-11	1.875E-11	5.207E+6	2.489E+6	  -20.0084	    9.9061	    6.3001	  -25.4724	
   90.0000	3.867E-11	1.879E-11	5.503E+6	2.544E+6	  -20.0084	    9.8945	    6.3248	  -25.4380	
  100.0000	3.811E-11	1.882E-11	5.771E+6	2.601E+6	  -19.9982	    9.8922	    6.3571	  -25.3838	
  120.0000	3.693E-11	1.887E-11	6.320E+6	2.726E+6	  -19.9957	    9.9274	    6.3631	  -25.3475	
  140.0000	3.588E-11	1.890E-11	6.825E+6	2.860E+6	  -20.0033	    9.9462	    6.3798	  -25.3047	
  160.0000	3.494E-11	1.893E-11	7.317E+6	3.000E+6	  -20.0008	    9.9340	    6.4001	  -25.2789	
  180.0000	3.402E-11	1.893E-11	7.808E+6	3.157E+6	  -19.9982	    9.9615	    6.3937	  -25.2695	
  200.0000	3.315E-11	1.895E-11	8.303E+6	3.308E+6	  -20.0008	    9.9615	    6.4010	  -25.2570	
  220.0000	3.230E-11	1.894E-11	8.823E+6	3.492E+6	  -20.0008	    9.9818	    6.3960	  -25.2507	
  240.0000	3.150E-11	1.894E-11	9.344E+6	3.678E+6	  -20.0059	    9.9952	    6.3887	  -25.2534	
  260.0000	3.066E-11	1.893E-11	9.926E+6	3.892E+6	  -20.0084	    9.9962	    6.3896	  -25.2510	
  280.0000	2.986E-11	1.893E-11	1.055E+7	4.121E+6	  -20.0084	    9.9926	    6.3858	  -25.2602	
  300.0000	2.905E-11	1.893E-11	1.125E+7	4.373E+6	  -20.0160	    9.9985	    6.3978	  -25.2352	
  320.0000	2.823E-11	1.892E-11	1.207E+7	4.658E+6	  -20.0109	   10.0250	    6.3909	  -25.2276	
  340.0000	2.742E-11	1.893E-11	1.302E+7	4.968E+6	  -20.0033	   10.0376	    6.4048	  -25.1944	
  360.0000	2.671E-11	1.893E-11	1.403E+7	5.298E+6	  -20.0008	   10.0376	    6.4121	  -25.1819	
  380.0000	2.595E-11	1.893E-11	1.526E+7	5.696E+6	  -20.0033	   10.0505	    6.4159	  -25.1659	
  400.0000	2.525E-11	1.894E-11	1.662E+7	6.066E+6	  -19.9982	   10.0728	    6.4197	  -25.1429	
  420.0000	2.457E-11	1.894E-11	1.823E+7	6.538E+6	  -19.9982	   10.0668	    6.4266	  -25.1354	
  440.0000	2.391E-11	1.895E-11	2.016E+7	6.975E+6	  -19.9957	   10.0764	    6.4447	  -25.0975	
  460.0000	2.331E-11	1.896E-11	2.241E+7	7.461E+6	  -19.9931	   10.0900	    6.4554	  -25.0691	
  480.0000	2.280E-11	1.897E-11	2.494E+7	7.900E+6	  -19.9931	   10.0937	    6.4605	  -25.0578	
  500.0000	2.235E-11	1.898E-11	2.783E+7	8.346E+6	  -19.9906	   10.1071	    6.4829	  -25.0096	
  520.0000	2.195E-11	1.899E-11	3.104E+7	8.788E+6	  -19.9931	   10.1062	    6.4867	  -25.0038	
  540.0000	2.161E-11	1.899E-11	3.468E+7	9.196E+6	  -19.9982	   10.1192	    6.4949	  -24.9802	
  560.0000	2.136E-11	1.901E-11	3.829E+7	9.541E+6	  -19.9982	   10.1278	    6.5278	  -24.9182	
  580.0000	2.114E-11	1.902E-11	4.173E+7	9.851E+6	  -20.0033	   10.1432	    6.5313	  -24.9009	
  600.0000	2.097E-11	1.903E-11	4.498E+7	1.012E+7	  -20.0084	   10.1543	    6.5468	  -24.8666	
  620.0000	2.084E-11	1.905E-11	4.725E+7	1.033E+7	  -20.0084	   10.1637	    6.5661	  -24.8272	
  640.0000	2.078E-11	1.907E-11	4.849E+7	1.045E+7	  -20.0135	   10.1606	    6.5772	  -24.8109	
  660.0000	2.079E-11	1.908E-11	4.848E+7	1.048E+7	  -20.0084	   10.1519	    6.5705	  -24.8285	
  680.0000	2.078E-11	1.909E-11	4.730E+7	1.045E+7	  -20.0033	   10.1788	    6.5775	  -24.7969	
  700.0000	2.093E-11	1.912E-11	4.668E+7	1.020E+7	  -20.0008	   10.1752	    6.5968	  -24.7672	
  720.0000	2.110E-11	1.916E-11	4.620E+7	9.812E+6	  -19.9982	   10.1905	    6.5980	  -24.7538	
  740.0000	2.127E-11	1.922E-11	4.583E+7	9.390E+6	  -19.9880	   10.1994	    6.6066	  -24.7328	
  760.0000	2.142E-11	1.930E-11	4.547E+7	8.883E+6	  -19.9855	   10.2029	    6.6139	  -24.7181	
  780.0000	2.155E-11	1.941E-11	4.505E+7	8.467E+6	  -19.9957	   10.2091	    6.6205	  -24.7025	
  800.0000	2.170E-11	1.953E-11	4.399E+7	8.123E+6	  -20.0033	   10.2117	    6.6474	  -24.6557	
