GCD Test
Bias: 5000.000000
IV_D0_CO138_LargeDiode_GRConnected_Irradiated_10min_at_60C
Date/Time: 7/30/2021 1:40:00 PM
Sensor Name: CO139
Type: N
Annealing Status: Irradiated, Annealed at 60C for 10 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	 3.1105E-7	 3.1290E-7	 3.1270E-7	 3.0950E-7	 3.0910E-7	3.458438E-7	3.458192E-7	3.456489E-7	3.458119E-7	3.460953E-7	  -19.6472	   13.4537	    4.8653	  -25.7354	
    2.0000	 4.7068E-7	 4.7510E-7	 4.7210E-7	 4.6890E-7	 4.6660E-7	4.648734E-7	4.654999E-7	4.645183E-7	4.659010E-7	4.635745E-7	  -19.7795	   13.5040	    4.8561	  -25.7202	
    3.0000	 5.5542E-7	 5.5890E-7	 5.5530E-7	 5.5390E-7	 5.5360E-7	5.503352E-7	5.516516E-7	5.507603E-7	5.482890E-7	5.506400E-7	  -20.0059	   13.4393	    4.8140	  -25.8615	
    4.0000	 6.3045E-7	 6.3190E-7	 6.3300E-7	 6.3070E-7	 6.2620E-7	6.234149E-7	6.234084E-7	6.255885E-7	6.238859E-7	6.207769E-7	  -20.2068	   13.4650	    4.8020	  -25.8705	
    5.0000	 6.9045E-7	 6.9550E-7	 6.9180E-7	 6.8710E-7	 6.8740E-7	6.882634E-7	6.877393E-7	6.900891E-7	6.903250E-7	6.849000E-7	  -20.3518	   13.4537	    4.7533	  -25.9900	
    6.0000	 7.4860E-7	 7.5080E-7	 7.4930E-7	 7.4630E-7	 7.4800E-7	7.439110E-7	7.467232E-7	7.444551E-7	7.443308E-7	7.401350E-7	  -20.4942	   13.4127	    4.7214	  -26.0928	
    7.0000	 7.9735E-7	 8.0080E-7	 7.9860E-7	 7.9570E-7	 7.9430E-7	7.982439E-7	7.940301E-7	8.016817E-7	7.996322E-7	7.976315E-7	  -20.6824	   13.4199	    4.6714	  -26.2037	
    8.0000	 8.4402E-7	 8.5100E-7	 8.4460E-7	 8.4150E-7	 8.3900E-7	8.420671E-7	8.384218E-7	8.433147E-7	8.446396E-7	8.418921E-7	  -20.8172	   13.3726	    4.6546	  -26.2765	
    9.0000	 8.9170E-7	 8.9400E-7	 8.9260E-7	 8.8930E-7	 8.9090E-7	8.859362E-7	8.867351E-7	8.853818E-7	8.846683E-7	8.869595E-7	  -20.9011	   13.3888	    4.6139	  -26.3608	
   10.0000	 9.3790E-7	 9.3520E-7	 9.3910E-7	 9.3710E-7	 9.4020E-7	9.369493E-7	9.397532E-7	9.373310E-7	9.338358E-7	9.368771E-7	  -20.9774	   13.3795	    4.5791	  -26.4498	
   20.0000	 1.3682E-6	 1.3740E-6	 1.3680E-6	 1.3660E-6	 1.3650E-6	1.368270E-6	1.366373E-6	1.368992E-6	1.364995E-6	1.372721E-6	  -21.1045	   13.3594	    4.5430	  -26.5500	
   30.0000	 1.7323E-6	 1.7320E-6	 1.7340E-6	 1.7320E-6	 1.7310E-6	1.729289E-6	1.729546E-6	1.725335E-6	1.730391E-6	1.731884E-6	  -21.1376	   13.3104	    4.5237	  -26.6309	
   40.0000	 2.0480E-6	 2.0500E-6	 2.0520E-6	 2.0440E-6	 2.0460E-6	2.042873E-6	2.044255E-6	2.050422E-6	2.038835E-6	2.037979E-6	  -21.1630	   13.2773	    4.5028	  -26.7046	
   50.0000	 2.3322E-6	 2.3370E-6	 2.3240E-6	 2.3300E-6	 2.3380E-6	2.343831E-6	2.335859E-6	2.338254E-6	2.346293E-6	2.354918E-6	  -21.1884	   13.2944	    4.4529	  -26.8135	
   60.0000	 2.6155E-6	 2.6130E-6	 2.6240E-6	 2.6100E-6	 2.6150E-6	2.611838E-6	2.609202E-6	2.608747E-6	2.615866E-6	2.613538E-6	  -21.1833	   13.2944	    4.4279	  -26.8745	
   70.0000	 2.8722E-6	 2.8810E-6	 2.8730E-6	 2.8690E-6	 2.8660E-6	2.893811E-6	2.876104E-6	2.898288E-6	2.897344E-6	2.903508E-6	  -21.1528	   13.2398	    4.4165	  -26.9409	
   80.0000	 3.1450E-6	 3.1280E-6	 3.1350E-6	 3.1520E-6	 3.1650E-6	3.167980E-6	3.167119E-6	3.162614E-6	3.168670E-6	3.173518E-6	  -21.0842	   13.1911	    4.3770	  -27.0727	
   90.0000	 3.4082E-6	 3.4040E-6	 3.3990E-6	 3.4140E-6	 3.4160E-6	3.398434E-6	3.395458E-6	3.391350E-6	3.396030E-6	3.410896E-6	  -21.0333	   13.1911	    4.3637	  -27.1055	
  100.0000	 3.6635E-6	 3.6650E-6	 3.6610E-6	 3.6580E-6	 3.6700E-6	3.680681E-6	3.676663E-6	3.677991E-6	3.686241E-6	3.681828E-6	  -20.9418	   13.1928	    4.3390	  -27.1656	
  120.0000	 4.1355E-6	 4.0910E-6	 4.1410E-6	 4.1580E-6	 4.1520E-6	4.146154E-6	4.136520E-6	4.151303E-6	4.141305E-6	4.155489E-6	  -20.7917	   13.1918	    4.3280	  -27.1939	
  140.0000	 4.5582E-6	 4.5580E-6	 4.5590E-6	 4.5490E-6	 4.5670E-6	4.593532E-6	4.568583E-6	4.585907E-6	4.619520E-6	4.600116E-6	  -20.7078	   13.1454	    4.3178	  -27.2519	
  160.0000	 4.9698E-6	 4.9370E-6	 4.9640E-6	 4.9780E-6	 5.0000E-6	4.998716E-6	5.001231E-6	4.995218E-6	5.003095E-6	4.995321E-6	  -20.5654	   13.2110	    4.3099	  -27.2254	
  180.0000	 5.3850E-6	 5.3840E-6	 5.3720E-6	 5.3750E-6	 5.4090E-6	5.411853E-6	5.396586E-6	5.410654E-6	5.421269E-6	5.418904E-6	  -20.4459	   13.2959	    4.3036	  -27.1814	
  200.0000	 5.7718E-6	 5.7260E-6	 5.7740E-6	 5.7820E-6	 5.8050E-6	5.829093E-6	5.838408E-6	5.837428E-6	5.811536E-6	5.829000E-6	  -20.3390	   13.3138	    4.3058	  -27.1633	
  220.0000	 6.1693E-6	 6.1340E-6	 6.1790E-6	 6.1840E-6	 6.1800E-6	6.188864E-6	6.174158E-6	6.162780E-6	6.192002E-6	6.226514E-6	  -20.1636	   13.2688	    4.3150	  -27.1720	
